Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jerami Grant,4,26:15,138.1,20,153,5,3,0,8,15,53.3,3,9,33.3,1,1,1,Aaron Gordon
LeBron James,3,19:05,101.9,21,90,12,7,0,10,16,62.5,0,4,0.0,1,2,1,Aaron Gordon
Paolo Banchero,2,14:42,73.1,0,61,3,2,1,0,9,0.0,0,1,0.0,0,0,0,Aaron Gordon
Kelly Olynyk,3,12:36,60.9,11,56,3,1,0,3,5,60.0,1,3,33.3,4,4,1,Aaron Gordon
Jayson Tatum,2,10:32,57.1,7,60,3,1,0,3,7,42.9,0,0,0.0,1,2,1,Aaron Gordon
Zion Williamson,1,10:38,56.5,15,61,3,3,0,6,10,60.0,0,0,0.0,3,4,2,Aaron Gordon
Keldon Johnson,2,11:46,53.8,11,51,3,4,1,5,10,50.0,1,4,25.0,0,0,0,Aaron Gordon
Luguentz Dort,4,9:44,52.1,4,54,3,1,1,2,7,28.6,0,4,0.0,0,0,0,Aaron Gordon
Shai Gilgeous-Alexander,4,10:24,50.6,18,73,3,0,1,8,16,50.0,0,2,0.0,2,2,0,Aaron Gordon
Kyle Kuzma,1,9:20,48.0,12,49,1,2,0,5,8,62.5,2,3,66.7,0,0,0,Aaron Gordon
Mikal Bridges,2,9:05,45.7,2,43,3,2,0,1,3,33.3,0,2,0.0,0,0,0,Aaron Gordon
Kawhi Leonard,2,10:29,45.0,10,29,2,1,0,4,7,57.1,0,1,0.0,2,2,1,Aaron Gordon
Kyle Anderson,2,9:31,44.9,6,35,3,1,0,3,8,37.5,0,1,0.0,0,2,1,Aaron Gordon
Jabari Smith Jr.,2,9:47,42.1,3,42,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Aaron Gordon
P.J. Washington,1,7:21,42.0,0,36,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Aaron Gordon
Brandon Ingram,1,8:17,40.2,6,42,5,2,0,2,9,22.2,1,3,33.3,1,2,1,Aaron Gordon
DeMar DeRozan,1,6:56,38.1,6,29,2,0,0,3,6,50.0,0,1,0.0,0,2,1,Aaron Gordon
Jimmy Butler,1,7:36,36.0,2,42,4,0,0,0,1,0.0,0,0,0.0,2,2,1,Aaron Gordon
John Collins,1,6:37,35.0,4,47,3,0,0,2,3,66.7,0,0,0.0,0,0,0,Aaron Gordon
Aleksej Pokusevski,3,5:54,34.8,6,33,0,0,0,3,5,60.0,0,2,0.0,0,0,0,Aaron Gordon
Dejounte Murray,2,6:59,34.0,5,29,3,0,1,2,8,25.0,1,1,100.0,0,0,0,Aaron Gordon
Myles Turner,2,5:33,34.0,6,36,2,0,0,3,5,60.0,0,0,0.0,0,0,0,Aaron Gordon
Lauri Markkanen,2,6:51,33.4,2,32,0,1,1,0,5,0.0,0,2,0.0,2,2,1,Aaron Gordon
