Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Donovan Mitchell,3,16:01,66.8,18,75,3,3,0,7,16,43.8,2,8,25.0,2,2,1,Aaron Nesmith
DeMar DeRozan,2,12:56,66.1,33,78,4,0,1,13,16,81.3,0,1,0.0,7,7,4,Aaron Nesmith
Anthony Edwards,2,11:52,63.3,11,54,2,2,0,4,11,36.4,1,3,33.3,2,2,1,Aaron Nesmith
Franz Wagner,3,11:29,60.5,11,41,4,2,0,3,11,27.3,0,3,0.0,5,6,3,Aaron Nesmith
Julius Randle,1,10:57,49.7,11,53,2,2,0,4,9,44.4,1,3,33.3,2,4,2,Aaron Nesmith
Bradley Beal,2,9:46,48.3,15,38,2,0,0,5,6,83.3,1,1,100.0,4,4,2,Aaron Nesmith
LeBron James,2,9:08,46.8,13,50,3,2,0,6,11,54.5,1,2,50.0,0,0,0,Aaron Nesmith
Paul George,1,9:16,45.7,25,62,2,2,1,8,14,57.1,3,7,42.9,6,6,2,Aaron Nesmith
Tyler Herro,2,9:14,42.3,2,46,5,1,2,0,3,0.0,0,1,0.0,2,2,1,Aaron Nesmith
Anfernee Simons,2,8:15,39.3,6,40,3,1,0,2,4,50.0,2,4,50.0,0,0,0,Aaron Nesmith
Jaylen Brown,1,6:28,32.2,7,36,2,1,0,3,7,42.9,1,2,50.0,0,0,0,Aaron Nesmith
Brook Lopez,2,6:31,31.5,9,38,2,2,0,3,4,75.0,1,2,50.0,2,2,0,Aaron Nesmith
Michael Porter Jr.,2,6:19,28.2,5,30,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Aaron Nesmith
Terry Rozier,2,5:50,28.1,2,26,4,2,0,1,5,20.0,0,2,0.0,0,0,0,Aaron Nesmith
Harrison Barnes,2,5:15,27.7,9,30,2,0,0,3,4,75.0,1,1,100.0,2,3,2,Aaron Nesmith
Draymond Green,2,4:47,27.7,0,26,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Aaron Nesmith
Jaren Jackson Jr.,2,4:59,27.1,9,33,1,1,0,4,6,66.7,1,2,50.0,0,0,0,Aaron Nesmith
Kyrie Irving,1,5:24,26.2,8,20,0,0,0,3,5,60.0,2,3,66.7,0,0,0,Aaron Nesmith
Brandon Clarke,2,4:47,23.4,2,23,1,2,0,1,1,100.0,0,0,0.0,0,2,1,Aaron Nesmith
Kevin Huerter,2,3:41,22.9,3,26,1,0,0,1,4,25.0,1,4,25.0,0,0,0,Aaron Nesmith
Dennis Schroder,2,4:34,22.8,2,32,3,2,0,1,1,100.0,0,0,0.0,0,2,0,Aaron Nesmith
James Harden,2,5:01,22.2,4,27,5,0,0,2,3,66.7,0,0,0.0,0,0,0,Aaron Nesmith
Pascal Siakam,1,4:24,22.0,5,24,2,1,0,1,1,100.0,0,0,0.0,3,3,2,Aaron Nesmith
P.J. Washington,2,3:47,21.2,2,16,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Aaron Nesmith
Jimmy Butler,2,4:49,21.2,8,21,2,0,1,3,7,42.9,0,0,0.0,2,3,2,Aaron Nesmith
Jordan Poole,2,3:05,18.8,6,13,0,0,0,3,4,75.0,0,0,0.0,0,0,0,Aaron Nesmith
LaMelo Ball,2,3:48,18.1,6,26,2,2,0,2,5,40.0,2,4,50.0,0,0,0,Aaron Nesmith
