Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Malik Monk,2,6:14,32.4,3,30,3,0,1,1,2,50.0,0,0,0.0,1,1,1,Alec Burks
Terry Rozier,2,5:19,29.0,10,41,0,1,1,4,6,66.7,0,1,0.0,2,2,1,Alec Burks
Kyrie Irving,2,5:39,28.7,6,25,2,0,0,3,5,60.0,0,0,0.0,0,0,0,Alec Burks
Immanuel Quickley,3,6:02,27.6,8,42,1,1,0,3,5,60.0,2,2,100.0,0,0,0,Alec Burks
LaMelo Ball,2,4:33,24.6,5,20,2,1,0,2,5,40.0,1,4,25.0,0,0,0,Alec Burks
Malik Beasley,2,4:33,24.6,6,19,1,0,0,1,3,33.3,1,2,50.0,3,4,2,Alec Burks
Chris Paul,1,4:30,23.9,0,31,2,2,0,0,1,0.0,0,0,0.0,0,0,0,Alec Burks
Austin Reaves,2,5:08,23.5,2,31,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Alec Burks
Matisse Thybulle,3,3:41,22.5,7,23,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Alec Burks
Isaac Okoro,2,4:53,22.2,0,29,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Alec Burks
Reggie Bullock,2,3:56,21.3,0,23,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Alec Burks
Shake Milton,3,3:56,20.6,7,37,1,1,0,3,3,100.0,1,1,100.0,0,0,0,Alec Burks
Devonte' Graham,2,3:44,20.5,0,17,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Alec Burks
Tyus Jones,2,3:28,19.7,4,24,0,1,0,2,7,28.6,0,3,0.0,0,0,0,Alec Burks
Quentin Grimes,3,3:40,19.6,9,26,1,0,0,3,4,75.0,2,3,66.7,1,1,1,Alec Burks
Lonnie Walker IV,2,3:55,18.4,2,13,2,0,0,1,4,25.0,0,2,0.0,0,0,0,Alec Burks
Nicolas Batum,2,3:40,17.3,0,13,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Alec Burks
Eric Gordon,1,3:25,17.2,2,10,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Alec Burks
Kelly Oubre Jr.,1,3:21,17.2,5,16,0,1,0,2,5,40.0,0,1,0.0,1,2,0,Alec Burks
Spencer Dinwiddie,2,3:53,17.1,0,16,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Alec Burks
Cedi Osman,2,3:40,17.0,2,26,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Alec Burks
Anfernee Simons,1,3:00,16.8,8,19,0,0,0,3,5,60.0,2,4,50.0,0,0,0,Alec Burks
Georges Niang,3,2:48,16.8,2,18,0,0,0,0,1,0.0,0,1,0.0,2,2,0,Alec Burks
Jayson Tatum,1,3:10,16.8,5,16,0,0,0,1,3,33.3,1,2,50.0,2,2,1,Alec Burks
Malaki Branham,1,3:23,16.7,3,22,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Alec Burks
Nickeil Alexander-Walker,1,3:37,16.6,0,20,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Alec Burks
John Konchar,2,2:50,16.4,2,15,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Alec Burks
John Wall,2,2:53,16.4,8,14,1,1,0,3,4,75.0,2,2,100.0,0,0,0,Alec Burks
Larry Nance Jr.,2,2:54,15.9,1,15,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Alec Burks
De'Anthony Melton,3,2:37,15.8,2,15,1,1,0,1,3,33.3,0,2,0.0,0,0,0,Alec Burks
Coby White,2,2:31,15.8,3,16,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Alec Burks
Naz Reid,2,2:40,15.7,2,19,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Alec Burks
Edmond Sumner,2,3:04,15.4,2,18,1,0,0,0,2,0.0,0,0,0.0,2,2,1,Alec Burks
Joe Harris,2,3:20,15.2,3,31,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Alec Burks
Bogdan Bogdanovic,1,2:37,14.9,3,16,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Alec Burks
Luke Kennard,1,3:06,14.7,6,21,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Alec Burks
Tim Hardaway Jr.,2,2:49,14.4,0,28,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Alec Burks
Austin Rivers,2,2:40,14.4,3,22,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Alec Burks
Shaedon Sharpe,1,2:13,13.8,5,23,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Alec Burks
Naji Marshall,2,2:43,13.7,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Alec Burks
Kevin Huerter,2,2:32,13.7,5,19,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Alec Burks
James Harden,3,2:03,13.2,5,15,3,1,0,1,2,50.0,1,1,100.0,2,2,1,Alec Burks
Terance Mann,2,2:27,13.1,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Alec Burks
Jaylen Nowell,2,2:50,13.1,3,12,2,0,0,1,1,100.0,0,0,0.0,1,2,1,Alec Burks
Jalen Brunson,3,2:39,12.7,0,9,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Alec Burks
RJ Barrett,3,3:21,12.5,2,16,0,0,0,0,0,0.0,0,0,0.0,2,4,2,Alec Burks
Harrison Barnes,2,2:18,12.5,5,16,0,0,0,1,1,100.0,1,1,100.0,2,2,0,Alec Burks
Gary Harris,1,2:18,12.4,2,14,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Alec Burks
Damion Lee,2,2:08,12.2,0,7,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Alec Burks
Victor Oladipo,1,2:07,12.0,2,9,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Alec Burks
