Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Domantas Sabonis,4,31:53,168.0,45,210,18,4,0,18,29,62.1,1,3,33.3,8,11,6,Alperen Sengun
Ivica Zubac,4,27:27,138.3,20,132,2,5,0,9,13,69.2,0,0,0.0,2,2,1,Alperen Sengun
Christian Wood,4,17:44,88.5,28,101,2,2,1,10,25,40.0,4,10,40.0,4,5,4,Alperen Sengun
Rudy Gobert,2,13:05,73.8,5,66,1,1,0,2,4,50.0,0,0,0.0,1,2,1,Alperen Sengun
Nikola Jokic,2,13:01,68.9,33,93,14,6,0,14,22,63.6,3,5,60.0,2,2,1,Alperen Sengun
Bismack Biyombo,3,10:59,53.2,3,58,2,2,0,1,1,100.0,0,0,0.0,1,1,1,Alperen Sengun
Kevon Looney,2,10:12,50.9,10,58,4,0,0,4,5,80.0,0,0,0.0,2,3,2,Alperen Sengun
Mason Plumlee,1,7:59,45.0,7,44,0,0,1,2,4,50.0,0,0,0.0,3,4,1,Alperen Sengun
Jusuf Nurkic,2,8:59,44.3,13,34,1,3,2,6,12,50.0,1,1,100.0,0,0,0,Alperen Sengun
Dwight Powell,4,9:17,43.4,6,46,1,1,0,2,3,66.7,0,0,0.0,2,3,1,Alperen Sengun
Daniel Gafford,1,9:37,41.9,4,37,2,0,0,2,3,66.7,0,0,0.0,0,0,0,Alperen Sengun
Precious Achiuwa,2,9:12,41.0,3,47,1,3,0,1,4,25.0,0,2,0.0,1,3,1,Alperen Sengun
Jonas Valanciunas,2,8:02,39.5,12,63,2,2,0,4,9,44.4,1,1,100.0,3,4,2,Alperen Sengun
Naz Reid,4,6:01,38.1,11,43,1,2,0,5,9,55.6,0,3,0.0,1,2,1,Alperen Sengun
Brook Lopez,2,7:33,38.0,3,31,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Alperen Sengun
Zach Collins,2,7:31,36.4,8,41,3,3,0,4,5,80.0,0,1,0.0,0,0,0,Alperen Sengun
Joel Embiid,1,8:38,35.3,16,38,3,4,0,5,10,50.0,1,1,100.0,5,6,3,Alperen Sengun
Nikola Vucevic,1,6:13,34.8,4,34,1,2,0,2,7,28.6,0,1,0.0,0,0,0,Alperen Sengun
Jarrett Allen,1,7:47,33.8,2,33,1,1,1,1,3,33.3,0,0,0.0,0,0,0,Alperen Sengun
Moritz Wagner,1,6:10,32.0,3,17,3,1,0,1,4,25.0,1,3,33.3,0,0,0,Alperen Sengun
Kyle Anderson,4,4:60,30.5,6,28,2,1,1,3,6,50.0,0,0,0.0,0,0,0,Alperen Sengun
Jarred Vanderbilt,1,6:03,30.3,0,35,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Alperen Sengun
Thomas Bryant,1,5:26,30.0,0,31,0,0,2,0,3,0.0,0,1,0.0,0,0,0,Alperen Sengun
Al Horford,1,5:21,30.0,0,16,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Alperen Sengun
Mo Bamba,2,5:52,29.6,9,30,2,0,0,4,5,80.0,1,2,50.0,0,0,0,Alperen Sengun
Onyeka Okongwu,1,5:45,28.9,6,34,0,0,0,3,5,60.0,0,0,0.0,0,1,1,Alperen Sengun
Jeremiah Robinson-Earl,1,4:14,27.4,0,23,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Alperen Sengun
Deandre Ayton,2,4:44,27.1,4,28,0,3,0,2,5,40.0,0,1,0.0,0,0,0,Alperen Sengun
Chimezie Metu,4,5:02,27.0,6,32,3,1,0,3,3,100.0,0,0,0.0,0,0,0,Alperen Sengun
Bobby Portis,2,5:43,25.8,4,27,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Alperen Sengun
Jaden McDaniels,4,4:26,25.5,7,26,1,0,0,3,4,75.0,1,1,100.0,0,0,0,Alperen Sengun
Jock Landale,2,4:39,24.7,4,26,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Alperen Sengun
Jakob Poeltl,1,4:57,24.5,6,31,0,1,0,3,4,75.0,0,0,0.0,0,0,0,Alperen Sengun
Christian Koloko,2,5:45,22.4,0,36,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Alperen Sengun
Mike Muscala,2,3:15,22.2,15,42,0,0,1,6,10,60.0,3,7,42.9,0,0,0,Alperen Sengun
Orlando Robinson,1,4:11,21.8,2,29,0,1,0,0,0,0.0,0,0,0.0,2,2,1,Alperen Sengun
Wendell Carter Jr.,1,4:02,21.7,4,27,1,2,0,2,4,50.0,0,0,0.0,0,0,0,Alperen Sengun
Karl-Anthony Towns,1,3:58,21.6,16,29,3,1,0,7,9,77.8,2,3,66.7,0,0,0,Alperen Sengun
Nicolas Batum,4,4:04,20.2,4,20,0,0,0,1,2,50.0,1,2,50.0,1,1,1,Alperen Sengun
Josh Giddey,3,3:12,19.8,11,25,1,3,1,5,11,45.5,0,0,0.0,1,2,1,Alperen Sengun
Paul George,3,2:56,18.9,20,31,3,1,0,8,17,47.1,1,2,50.0,3,4,2,Alperen Sengun
Thaddeus Young,1,3:38,18.5,0,19,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Alperen Sengun
Nathan Knight,2,3:48,17.7,3,21,0,0,0,1,3,33.3,0,1,0.0,1,2,1,Alperen Sengun
Charles Bassey,1,3:22,17.6,2,18,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Alperen Sengun
Luka Doncic,3,3:10,17.4,14,40,6,1,0,5,8,62.5,0,0,0.0,4,4,2,Alperen Sengun
Brandon Clarke,1,3:21,17.0,3,20,0,1,0,1,1,100.0,0,0,0.0,1,2,1,Alperen Sengun
Harrison Barnes,4,2:25,16.8,6,27,0,0,0,3,5,60.0,0,0,0.0,0,0,0,Alperen Sengun
Jaylin Williams,2,3:40,16.7,7,20,1,0,0,3,6,50.0,1,3,33.3,0,0,0,Alperen Sengun
Anthony Edwards,4,2:25,16.6,12,18,0,2,1,5,13,38.5,0,3,0.0,2,2,1,Alperen Sengun
Steven Adams,1,3:14,16.5,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Alperen Sengun
