Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Isaiah Hartenstein,3,8:42,43.0,5,47,0,1,0,1,2,50.0,1,1,100.0,2,4,2,Andre Drummond
Onyeka Okongwu,2,7:36,40.3,6,32,0,2,0,3,5,60.0,0,0,0.0,0,0,0,Andre Drummond
Daniel Gafford,2,9:21,40.0,11,42,0,3,0,5,5,100.0,0,0,0.0,1,2,1,Andre Drummond
Zach Collins,2,6:56,38.7,9,35,3,0,0,4,9,44.4,1,2,50.0,0,0,0,Andre Drummond
Robin Lopez,3,8:28,37.8,7,35,1,2,0,3,5,60.0,0,0,0.0,1,2,1,Andre Drummond
Jakob Poeltl,2,6:28,32.8,8,26,1,2,0,4,4,100.0,0,0,0.0,0,0,0,Andre Drummond
Brook Lopez,2,6:51,32.7,5,29,0,0,0,2,4,50.0,0,1,0.0,1,1,1,Andre Drummond
DeAndre Jordan,1,5:50,26.4,2,17,1,2,0,1,1,100.0,0,0,0.0,0,0,0,Andre Drummond
Dewayne Dedmon,2,4:24,22.9,9,27,1,1,0,4,4,100.0,1,1,100.0,0,0,0,Andre Drummond
Marvin Bagley III,1,4:55,22.3,7,28,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Andre Drummond
Walker Kessler,2,4:28,22.1,4,24,0,1,0,2,3,66.7,0,0,0.0,0,0,0,Andre Drummond
JaVale McGee,1,3:50,21.9,11,22,0,0,0,5,5,100.0,1,1,100.0,0,0,0,Andre Drummond
Myles Turner,2,4:56,21.4,6,19,0,0,0,2,6,33.3,1,3,33.3,1,1,1,Andre Drummond
Willy Hernangomez,1,3:09,17.8,8,18,0,3,0,4,5,80.0,0,1,0.0,0,0,0,Andre Drummond
Jericho Sims,3,4:35,17.0,0,28,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Andre Drummond
Noah Vonleh,1,3:29,16.5,2,9,0,2,0,1,2,50.0,0,0,0.0,0,0,0,Andre Drummond
Udoka Azubuike,1,3:02,15.5,2,14,0,0,0,1,1,100.0,0,0,0.0,0,4,2,Andre Drummond
