Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kentavious Caldwell-Pope,4,12:50,64.5,2,66,2,0,0,0,5,0.0,0,1,0.0,2,2,1,Anfernee Simons
Michael Porter Jr.,3,10:28,52.9,19,49,0,1,1,7,15,46.7,3,7,42.9,2,2,1,Anfernee Simons
Kyle Anderson,3,10:33,52.8,6,56,4,1,0,3,7,42.9,0,0,0.0,0,0,0,Anfernee Simons
Talen Horton-Tucker,3,9:09,49.3,2,54,3,0,1,1,5,20.0,0,1,0.0,0,0,0,Anfernee Simons
Tre Jones,3,9:14,48.6,6,51,7,1,0,3,9,33.3,0,2,0.0,0,0,0,Anfernee Simons
Dennis Schroder,2,6:45,42.1,11,42,5,1,0,3,6,50.0,1,2,50.0,4,4,0,Anfernee Simons
Gary Trent Jr.,2,8:58,41.7,6,51,0,0,0,3,8,37.5,0,2,0.0,0,0,0,Anfernee Simons
Jamal Murray,4,8:24,41.4,8,53,2,0,0,3,11,27.3,0,1,0.0,2,2,0,Anfernee Simons
Bruce Brown,4,9:07,41.0,8,44,1,0,0,4,7,57.1,0,2,0.0,0,0,0,Anfernee Simons
Reggie Bullock,4,7:50,40.8,4,42,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Anfernee Simons
Kevin Porter Jr.,2,7:02,40.5,8,48,2,2,0,3,7,42.9,0,2,0.0,2,3,2,Anfernee Simons
Buddy Hield,2,6:25,39.7,7,38,0,0,0,2,8,25.0,1,4,25.0,2,2,1,Anfernee Simons
Jevon Carter,2,6:26,39.1,5,42,2,1,0,2,3,66.7,1,1,100.0,0,0,0,Anfernee Simons
Tim Hardaway Jr.,3,8:12,38.7,8,39,0,1,0,3,5,60.0,1,2,50.0,1,1,1,Anfernee Simons
Darius Garland,2,7:57,37.3,8,52,5,1,0,1,6,16.7,1,2,50.0,5,6,2,Anfernee Simons
D'Angelo Russell,3,6:50,36.5,7,40,4,1,0,2,7,28.6,1,3,33.3,2,4,2,Anfernee Simons
Dillon Brooks,2,7:07,36.1,4,31,1,0,0,2,4,50.0,0,1,0.0,0,0,0,Anfernee Simons
Grayson Allen,2,6:26,35.7,7,57,1,1,0,2,3,66.7,1,2,50.0,2,2,1,Anfernee Simons
Spencer Dinwiddie,4,6:16,34.7,14,36,2,3,0,5,9,55.6,2,4,50.0,2,2,0,Anfernee Simons
Collin Sexton,3,7:19,34.6,2,42,1,1,0,1,2,50.0,0,0,0.0,0,1,1,Anfernee Simons
Mike Conley,2,6:20,33.4,2,36,5,2,0,1,1,100.0,0,0,0.0,0,0,0,Anfernee Simons
Royce O'Neale,2,5:44,31.4,2,34,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Anfernee Simons
Jaylen Nowell,3,5:32,31.0,6,35,1,0,0,3,4,75.0,0,0,0.0,0,2,1,Anfernee Simons
Fred VanVleet,2,6:32,30.0,5,41,3,0,0,2,5,40.0,1,3,33.3,0,0,0,Anfernee Simons
Andrew Nembhard,2,5:21,28.5,2,31,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Anfernee Simons
Patrick Beverley,3,5:60,28.5,5,42,1,1,0,1,2,50.0,1,2,50.0,2,2,1,Anfernee Simons
Terry Rozier,2,6:19,26.9,8,25,0,1,0,3,7,42.9,2,5,40.0,0,0,0,Anfernee Simons
Jordan Poole,2,4:42,26.6,12,34,3,1,1,4,8,50.0,1,2,50.0,3,3,1,Anfernee Simons
Donte DiVincenzo,2,4:57,26.5,11,37,0,0,0,5,7,71.4,1,1,100.0,0,0,0,Anfernee Simons
Jordan Clarkson,3,4:54,26.0,7,31,2,0,1,3,14,21.4,0,4,0.0,1,1,1,Anfernee Simons
Malik Beasley,3,4:46,25.5,4,25,2,1,0,2,5,40.0,0,3,0.0,0,0,0,Anfernee Simons
