Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nikola Jokic,3,21:48,119.4,37,125,6,3,1,16,25,64.0,1,7,14.3,4,4,3,Anthony Davis
Myles Turner,2,15:41,84.1,7,70,4,0,0,3,12,25.0,1,5,20.0,0,0,0,Anthony Davis
Ivica Zubac,2,17:28,81.2,10,68,2,2,0,5,5,100.0,0,0,0.0,0,1,1,Anthony Davis
Jusuf Nurkic,2,14:20,71.7,6,83,3,2,2,2,8,25.0,0,0,0.0,2,4,2,Anthony Davis
Jonas Valanciunas,2,12:59,65.4,13,55,5,2,1,6,16,37.5,1,3,33.3,0,0,0,Anthony Davis
Jalen Duren,2,10:32,55.5,6,47,1,0,1,3,4,75.0,0,0,0.0,0,0,0,Anthony Davis
Giannis Antetokounmpo,2,9:52,52.8,23,75,6,2,1,9,15,60.0,1,5,20.0,4,6,3,Anthony Davis
Zach Collins,2,9:50,50.5,2,23,2,1,2,1,6,16.7,0,3,0.0,0,0,0,Anthony Davis
Lauri Markkanen,2,9:57,49.9,18,71,4,1,1,7,13,53.8,3,8,37.5,1,1,1,Anthony Davis
Deandre Ayton,1,8:22,48.0,8,44,2,0,1,4,7,57.1,0,1,0.0,0,0,0,Anthony Davis
Brook Lopez,2,8:33,46.6,7,41,2,0,0,3,5,60.0,1,2,50.0,0,0,0,Anthony Davis
Jarrett Allen,2,7:40,44.5,12,45,0,1,1,6,9,66.7,0,0,0.0,0,0,0,Anthony Davis
Kristaps Porzingis,1,7:04,41.9,15,41,3,0,2,7,17,41.2,0,3,0.0,1,1,1,Anthony Davis
Jakob Poeltl,2,7:51,41.6,4,46,4,2,1,2,5,40.0,0,0,0.0,0,0,0,Anthony Davis
Joel Embiid,1,8:37,39.9,13,33,2,1,0,5,9,55.6,1,2,50.0,2,2,1,Anthony Davis
Luke Kornet,2,8:40,38.9,2,40,2,0,0,0,1,0.0,0,0,0.0,2,2,1,Anthony Davis
Marvin Bagley III,2,7:21,37.3,10,45,0,0,0,5,10,50.0,0,2,0.0,0,0,0,Anthony Davis
Domantas Sabonis,1,7:22,36.3,10,33,5,2,1,4,10,40.0,0,0,0.0,2,2,1,Anthony Davis
Larry Nance Jr.,2,7:11,32.7,10,23,0,0,0,4,5,80.0,1,2,50.0,1,2,1,Anthony Davis
Al Horford,1,6:26,32.5,4,41,1,0,0,1,2,50.0,0,1,0.0,2,2,0,Anthony Davis
Jaylin Williams,1,6:36,30.2,3,32,2,0,0,1,3,33.3,1,1,100.0,0,0,0,Anthony Davis
Blake Griffin,1,6:13,27.6,4,28,2,0,1,2,7,28.6,0,3,0.0,0,0,0,Anthony Davis
