Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Tobias Harris,2,9:16,40.5,7,42,2,0,0,3,5,60.0,1,1,100.0,0,0,0,Anthony Gill
P.J. Washington,3,5:13,26.7,5,24,1,0,0,1,4,25.0,1,2,50.0,2,2,1,Anthony Gill
Dwight Powell,2,5:08,25.9,2,27,0,2,0,0,0,0.0,0,0,0.0,2,2,0,Anthony Gill
Dean Wade,2,4:16,21.0,2,26,0,0,0,0,0,0.0,0,0,0.0,2,3,1,Anthony Gill
Luka Doncic,2,4:09,20.6,18,34,4,4,0,7,13,53.8,0,3,0.0,4,4,3,Anthony Gill
Nikola Vucevic,2,3:38,18.1,4,22,2,1,0,2,4,50.0,0,1,0.0,0,0,0,Anthony Gill
Nic Claxton,3,3:14,16.9,2,17,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Anthony Gill
Dewayne Dedmon,2,2:21,14.8,4,13,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Anthony Gill
Yuta Watanabe,2,3:07,14.7,0,15,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Anthony Gill
Kawhi Leonard,2,2:52,14.4,6,18,0,1,0,2,4,50.0,0,1,0.0,2,2,1,Anthony Gill
Jeff Green,1,2:17,12.7,2,14,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Gill
Jaylen Brown,2,2:44,12.1,3,9,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Anthony Gill
Tyrese Maxey,2,2:23,11.9,7,24,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Anthony Gill
Royce O'Neale,2,3:02,11.8,0,15,3,0,0,0,1,0.0,0,1,0.0,0,0,0,Anthony Gill
Bennedict Mathurin,3,2:25,11.8,2,7,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Gill
Terry Rozier,3,2:02,10.7,4,7,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Anthony Gill
Luke Kornet,2,2:05,10.1,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Anthony Gill
James Harden,2,1:30,9.7,4,12,1,3,0,2,3,66.7,0,1,0.0,0,0,0,Anthony Gill
Andre Drummond,2,1:51,9.7,2,15,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Gill
Bam Adebayo,2,2:06,9.6,8,8,0,0,1,4,5,80.0,0,0,0.0,0,0,0,Anthony Gill
Alex Caruso,2,1:48,9.2,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Gill
Goran Dragic,3,1:09,8.9,0,4,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Anthony Gill
Nicolas Batum,2,1:51,8.8,0,10,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Anthony Gill
Terry Taylor,2,2:13,8.5,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Gill
Sam Hauser,2,2:21,8.5,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Gill
Kevin Durant,3,1:17,8.0,13,15,0,0,0,4,7,57.1,3,4,75.0,2,2,1,Anthony Gill
Kelly Oubre Jr.,1,1:24,7.6,5,11,0,0,0,2,3,66.7,0,0,0.0,1,1,1,Anthony Gill
Dorian Finney-Smith,2,1:40,7.5,2,11,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Anthony Gill
Reggie Bullock,2,1:04,7.4,3,6,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Anthony Gill
De'Anthony Melton,1,1:12,7.3,9,18,0,0,0,4,5,80.0,1,2,50.0,0,0,0,Anthony Gill
Marcus Smart,2,1:07,7.1,5,10,0,0,0,1,1,100.0,1,1,100.0,2,2,1,Anthony Gill
Coby White,2,1:28,6.9,0,10,0,0,0,0,0,0.0,0,0,0.0,0,2,0,Anthony Gill
Marcus Morris Sr.,2,1:22,6.9,1,4,0,0,0,0,1,0.0,0,0,0.0,1,2,0,Anthony Gill
Caleb Martin,2,1:09,6.8,0,5,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Gill
Cam Thomas,2,1:28,6.5,7,15,1,0,0,1,2,50.0,1,1,100.0,4,4,2,Anthony Gill
Jalen McDaniels,3,1:04,6.4,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Anthony Gill
