Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kevin Love,2,7:10,29.2,3,32,3,1,0,1,2,50.0,1,1,100.0,0,0,0,Anthony Lamb
Lauri Markkanen,2,4:08,22.4,6,18,1,1,0,2,5,40.0,2,4,50.0,0,0,0,Anthony Lamb
Bobby Portis,1,3:51,21.4,5,19,0,1,1,2,4,50.0,1,2,50.0,0,0,0,Anthony Lamb
Kelly Olynyk,3,4:12,21.4,4,27,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Anthony Lamb
Evan Mobley,2,4:37,21.0,9,25,0,0,0,3,5,60.0,0,1,0.0,3,4,2,Anthony Lamb
Jonas Valanciunas,2,3:37,19.4,3,11,1,1,0,1,1,100.0,0,0,0.0,1,2,1,Anthony Lamb
Saddiq Bey,2,3:49,18.7,14,23,0,0,0,5,6,83.3,3,4,75.0,1,1,1,Anthony Lamb
Zion Williamson,2,3:25,18.3,6,31,1,0,0,3,4,75.0,0,0,0.0,0,0,0,Anthony Lamb
Rui Hachimura,1,3:47,18.3,2,9,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Lamb
Isaiah Roby,2,2:41,18.0,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Lamb
Larry Nance Jr.,2,4:14,17.5,4,32,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Anthony Lamb
Derrick Jones Jr.,2,3:46,16.7,5,18,0,0,1,1,4,25.0,0,0,0.0,3,3,1,Anthony Lamb
Patrick Williams,2,3:08,16.4,3,19,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Anthony Lamb
Paolo Banchero,1,3:15,15.7,7,16,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Anthony Lamb
P.J. Washington,1,3:07,15.5,3,7,0,0,0,1,4,25.0,1,3,33.3,0,0,0,Anthony Lamb
De'Andre Hunter,1,2:12,15.4,2,15,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Lamb
Brandon Ingram,2,2:33,15.3,7,14,2,1,0,3,5,60.0,1,3,33.3,0,0,0,Anthony Lamb
Chris Boucher,2,2:54,15.1,2,22,0,0,0,1,6,16.7,0,2,0.0,0,0,0,Anthony Lamb
Buddy Hield,2,3:11,14.9,5,12,0,0,1,2,6,33.3,1,2,50.0,0,0,0,Anthony Lamb
Oshae Brissett,2,2:47,14.9,14,18,0,2,0,5,6,83.3,2,2,100.0,2,2,1,Anthony Lamb
Doug McDermott,2,2:25,14.8,5,15,0,1,0,2,2,100.0,0,0,0.0,1,2,1,Anthony Lamb
Malcolm Brogdon,2,2:40,14.4,3,14,1,0,0,1,4,25.0,1,2,50.0,0,0,0,Anthony Lamb
Santi Aldama,2,3:05,13.3,0,21,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Lamb
Desmond Bane,2,2:02,13.1,5,17,1,1,0,2,5,40.0,0,2,0.0,1,1,1,Anthony Lamb
Bennedict Mathurin,2,2:51,13.1,2,16,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Anthony Lamb
John Collins,1,2:28,13.0,2,17,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Lamb
Bogdan Bogdanovic,1,1:43,12.9,4,9,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Anthony Lamb
Mikal Bridges,2,2:17,12.8,8,11,1,1,0,3,5,60.0,2,4,50.0,0,0,0,Anthony Lamb
Ish Wainright,1,2:16,12.5,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Lamb
Damion Lee,2,1:59,12.4,3,13,1,1,0,1,5,20.0,1,3,33.3,0,0,0,Anthony Lamb
De'Aaron Fox,2,2:29,12.4,4,11,1,1,0,1,4,25.0,0,0,0.0,2,2,1,Anthony Lamb
Goran Dragic,2,2:03,12.2,3,9,0,0,0,1,6,16.7,1,2,50.0,0,0,0,Anthony Lamb
Trey Murphy III,1,2:34,12.2,3,14,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Anthony Lamb
Killian Hayes,2,2:47,12.1,2,10,0,0,0,0,2,0.0,0,0,0.0,2,2,0,Anthony Lamb
Jock Landale,2,2:23,12.1,6,14,0,1,0,3,3,100.0,0,0,0.0,0,0,0,Anthony Lamb
T.J. Warren,1,2:38,12.0,2,13,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Anthony Lamb
Scottie Barnes,2,3:13,11.9,0,11,1,0,0,0,3,0.0,0,0,0.0,0,0,0,Anthony Lamb
Herbert Jones,2,2:14,11.7,2,4,1,1,0,0,1,0.0,0,1,0.0,2,2,1,Anthony Lamb
Josh Richardson,2,2:03,11.1,0,8,2,0,0,0,3,0.0,0,3,0.0,0,0,0,Anthony Lamb
Ayo Dosunmu,2,2:01,11.1,5,17,2,0,0,2,3,66.7,1,1,100.0,0,0,0,Anthony Lamb
Georges Niang,1,2:09,11.0,3,10,0,1,0,0,2,0.0,0,1,0.0,3,3,1,Anthony Lamb
Malik Monk,2,1:36,10.9,7,11,2,0,0,2,6,33.3,1,2,50.0,2,2,1,Anthony Lamb
Naji Marshall,2,2:09,10.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Lamb
Rudy Gay,2,2:17,10.6,4,19,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Anthony Lamb
Zach LaVine,2,1:19,10.5,12,19,0,0,0,3,6,50.0,0,3,0.0,6,6,2,Anthony Lamb
Jeremy Sochan,2,2:03,10.4,4,12,0,0,0,1,1,100.0,0,0,0.0,2,2,0,Anthony Lamb
Garrison Mathews,1,2:05,10.4,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Anthony Lamb
Wendell Carter Jr.,1,1:41,10.2,2,14,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Anthony Lamb
Jarred Vanderbilt,3,2:14,10.2,2,11,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Anthony Lamb
Immanuel Quickley,2,2:11,10.1,4,15,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Anthony Lamb
