Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Walker Kessler,2,1:32,10.5,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jonas Valanciunas,2,1:56,9.2,2,7,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Boban Marjanovic
Zach Collins,2,1:56,8.2,0,2,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Moses Brown,2,1:55,7.7,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Mitchell Robinson,1,1:53,7.6,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Richaun Holmes,1,1:37,6.6,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Boban Marjanovic
JaVale McGee,1,1:13,6.3,2,5,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Boban Marjanovic
DeAndre Jordan,1,1:08,5.1,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jabari Walker,1,0:48,5.0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Mamadi Diakite,1,1:05,4.5,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Charles Bassey,1,0:49,4.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Nathan Knight,1,0:29,3.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Darius Bazley,1,0:41,3.5,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Boban Marjanovic
Isaiah Joe,1,0:39,3.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jaylin Williams,1,0:31,2.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Zeke Nnaji,1,0:35,2.8,2,2,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Boban Marjanovic
Jarrett Allen,1,0:44,2.5,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Julius Randle,1,0:31,2.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Serge Ibaka,1,0:29,2.3,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Boban Marjanovic
Naji Marshall,2,0:14,2.0,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Ousmane Dieng,1,0:23,2.0,0,5,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jusuf Nurkic,1,0:31,2.0,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Immanuel Quickley,1,0:35,2.0,2,5,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Boban Marjanovic
Evan Mobley,1,0:34,1.9,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Boban Marjanovic
CJ McCollum,2,0:21,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Brook Lopez,1,0:23,1.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Ish Smith,1,0:25,1.7,0,2,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Miles McBride,1,0:14,1.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Evan Fournier,1,0:14,1.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Trey Murphy III,2,0:17,1.3,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Boban Marjanovic
Naz Reid,1,0:06,1.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jack White,1,0:16,1.1,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Boban Marjanovic
McKinley Wright IV,1,0:13,1.1,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Romeo Langford,1,0:05,1.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jaden Hardy,1,0:10,0.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Herbert Jones,1,0:10,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jose Alvarado,1,0:05,0.8,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Boban Marjanovic
D'Angelo Russell,1,0:06,0.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Malik Beasley,2,0:04,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Keon Johnson,1,0:07,0.7,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Boban Marjanovic
Raul Neto,1,0:08,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Tre Jones,1,0:08,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Terance Mann,1,0:09,0.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Theo Pinson,1,0:08,0.7,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Boban Marjanovic
AJ Green,1,0:09,0.7,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Shaedon Sharpe,1,0:09,0.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Lamar Stevens,1,0:05,0.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Jaden McDaniels,1,0:04,0.6,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
Taurean Prince,1,0:14,0.6,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Boban Marjanovic
Jericho Sims,1,0:12,0.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Boban Marjanovic
