Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Buddy Hield,2,9:01,46.1,6,42,2,1,0,3,8,37.5,0,2,0.0,0,0,0,Bogdan Bogdanovic
Patrick Williams,3,8:05,42.1,4,37,2,0,0,2,4,50.0,0,2,0.0,0,0,0,Bogdan Bogdanovic
DeMar DeRozan,3,7:12,35.3,19,40,2,0,1,7,10,70.0,0,0,0.0,5,5,2,Bogdan Bogdanovic
Franz Wagner,2,6:31,33.5,7,37,1,0,0,3,6,50.0,1,4,25.0,0,0,0,Bogdan Bogdanovic
Anthony Lamb,1,6:13,32.7,8,39,0,0,0,3,5,60.0,2,4,50.0,0,0,0,Bogdan Bogdanovic
Royce O'Neale,2,6:23,28.8,5,24,0,1,0,2,4,50.0,1,2,50.0,0,0,0,Bogdan Bogdanovic
Norman Powell,2,5:37,27.6,4,24,3,2,0,2,7,28.6,0,2,0.0,0,0,0,Bogdan Bogdanovic
Zach LaVine,3,4:54,26.1,4,25,0,0,0,2,8,25.0,0,3,0.0,0,0,0,Bogdan Bogdanovic
Josh Okogie,2,4:33,24.4,7,23,0,0,0,2,5,40.0,1,2,50.0,2,2,1,Bogdan Bogdanovic
Coby White,3,3:55,23.3,5,16,3,1,0,2,7,28.6,1,5,20.0,0,0,0,Bogdan Bogdanovic
Markelle Fultz,2,3:41,23.2,19,33,0,1,0,9,15,60.0,1,1,100.0,0,0,0,Bogdan Bogdanovic
Gordon Hayward,1,4:53,22.2,3,20,2,2,0,1,5,20.0,1,3,33.3,0,0,0,Bogdan Bogdanovic
Christian Braun,1,4:34,21.9,0,18,0,0,1,0,3,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
MarJon Beauchamp,1,4:12,21.9,3,17,3,0,0,1,3,33.3,1,3,33.3,0,0,0,Bogdan Bogdanovic
Josh Giddey,2,4:00,21.6,4,27,3,1,1,2,7,28.6,0,0,0.0,0,0,0,Bogdan Bogdanovic
Damion Lee,2,3:22,20.5,1,8,0,0,0,0,3,0.0,0,2,0.0,1,2,1,Bogdan Bogdanovic
Derrick Jones Jr.,2,3:03,20.1,2,17,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Bogdan Bogdanovic
Yuta Watanabe,1,4:22,20.0,2,13,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Shai Gilgeous-Alexander,2,3:37,19.8,13,24,4,1,0,6,8,75.0,0,0,0.0,1,1,1,Bogdan Bogdanovic
Bruce Brown,2,3:45,19.2,3,20,1,0,0,0,2,0.0,0,2,0.0,3,4,2,Bogdan Bogdanovic
Bol Bol,2,4:13,18.7,4,23,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Bojan Bogdanovic,1,3:45,18.4,6,22,0,0,1,3,7,42.9,0,0,0.0,0,0,0,Bogdan Bogdanovic
RJ Barrett,2,3:26,17.8,2,9,0,2,0,1,3,33.3,0,1,0.0,0,0,0,Bogdan Bogdanovic
Terance Mann,2,3:10,17.7,0,16,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Russell Westbrook,2,3:28,17.3,6,19,1,2,0,3,6,50.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Ochai Agbaji,1,3:36,17.2,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bogdan Bogdanovic
Dennis Schroder,2,3:44,16.0,4,25,2,0,0,1,3,33.3,1,2,50.0,1,2,1,Bogdan Bogdanovic
Seth Curry,2,2:53,15.9,0,17,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Bogdan Bogdanovic
Oshae Brissett,2,2:36,15.5,6,13,1,0,0,3,4,75.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Ayo Dosunmu,3,2:20,15.4,4,18,1,1,0,2,6,33.3,0,2,0.0,0,0,0,Bogdan Bogdanovic
Josh Hart,1,3:11,15.0,2,15,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Shaedon Sharpe,1,2:50,15.0,0,8,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Bogdan Bogdanovic
Jamal Murray,2,2:39,15.0,12,19,1,0,0,5,6,83.3,2,2,100.0,0,0,0,Bogdan Bogdanovic
Miles McBride,2,3:35,14.8,0,12,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Josh Green,1,3:14,14.6,0,19,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Davion Mitchell,1,3:03,14.1,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Nikola Vucevic,3,2:51,14.0,2,21,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Bogdan Bogdanovic
Spencer Dinwiddie,1,3:17,14.0,6,22,4,1,0,2,4,50.0,2,3,66.7,0,0,0,Bogdan Bogdanovic
T.J. McConnell,2,2:41,13.9,4,25,3,0,0,2,3,66.7,0,0,0.0,0,0,0,Bogdan Bogdanovic
Troy Brown Jr.,1,2:30,13.7,2,14,1,0,0,1,4,25.0,0,2,0.0,0,0,0,Bogdan Bogdanovic
Jalen Williams,2,2:53,13.7,2,10,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Bogdan Bogdanovic
Juan Toscano-Anderson,2,2:26,13.7,5,10,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Bogdan Bogdanovic
Admiral Schofield,2,2:38,13.6,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Terrence Ross,2,2:21,13.6,3,13,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Bogdan Bogdanovic
Victor Oladipo,1,2:44,13.4,0,15,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Bogdan Bogdanovic
Patrick Beverley,2,2:38,13.3,0,23,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Reggie Jackson,2,3:29,13.0,2,19,3,0,0,1,3,33.3,0,1,0.0,0,0,0,Bogdan Bogdanovic
Herbert Jones,1,3:20,12.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bogdan Bogdanovic
Paolo Banchero,2,2:29,12.8,7,29,3,1,0,3,5,60.0,1,2,50.0,0,0,0,Bogdan Bogdanovic
Austin Reaves,1,2:15,12.5,0,8,0,0,1,0,2,0.0,0,1,0.0,0,0,0,Bogdan Bogdanovic
