Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Doug McDermott,2,3:54,20.0,14,25,0,1,0,5,8,62.5,4,7,57.1,0,0,0,Bryn Forbes
Kemba Walker,2,2:22,15.0,4,25,1,0,0,1,2,50.0,0,1,0.0,2,2,1,Bryn Forbes
Lindy Waters III,2,2:35,13.8,3,25,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Bryn Forbes
Simone Fontecchio,1,2:21,13.8,5,23,1,0,1,2,3,66.7,1,2,50.0,0,0,0,Bryn Forbes
Frank Ntilikina,2,3:02,13.1,3,15,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Bryn Forbes
Aaron Wiggins,2,2:33,12.7,3,16,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Bryn Forbes
Donte DiVincenzo,1,2:35,12.4,8,13,0,0,0,3,3,100.0,2,2,100.0,0,0,0,Bryn Forbes
Christian Braun,1,2:36,11.4,4,10,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Bryn Forbes
Shaedon Sharpe,1,2:06,10.5,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bryn Forbes
Jordan Poole,1,1:54,10.3,2,7,2,1,0,1,3,33.3,0,1,0.0,0,0,0,Bryn Forbes
Tre Jones,2,2:18,9.6,0,6,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Bryn Forbes
Tre Mann,3,1:22,9.0,5,10,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Bryn Forbes
Dillon Brooks,2,1:48,8.5,4,8,0,0,0,1,1,100.0,0,0,0.0,2,2,0,Bryn Forbes
Davis Bertans,2,1:51,7.8,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bryn Forbes
David Roddy,2,1:37,7.6,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bryn Forbes
Isaiah Livers,1,1:30,7.4,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bryn Forbes
Devonte' Graham,1,1:23,7.4,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bryn Forbes
Coby White,1,1:10,7.2,2,5,0,0,0,0,1,0.0,0,1,0.0,2,2,0,Bryn Forbes
Reggie Bullock,2,1:16,7.1,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Bryn Forbes
John Konchar,1,1:59,6.9,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Bryn Forbes
Keldon Johnson,2,1:50,6.9,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Bryn Forbes
Tyus Jones,2,1:22,6.8,0,16,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Bryn Forbes
