Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Cedi Osman,2,6:45,30.4,8,28,3,0,0,3,5,60.0,2,4,50.0,0,0,0,Caleb Houstan
James Bouknight,2,5:04,26.7,6,25,0,0,0,2,6,33.3,2,4,50.0,0,0,0,Caleb Houstan
Jalen McDaniels,3,4:45,25.7,4,23,1,0,0,1,4,25.0,0,0,0.0,2,2,1,Caleb Houstan
Josh Giddey,2,4:21,21.2,0,15,1,3,0,0,1,0.0,0,1,0.0,0,0,0,Caleb Houstan
Josh Green,1,4:58,19.1,0,14,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Caleb Houstan
Royce O'Neale,1,4:08,17.6,0,16,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Caleb Houstan
Georges Niang,2,3:07,17.6,6,19,1,0,0,2,5,40.0,2,4,50.0,0,0,0,Caleb Houstan
RJ Barrett,1,2:45,16.1,0,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Caleb Houstan
Corey Kispert,1,2:34,15.5,0,11,0,0,1,0,1,0.0,0,1,0.0,0,0,0,Caleb Houstan
Furkan Korkmaz,2,2:38,14.6,3,22,0,0,0,0,1,0.0,0,0,0.0,3,4,2,Caleb Houstan
Aaron Nesmith,2,2:50,14.3,0,17,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Caleb Houstan
Joe Harris,1,2:55,13.8,3,22,0,0,0,0,0,0.0,0,0,0.0,3,3,1,Caleb Houstan
Bojan Bogdanovic,2,2:45,13.6,5,19,0,0,1,1,2,50.0,1,1,100.0,2,2,0,Caleb Houstan
AJ Griffin,1,2:50,13.6,3,13,0,0,1,1,2,50.0,1,1,100.0,0,0,0,Caleb Houstan
Oshae Brissett,2,3:28,13.6,0,11,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Caleb Houstan
Luguentz Dort,2,2:36,13.1,3,9,0,0,0,1,4,25.0,1,1,100.0,0,0,0,Caleb Houstan
Jordan McLaughlin,1,1:53,12.8,0,16,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Caleb Houstan
