Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Marcus Smart,1,7:56,37.6,2,41,3,1,0,1,2,50.0,0,0,0.0,0,0,0,Cam Reddish
Jordan Clarkson,1,5:02,28.2,11,36,2,0,0,3,4,75.0,3,4,75.0,2,2,1,Cam Reddish
Stephen Curry,1,5:39,27.1,7,23,3,1,0,3,4,75.0,1,2,50.0,0,0,0,Cam Reddish
Michael Porter Jr.,1,5:52,25.8,0,25,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Cam Reddish
Hamidou Diallo,3,4:33,23.2,2,20,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Cam Reddish
Jalen McDaniels,1,4:51,22.3,5,37,2,0,0,2,4,50.0,1,1,100.0,0,0,0,Cam Reddish
Desmond Bane,1,5:07,20.6,6,23,1,0,0,2,6,33.3,1,4,25.0,1,2,1,Cam Reddish
Tyrese Maxey,1,4:34,18.9,7,20,0,2,1,2,7,28.6,1,3,33.3,2,2,1,Cam Reddish
Jake LaRavia,2,4:08,18.5,6,17,0,2,0,2,3,66.7,2,3,66.7,0,0,0,Cam Reddish
Josh Giddey,1,3:02,17.3,2,15,2,2,0,1,1,100.0,0,0,0.0,0,0,0,Cam Reddish
Bojan Bogdanovic,2,2:41,16.3,6,20,0,0,0,2,4,50.0,0,2,0.0,2,2,1,Cam Reddish
Kevin Durant,1,3:09,15.8,8,28,5,0,0,3,4,75.0,0,0,0.0,2,2,1,Cam Reddish
Malik Beasley,1,2:59,14.2,8,13,0,0,0,3,5,60.0,2,3,66.7,0,0,0,Cam Reddish
Grayson Allen,2,2:38,14.2,0,18,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Cam Reddish
Jaylen Brown,1,2:41,14.1,9,26,3,1,0,3,5,60.0,3,5,60.0,0,0,0,Cam Reddish
Alec Burks,2,3:25,13.5,0,18,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Cam Reddish
Aleksej Pokusevski,1,1:38,13.4,5,24,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Cam Reddish
