Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Corey Kispert,4,6:57,32.3,4,35,1,0,0,1,2,50.0,0,1,0.0,2,2,1,Cam Thomas
Cameron Johnson,2,5:02,26.0,10,22,1,2,0,4,6,66.7,2,3,66.7,0,0,0,Cam Thomas
Deni Avdija,4,5:16,25.1,4,32,2,2,0,2,4,50.0,0,1,0.0,0,0,0,Cam Thomas
Reggie Jackson,2,5:25,25.1,0,23,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Cam Thomas
Terance Mann,2,5:01,23.4,2,22,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Cam Thomas
Jordan Goodwin,4,4:03,22.8,4,18,1,0,0,2,4,50.0,0,1,0.0,0,0,0,Cam Thomas
Alex Caruso,2,3:03,21.9,2,22,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Cam Thomas
Will Barton,3,4:14,19.8,2,13,1,1,0,1,5,20.0,0,1,0.0,0,0,0,Cam Thomas
Josh Green,1,4:44,18.9,3,17,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Cam Thomas
Mikal Bridges,2,3:16,17.6,6,24,0,0,0,3,5,60.0,0,1,0.0,0,0,0,Cam Thomas
Ayo Dosunmu,2,3:03,17.3,4,12,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Cam Thomas
Monte Morris,3,4:07,17.2,2,11,0,0,1,0,3,0.0,0,1,0.0,2,4,1,Cam Thomas
Juancho Hernangomez,3,2:52,17.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Cam Thomas
Kendrick Nunn,2,3:38,15.5,2,17,0,1,0,1,3,33.3,0,0,0.0,0,0,0,Cam Thomas
Payton Pritchard,2,3:14,15.1,2,20,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Cam Thomas
Gary Trent Jr.,2,2:58,14.6,11,22,0,1,0,3,5,60.0,2,3,66.7,3,3,2,Cam Thomas
