Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Zach LaVine,3,12:05,73.2,11,66,2,2,0,4,10,40.0,0,5,0.0,3,3,2,Caris Levert
DeMar DeRozan,3,14:18,71.0,17,77,3,3,0,6,16,37.5,0,1,0.0,5,5,3,Caris Levert
Jaylen Brown,2,14:22,70.8,20,71,5,4,0,8,13,61.5,2,5,40.0,2,2,1,Caris Levert
Jayson Tatum,2,8:42,45.5,13,51,4,2,0,6,11,54.5,0,2,0.0,1,1,1,Caris Levert
Jalen Williams,2,8:39,43.5,9,47,1,0,0,4,6,66.7,1,1,100.0,0,1,1,Caris Levert
Pascal Siakam,3,9:33,41.9,11,33,2,2,0,4,11,36.4,1,2,50.0,2,4,2,Caris Levert
LeBron James,2,8:13,40.6,16,47,1,1,0,8,11,72.7,0,0,0.0,0,0,0,Caris Levert
Grayson Allen,2,7:48,39.9,0,21,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Caris Levert
Jordan Clarkson,2,8:16,39.9,20,49,0,2,0,7,13,53.8,1,5,20.0,5,7,2,Caris Levert
Anthony Edwards,2,8:54,39.0,12,51,4,2,0,5,7,71.4,2,4,50.0,0,0,0,Caris Levert
Jaden Ivey,2,8:22,38.6,5,29,1,2,0,1,1,100.0,1,1,100.0,2,2,1,Caris Levert
Terrence Ross,2,8:19,37.1,4,29,0,0,0,2,7,28.6,0,2,0.0,0,0,0,Caris Levert
O.G. Anunoby,3,7:14,36.0,10,36,1,1,0,4,7,57.1,1,1,100.0,1,2,1,Caris Levert
Paul George,1,7:35,35.0,16,42,1,0,0,6,7,85.7,4,4,100.0,0,0,0,Caris Levert
Jalen Brunson,3,6:54,33.2,8,34,2,0,0,4,8,50.0,0,0,0.0,0,0,0,Caris Levert
Jordan Poole,2,6:29,32.6,11,36,0,2,1,4,9,44.4,3,4,75.0,0,0,0,Caris Levert
Brandon Boston Jr.,1,6:21,32.2,9,33,2,2,0,3,5,60.0,1,2,50.0,2,2,0,Caris Levert
Kevin Huerter,2,6:32,31.8,10,54,0,0,0,3,3,100.0,2,2,100.0,2,2,1,Caris Levert
Dillon Brooks,1,5:41,29.1,6,30,0,0,1,3,7,42.9,0,2,0.0,0,0,0,Caris Levert
Bennedict Mathurin,2,4:59,28.6,15,35,1,0,0,4,5,80.0,1,1,100.0,6,6,3,Caris Levert
Jrue Holiday,2,5:47,26.9,2,42,3,1,1,1,3,33.3,0,1,0.0,0,0,0,Caris Levert
Franz Wagner,2,6:19,26.5,5,24,0,1,0,2,7,28.6,0,2,0.0,1,1,1,Caris Levert
Desmond Bane,1,5:02,26.3,3,27,3,0,0,1,6,16.7,1,3,33.3,0,0,0,Caris Levert
Immanuel Quickley,3,5:05,26.1,6,30,3,3,0,3,4,75.0,0,1,0.0,0,0,0,Caris Levert
Will Barton,2,5:58,25.9,2,23,0,0,0,1,5,20.0,0,0,0.0,0,2,0,Caris Levert
Landry Shamet,2,4:46,25.7,5,26,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Caris Levert
Malik Monk,2,5:37,24.9,10,25,1,0,0,4,6,66.7,1,3,33.3,1,2,1,Caris Levert
Michael Porter Jr.,1,5:23,24.7,5,30,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Caris Levert
Malik Beasley,2,5:01,24.5,0,22,1,1,0,0,4,0.0,0,3,0.0,0,0,0,Caris Levert
Tyrese Haliburton,2,5:18,24.4,5,35,7,1,0,1,4,25.0,1,2,50.0,2,2,1,Caris Levert
Bobby Portis,3,5:04,23.9,4,27,1,1,0,2,3,66.7,0,0,0.0,0,0,0,Caris Levert
Mikal Bridges,2,5:38,23.9,3,8,1,0,0,1,4,25.0,1,3,33.3,0,0,0,Caris Levert
Ayo Dosunmu,3,3:16,23.1,2,23,1,0,1,1,2,50.0,0,0,0.0,0,0,0,Caris Levert
Tim Hardaway Jr.,2,5:02,22.5,3,18,0,0,0,1,2,50.0,0,1,0.0,1,2,1,Caris Levert
Reggie Bullock,2,4:17,22.5,0,29,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Caris Levert
Andrew Wiggins,1,4:34,21.5,3,24,0,2,0,1,1,100.0,1,1,100.0,0,0,0,Caris Levert
RJ Barrett,3,3:52,21.5,11,24,0,0,0,4,4,100.0,2,2,100.0,1,2,1,Caris Levert
Gary Trent Jr.,3,3:54,20.2,6,20,0,1,0,2,2,100.0,1,1,100.0,1,2,0,Caris Levert
Devin Vassell,1,4:04,20.1,5,15,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Caris Levert
Bradley Beal,1,4:03,19.8,5,9,0,1,0,2,4,50.0,0,1,0.0,1,2,0,Caris Levert
