Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Gary Trent Jr.,3,13:33,63.3,13,69,1,3,0,3,11,27.3,2,6,33.3,5,5,2,Cedi Osman
Zach LaVine,3,6:19,35.3,10,29,0,2,0,4,7,57.1,2,3,66.7,0,0,0,Cedi Osman
Isaiah Livers,3,6:49,32.1,4,29,0,0,0,1,2,50.0,0,1,0.0,2,2,1,Cedi Osman
Will Barton,2,4:52,30.6,8,28,1,0,1,3,7,42.9,0,2,0.0,2,2,1,Cedi Osman
Kevin Huerter,2,6:16,29.8,4,25,0,0,0,2,6,33.3,0,2,0.0,0,0,0,Cedi Osman
Haywood Highsmith,1,6:33,29.7,0,24,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Cedi Osman
Alex Caruso,3,5:43,29.7,4,30,1,0,0,1,3,33.3,0,1,0.0,2,2,1,Cedi Osman
Caleb Houstan,2,6:60,29.1,0,27,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Cedi Osman
Coby White,3,5:23,29.0,5,30,2,0,0,2,4,50.0,1,1,100.0,0,0,0,Cedi Osman
RJ Barrett,3,6:31,27.9,2,26,1,0,0,1,4,25.0,0,2,0.0,0,0,0,Cedi Osman
Terrence Ross,2,5:29,27.2,2,26,2,0,0,1,5,20.0,0,2,0.0,0,0,0,Cedi Osman
Juancho Hernangomez,3,5:47,26.4,0,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman
Taurean Prince,2,4:51,25.8,4,30,0,0,0,1,1,100.0,0,0,0.0,2,2,0,Cedi Osman
Damion Lee,2,4:18,25.5,7,25,0,0,0,2,3,66.7,1,2,50.0,2,2,1,Cedi Osman
Saddiq Bey,3,5:28,25.0,3,21,0,0,0,1,6,16.7,1,4,25.0,0,0,0,Cedi Osman
George Hill,3,4:55,24.9,5,27,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Cedi Osman
Mikal Bridges,2,4:45,23.8,2,25,0,0,0,1,4,25.0,0,1,0.0,0,0,0,Cedi Osman
Georges Niang,1,5:19,22.9,0,29,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Cedi Osman
Jaylen Nowell,2,4:29,22.7,6,29,2,0,0,2,2,100.0,0,0,0.0,2,3,1,Cedi Osman
Joe Ingles,2,4:55,22.6,3,24,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Cedi Osman
AJ Green,2,4:28,21.1,0,18,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Cedi Osman
John Konchar,2,3:53,21.1,0,26,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Cedi Osman
Jalen Brunson,3,3:38,20.6,4,19,2,1,0,2,5,40.0,0,1,0.0,0,0,0,Cedi Osman
Keegan Murray,2,3:40,19.0,3,21,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Cedi Osman
Tyus Jones,2,2:52,18.7,0,20,1,1,1,0,1,0.0,0,0,0.0,0,0,0,Cedi Osman
Bennedict Mathurin,2,3:14,18.6,10,17,0,0,0,4,6,66.7,1,2,50.0,1,3,1,Cedi Osman
Wesley Matthews,2,3:37,18.4,3,14,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Cedi Osman
Derrick Jones Jr.,2,3:10,18.4,0,24,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Cedi Osman
Austin Reaves,2,3:53,18.1,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Cedi Osman
Chris Boucher,1,4:17,18.0,0,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman
Justin Holiday,1,3:41,17.9,0,15,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Cedi Osman
Bruce Brown,1,3:49,17.8,3,27,3,0,0,1,3,33.3,1,2,50.0,0,0,0,Cedi Osman
AJ Griffin,1,2:58,17.7,2,20,1,1,0,1,2,50.0,0,1,0.0,0,0,0,Cedi Osman
Trey Lyles,2,3:09,17.1,3,14,1,1,0,1,2,50.0,1,1,100.0,0,0,0,Cedi Osman
Malik Beasley,2,3:47,17.0,0,14,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Cedi Osman
DeMar DeRozan,3,2:41,17.0,4,25,0,0,0,1,2,50.0,0,0,0.0,2,2,1,Cedi Osman
Malcolm Brogdon,2,3:08,16.8,9,22,1,0,0,3,5,60.0,1,1,100.0,2,2,0,Cedi Osman
Hamidou Diallo,3,3:43,16.6,0,8,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman
Yuta Watanabe,1,4:08,16.4,2,13,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Cedi Osman
Dejounte Murray,1,2:23,16.4,0,13,2,0,0,0,2,0.0,0,0,0.0,0,0,0,Cedi Osman
Kevin Knox II,3,3:00,16.1,3,18,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Cedi Osman
Aaron Nesmith,2,3:03,16.0,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman
Simone Fontecchio,2,2:51,15.7,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman
Franz Wagner,2,3:06,15.4,4,17,1,1,0,1,3,33.3,0,0,0.0,2,2,1,Cedi Osman
Trendon Watford,1,4:19,15.3,3,10,0,0,0,1,2,50.0,0,0,0.0,1,1,1,Cedi Osman
Jordan Nwora,2,2:40,15.1,4,22,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Cedi Osman
Matt Ryan,1,2:59,14.8,0,14,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman
Oshae Brissett,2,2:51,14.7,0,9,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Cedi Osman
Troy Brown Jr.,2,2:54,14.6,2,11,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Cedi Osman
Sam Hauser,2,2:45,14.6,0,17,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Cedi Osman
