Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Maxi Kleber,2,5:31,31.4,2,30,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Chris Boucher
Isaiah Hartenstein,4,6:48,30.4,6,32,0,0,0,3,5,60.0,0,0,0.0,0,0,0,Chris Boucher
Dorian Finney-Smith,2,6:56,28.8,5,22,0,2,0,1,4,25.0,0,3,0.0,3,3,1,Chris Boucher
Grant Williams,2,5:32,25.9,7,28,0,0,0,2,3,66.7,1,1,100.0,2,2,1,Chris Boucher
Admiral Schofield,3,5:35,25.8,2,28,1,0,0,0,2,0.0,0,2,0.0,2,2,1,Chris Boucher
Kenyon Martin Jr.,2,4:24,24.8,9,38,2,1,0,3,3,100.0,2,2,100.0,1,1,1,Chris Boucher
Javonte Green,2,4:27,24.6,5,24,0,0,0,2,6,33.3,0,3,0.0,1,1,1,Chris Boucher
Keita Bates-Diop,2,4:32,24.5,4,25,1,0,2,2,4,50.0,0,0,0.0,0,0,0,Chris Boucher
Ish Wainright,2,4:32,23.3,0,23,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Chris Boucher
Troy Brown Jr.,1,3:34,23.1,0,15,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Chris Boucher
Danuel House Jr.,3,4:47,21.6,0,16,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Chris Boucher
Dario Saric,2,4:25,21.6,7,31,0,1,0,2,3,66.7,1,1,100.0,2,2,1,Chris Boucher
Trey Lyles,2,4:25,20.7,2,24,1,0,1,0,3,0.0,0,2,0.0,2,2,1,Chris Boucher
P.J. Tucker,3,4:58,20.1,0,15,0,2,0,0,1,0.0,0,1,0.0,0,0,0,Chris Boucher
Edmond Sumner,3,4:09,20.1,2,9,1,2,0,1,5,20.0,0,4,0.0,0,0,0,Chris Boucher
Isaiah Roby,1,3:23,19.6,2,12,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Chris Boucher
Matisse Thybulle,2,4:03,19.2,3,19,1,0,1,1,4,25.0,1,4,25.0,0,0,0,Chris Boucher
Quentin Grimes,3,4:01,18.3,0,12,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Chris Boucher
Brandon Clarke,2,3:13,18.0,6,24,0,0,0,3,5,60.0,0,0,0.0,0,0,0,Chris Boucher
Georges Niang,3,2:54,17.7,0,17,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Chris Boucher
JaMychal Green,2,2:36,17.6,8,18,1,0,1,3,4,75.0,2,3,66.7,0,0,0,Chris Boucher
Terrence Ross,3,3:42,17.5,3,17,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Chris Boucher
