Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Anthony Edwards,4,8:04,41.1,4,40,2,2,0,2,4,50.0,0,1,0.0,0,0,0,Christian Braun
Malik Beasley,3,7:36,37.9,3,28,0,0,0,1,4,25.0,1,4,25.0,0,0,0,Christian Braun
Tre Mann,4,4:46,25.0,4,30,2,1,0,2,4,50.0,0,2,0.0,0,0,0,Christian Braun
Jaylen Nowell,4,4:15,22.9,0,16,0,1,0,0,2,0.0,0,0,0.0,0,0,0,Christian Braun
Troy Brown Jr.,3,3:55,21.2,2,15,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Christian Braun
Shai Gilgeous-Alexander,4,3:02,21.2,16,32,3,1,1,4,7,57.1,0,1,0.0,8,8,3,Christian Braun
Ja Morant,1,4:07,20.7,4,8,2,1,1,2,7,28.6,0,0,0.0,0,0,0,Christian Braun
Luka Doncic,3,3:52,20.2,12,21,1,1,0,2,4,50.0,1,3,33.3,7,8,3,Christian Braun
Malik Monk,2,4:03,20.0,6,18,1,1,1,2,8,25.0,0,4,0.0,2,2,1,Christian Braun
D'Angelo Russell,3,3:41,18.6,2,17,6,1,0,1,2,50.0,0,1,0.0,0,0,0,Christian Braun
Bogdan Bogdanovic,1,3:51,18.5,6,19,1,0,0,3,5,60.0,0,1,0.0,0,0,0,Christian Braun
Nickeil Alexander-Walker,2,2:50,18.2,10,27,2,0,0,4,7,57.1,2,3,66.7,0,0,0,Christian Braun
Jose Alvarado,3,4:18,18.1,0,10,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Christian Braun
Ayo Dosunmu,1,2:58,16.7,1,13,2,0,0,0,4,0.0,0,3,0.0,1,2,1,Christian Braun
Devonte' Graham,2,3:24,15.7,0,18,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Christian Braun
Austin Reaves,3,2:29,15.6,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Christian Braun
Talen Horton-Tucker,2,3:18,15.4,4,22,0,0,0,2,4,50.0,0,2,0.0,0,0,0,Christian Braun
De'Aaron Fox,2,3:16,15.3,7,19,1,0,0,3,5,60.0,1,1,100.0,0,0,0,Christian Braun
Will Barton,1,2:43,15.2,0,13,3,0,0,0,2,0.0,0,0,0.0,0,0,0,Christian Braun
Russell Westbrook,2,2:07,15.1,2,21,3,1,0,1,3,33.3,0,1,0.0,0,0,0,Christian Braun
Grayson Allen,1,1:50,14.7,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Christian Braun
Justise Winslow,1,3:27,14.4,0,12,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Christian Braun
Kelly Oubre Jr.,1,2:33,14.2,0,15,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Christian Braun
John Konchar,1,2:23,14.2,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Christian Braun
Kevin Huerter,2,2:50,14.0,0,9,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Christian Braun
Derrick White,2,3:09,14.0,5,18,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Christian Braun
Matt Ryan,5,2:21,13.9,3,18,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Christian Braun
Jalen McDaniels,1,2:45,13.7,2,15,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Christian Braun
Corey Kispert,1,2:35,13.6,0,18,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Christian Braun
Tim Hardaway Jr.,3,2:30,13.3,0,14,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Christian Braun
Ty Jerome,1,2:29,13.3,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Christian Braun
Jonathan Kuminga,1,2:15,12.4,2,6,0,2,0,1,1,100.0,0,0,0.0,0,0,0,Christian Braun
Donte DiVincenzo,2,2:12,12.3,0,9,0,2,0,0,2,0.0,0,1,0.0,0,0,0,Christian Braun
Dejounte Murray,1,1:56,12.2,4,14,1,0,0,2,4,50.0,0,2,0.0,0,0,0,Christian Braun
Jaylen Brown,2,2:24,12.0,4,16,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Christian Braun
Jayson Tatum,2,2:08,12.0,4,8,2,2,0,2,2,100.0,0,0,0.0,0,1,1,Christian Braun
Cole Anthony,2,1:57,12.0,2,13,3,0,0,1,1,100.0,0,0,0.0,0,0,0,Christian Braun
Jordan Poole,2,2:19,11.7,0,14,2,2,0,0,0,0.0,0,0,0.0,0,0,0,Christian Braun
Terry Taylor,1,1:41,11.5,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Christian Braun
AJ Griffin,1,2:21,11.5,4,17,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Christian Braun
RJ Barrett,1,2:16,11.4,2,15,0,1,1,1,4,25.0,0,1,0.0,0,0,0,Christian Braun
Alex Caruso,1,2:15,11.3,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Christian Braun
Josh Giddey,4,2:34,11.1,2,23,2,0,2,1,4,25.0,0,1,0.0,0,0,0,Christian Braun
CJ McCollum,3,2:31,11.0,6,10,1,1,0,2,3,66.7,0,0,0.0,2,2,0,Christian Braun
LeBron James,3,1:43,11.0,7,15,1,0,0,3,6,50.0,1,1,100.0,0,0,0,Christian Braun
Isaiah Joe,2,1:51,10.9,2,11,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Christian Braun
Andrew Wiggins,2,1:55,10.9,2,9,1,0,0,0,3,0.0,0,2,0.0,2,2,1,Christian Braun
Jalen Williams,3,2:19,10.6,0,6,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Christian Braun
Stephen Curry,2,1:56,10.2,4,8,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Christian Braun
Joe Ingles,1,2:02,10.1,3,13,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Christian Braun
