Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kentavious Caldwell-Pope,3,17:24,92.0,14,96,2,3,0,6,8,75.0,2,3,66.7,0,0,0,Cj Mccollum
Mike Conley,3,14:54,74.6,5,86,7,2,0,2,7,28.6,1,4,25.0,0,0,0,Cj Mccollum
Chris Paul,4,14:45,72.7,15,82,8,1,0,5,9,55.6,3,4,75.0,2,2,1,Cj Mccollum
De'Anthony Melton,2,15:04,70.3,10,77,4,0,0,4,9,44.4,2,7,28.6,0,0,0,Cj Mccollum
Dejounte Murray,2,13:19,69.7,17,65,9,1,0,7,16,43.8,3,9,33.3,0,0,0,Cj Mccollum
Mikal Bridges,4,13:11,63.2,19,89,1,1,0,8,11,72.7,1,2,50.0,2,2,0,Cj Mccollum
Andrew Nembhard,2,10:55,55.4,2,54,2,2,0,1,3,33.3,0,1,0.0,0,0,0,Cj Mccollum
Tre Jones,2,10:47,50.7,4,37,3,0,1,2,5,40.0,0,0,0.0,0,0,0,Cj Mccollum
Royce O'Neale,2,10:36,48.9,8,34,0,0,0,3,4,75.0,2,2,100.0,0,0,0,Cj Mccollum
John Konchar,2,9:15,48.5,7,47,0,1,0,3,5,60.0,1,3,33.3,0,0,0,Cj Mccollum
D'Angelo Russell,2,8:58,45.0,18,59,3,1,1,7,12,58.3,3,5,60.0,1,1,1,Cj Mccollum
Ayo Dosunmu,2,7:13,43.8,6,35,2,1,0,3,5,60.0,0,1,0.0,0,0,0,Cj Mccollum
Monte Morris,2,9:22,43.0,9,39,1,0,0,3,5,60.0,1,2,50.0,2,2,0,Cj Mccollum
Killian Hayes,2,7:48,42.3,10,43,5,0,1,4,7,57.1,2,2,100.0,0,0,0,Cj Mccollum
Jalen Green,2,7:11,41.6,10,41,3,1,0,3,8,37.5,1,2,50.0,3,3,2,Cj Mccollum
Derrick White,2,7:35,41.5,9,39,2,1,0,3,3,100.0,1,1,100.0,2,2,1,Cj Mccollum
Reggie Bullock,2,8:45,40.1,0,46,1,0,0,0,4,0.0,0,4,0.0,0,0,0,Cj Mccollum
Damion Lee,4,8:43,38.6,5,38,0,1,0,2,5,40.0,1,4,25.0,0,0,0,Cj Mccollum
Jordan Clarkson,3,8:49,38.5,10,38,3,3,0,4,10,40.0,2,5,40.0,0,0,0,Cj Mccollum
Kyle Lowry,2,8:47,37.8,6,39,0,1,0,2,4,50.0,2,4,50.0,0,0,0,Cj Mccollum
Jamal Murray,3,7:15,37.2,7,47,3,1,0,3,7,42.9,1,1,100.0,0,0,0,Cj Mccollum
Gary Harris,1,7:02,36.2,7,32,0,1,0,2,3,66.7,2,3,66.7,1,2,0,Cj Mccollum
Bruce Brown,3,7:26,36.1,3,39,1,0,0,1,6,16.7,1,4,25.0,0,0,0,Cj Mccollum
Patrick Beverley,2,6:31,35.9,0,40,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Cj Mccollum
Moses Moody,2,7:60,33.9,6,24,0,1,0,2,5,40.0,2,5,40.0,0,0,0,Cj Mccollum
Lonnie Walker IV,2,6:33,33.3,6,29,0,0,1,2,6,33.3,1,3,33.3,1,2,1,Cj Mccollum
Isaac Okoro,1,7:26,32.6,1,22,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Cj Mccollum
Eric Gordon,2,7:36,32.6,5,27,1,0,0,2,6,33.3,1,4,25.0,0,0,0,Cj Mccollum
Luguentz Dort,1,4:22,29.9,3,30,0,1,0,0,0,0.0,0,0,0.0,3,4,2,Cj Mccollum
Austin Rivers,2,6:01,29.1,3,34,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Cj Mccollum
Alex Caruso,2,5:52,28.1,8,31,1,0,0,3,3,100.0,2,2,100.0,0,0,0,Cj Mccollum
Malik Beasley,3,5:39,27.3,11,29,2,0,1,4,9,44.4,2,5,40.0,1,1,1,Cj Mccollum
Dennis Schroder,1,5:07,27.3,2,26,4,0,0,0,2,0.0,0,0,0.0,2,2,1,Cj Mccollum
Jrue Holiday,1,5:50,25.6,8,33,5,1,0,3,6,50.0,2,4,50.0,0,0,0,Cj Mccollum
Torrey Craig,4,5:49,25.5,4,30,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Cj Mccollum
Goran Dragic,2,4:29,24.8,2,27,4,0,0,1,5,20.0,0,3,0.0,0,0,0,Cj Mccollum
Josh Hart,1,5:47,24.3,9,23,1,0,0,4,4,100.0,1,1,100.0,0,0,0,Cj Mccollum
Kyrie Irving,2,4:12,23.3,3,25,3,0,1,1,8,12.5,1,5,20.0,0,0,0,Cj Mccollum
Jayson Tatum,2,3:34,22.6,7,38,4,0,1,2,5,40.0,0,2,0.0,3,4,1,Cj Mccollum
Cameron Johnson,1,4:03,22.3,0,20,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Cj Mccollum
Nickeil Alexander-Walker,2,4:35,21.8,0,23,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Cj Mccollum
Caleb Martin,2,4:11,21.8,2,28,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Cj Mccollum
Spencer Dinwiddie,2,5:02,21.6,7,17,1,1,1,1,8,12.5,1,3,33.3,4,4,2,Cj Mccollum
