Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Immanuel Quickley,3,12:51,57.2,12,67,4,1,0,5,12,41.7,0,3,0.0,2,2,1,Coby White
AJ Griffin,3,11:05,54.3,16,49,2,0,0,6,9,66.7,4,6,66.7,0,0,0,Coby White
Raul Neto,3,9:02,39.3,2,49,3,0,0,1,1,100.0,0,0,0.0,0,0,0,Coby White
Doug McDermott,2,6:26,37.3,11,44,2,0,0,3,6,50.0,3,5,60.0,2,3,1,Coby White
Dennis Smith Jr.,2,8:07,36.7,5,31,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Coby White
Malik Beasley,2,7:35,34.8,4,24,3,0,0,2,8,25.0,0,4,0.0,0,0,0,Coby White
Tyler Herro,2,6:53,32.9,8,30,1,1,0,3,5,60.0,1,2,50.0,1,2,1,Coby White
Josh Richardson,2,6:56,32.1,2,32,2,0,0,1,8,12.5,0,5,0.0,0,0,0,Coby White
Seth Curry,1,5:48,31.0,13,36,1,0,0,5,8,62.5,3,4,75.0,0,0,0,Coby White
Isaac Okoro,3,6:02,29.0,0,31,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Coby White
Tyrese Maxey,2,5:48,27.2,8,32,1,0,0,3,8,37.5,2,4,50.0,0,0,0,Coby White
Trae Young,3,5:45,26.9,22,34,3,1,0,8,10,80.0,3,5,60.0,3,4,3,Coby White
Monte Morris,3,5:29,26.9,6,28,3,1,0,2,4,50.0,1,2,50.0,1,1,1,Coby White
Jordan Poole,2,4:53,26.7,17,39,1,2,0,5,6,83.3,3,4,75.0,4,4,1,Coby White
Damian Lillard,1,5:31,26.2,11,32,2,1,0,2,5,40.0,2,5,40.0,5,5,1,Coby White
Jalen Brunson,3,5:31,24.2,10,31,2,1,0,4,5,80.0,1,1,100.0,1,2,0,Coby White
Cedi Osman,3,4:05,23.0,11,39,0,1,0,3,4,75.0,2,3,66.7,3,3,1,Coby White
Chris Duarte,2,4:48,22.8,7,26,0,1,0,2,4,50.0,1,1,100.0,2,2,1,Coby White
Joe Harris,2,4:29,22.6,0,10,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Coby White
Jordan Goodwin,2,4:47,21.5,0,15,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Coby White
Terry Rozier,2,4:57,21.3,3,23,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Coby White
Derrick White,3,3:32,20.2,2,18,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Coby White
