Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Fred VanVleet,3,12:55,60.2,4,58,3,0,0,0,6,0.0,0,5,0.0,4,4,1,Cole Anthony
Trae Young,4,10:56,51.5,28,54,8,2,1,7,17,41.2,3,7,42.9,11,12,5,Cole Anthony
Malcolm Brogdon,3,8:27,40.4,12,44,1,0,0,4,11,36.4,2,6,33.3,2,2,1,Cole Anthony
Marcus Smart,3,5:56,33.6,3,39,4,1,0,1,4,25.0,0,3,0.0,1,1,1,Cole Anthony
Jalen Brunson,2,7:40,33.3,9,31,3,0,0,3,7,42.9,1,1,100.0,2,2,1,Cole Anthony
Derrick White,4,5:33,32.4,8,33,2,2,1,3,5,60.0,1,1,100.0,1,2,1,Cole Anthony
Dejounte Murray,3,5:20,29.0,12,37,4,0,0,5,9,55.6,2,4,50.0,0,0,0,Cole Anthony
Gary Trent Jr.,3,5:24,27.5,21,40,1,0,0,7,11,63.6,5,8,62.5,2,2,0,Cole Anthony
Payton Pritchard,2,6:25,27.0,2,19,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Cole Anthony
Delon Wright,1,4:59,26.5,10,26,4,0,0,4,4,100.0,2,2,100.0,0,0,0,Cole Anthony
Caris LeVert,2,5:19,26.4,6,30,4,1,0,2,4,50.0,2,3,66.7,0,2,1,Cole Anthony
Aaron Holiday,2,5:02,24.9,4,32,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Cole Anthony
Jaylen Brown,4,3:37,23.6,12,39,2,1,0,5,12,41.7,2,7,28.6,0,0,0,Cole Anthony
Anfernee Simons,1,4:27,23.1,2,21,3,0,0,1,2,50.0,0,0,0.0,0,0,0,Cole Anthony
Jordan Poole,1,4:42,23.1,2,18,0,0,0,0,5,0.0,0,4,0.0,2,2,1,Cole Anthony
Donovan Mitchell,2,5:02,22.8,4,20,1,1,0,1,8,12.5,0,2,0.0,2,2,0,Cole Anthony
Darius Garland,1,5:03,20.9,7,26,2,1,0,2,2,100.0,1,1,100.0,2,2,1,Cole Anthony
