Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Reggie Jackson,4,10:52,50.1,12,51,4,0,0,5,10,50.0,2,4,50.0,0,0,0,Collin Sexton
Tyus Jones,2,8:25,46.1,14,53,5,1,0,6,9,66.7,2,3,66.7,0,0,0,Collin Sexton
Anthony Edwards,3,7:59,42.8,9,44,3,0,0,4,12,33.3,1,6,16.7,0,0,0,Collin Sexton
Anfernee Simons,3,8:00,40.0,6,50,3,2,0,2,3,66.7,2,2,100.0,0,0,0,Collin Sexton
Jaylen Nowell,3,5:43,33.2,10,54,1,0,0,4,6,66.7,2,3,66.7,0,0,0,Collin Sexton
Devin Booker,2,5:31,32.5,14,33,1,0,0,4,13,30.8,2,6,33.3,4,4,0,Collin Sexton
Zach LaVine,1,6:21,32.3,5,40,3,1,0,2,7,28.6,1,3,33.3,0,0,0,Collin Sexton
Jordan Poole,3,6:04,32.2,8,31,2,1,0,1,2,50.0,0,1,0.0,6,6,2,Collin Sexton
Cameron Payne,2,5:54,30.5,3,32,4,1,0,0,2,0.0,0,2,0.0,3,6,3,Collin Sexton
John Wall,3,5:05,29.4,4,32,4,1,0,1,3,33.3,0,2,0.0,2,2,1,Collin Sexton
Terance Mann,4,5:59,28.6,2,35,3,1,0,1,1,100.0,0,0,0.0,0,0,0,Collin Sexton
Jaden Ivey,1,7:01,28.6,7,41,2,0,0,2,4,50.0,0,0,0.0,3,4,2,Collin Sexton
Russell Westbrook,2,4:14,24.5,10,32,1,1,0,3,4,75.0,0,0,0.0,4,4,1,Collin Sexton
Tim Hardaway Jr.,3,4:55,23.9,3,23,1,1,0,1,5,20.0,1,4,25.0,0,2,1,Collin Sexton
Damian Lillard,2,4:13,23.2,17,23,1,1,0,6,7,85.7,2,3,66.7,3,4,2,Collin Sexton
D'Angelo Russell,2,3:42,22.4,6,28,3,0,0,1,1,100.0,0,0,0.0,4,4,2,Collin Sexton
Jordan Goodwin,2,3:45,22.3,2,24,2,2,0,1,3,33.3,0,1,0.0,0,0,0,Collin Sexton
Ty Jerome,2,3:26,21.7,9,28,0,0,0,4,6,66.7,0,2,0.0,1,1,1,Collin Sexton
Donte DiVincenzo,3,4:46,21.7,0,24,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Collin Sexton
Kyrie Irving,1,4:12,21.5,8,21,1,0,0,2,6,33.3,2,5,40.0,2,4,1,Collin Sexton
Trae Young,2,3:58,21.2,0,8,1,1,0,0,6,0.0,0,3,0.0,0,0,0,Collin Sexton
Justise Winslow,2,4:02,20.6,0,27,1,2,0,0,1,0.0,0,0,0.0,0,0,0,Collin Sexton
Jaden Hardy,2,4:55,19.9,3,24,0,2,0,1,2,50.0,1,1,100.0,0,0,0,Collin Sexton
Stephen Curry,1,4:07,18.3,9,28,1,1,0,3,4,75.0,2,3,66.7,1,1,1,Collin Sexton
De'Aaron Fox,1,3:09,18.1,4,20,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Collin Sexton
Bones Hyland,2,3:18,17.9,6,23,3,0,0,2,3,66.7,2,3,66.7,0,0,0,Collin Sexton
Josh Green,3,3:45,17.3,0,25,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Collin Sexton
Ivica Zubac,4,3:03,17.3,6,25,0,0,1,3,5,60.0,0,0,0.0,0,0,0,Collin Sexton
Buddy Hield,1,2:58,17.0,0,11,0,2,0,0,2,0.0,0,2,0.0,0,0,0,Collin Sexton
Fred VanVleet,1,2:57,17.0,2,10,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Collin Sexton
Jerami Grant,3,2:60,16.9,6,23,2,0,0,3,5,60.0,0,0,0.0,0,0,0,Collin Sexton
Tyler Herro,1,3:16,16.8,4,14,1,1,0,1,4,25.0,0,3,0.0,2,2,0,Collin Sexton
Ja Morant,1,3:01,16.8,9,13,0,1,0,3,5,60.0,1,1,100.0,2,4,1,Collin Sexton
Dejounte Murray,2,2:10,16.8,2,22,1,1,0,1,1,100.0,0,0,0.0,0,1,1,Collin Sexton
Taurean Prince,3,3:05,16.8,4,26,1,1,0,1,2,50.0,0,1,0.0,2,2,1,Collin Sexton
Marcus Morris Sr.,4,2:56,16.7,9,21,1,1,0,3,8,37.5,1,3,33.3,2,2,1,Collin Sexton
Daishen Nix,2,3:27,16.3,0,11,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Collin Sexton
Austin Reaves,2,2:42,15.9,0,19,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Collin Sexton
Shaedon Sharpe,3,2:32,15.8,2,17,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Collin Sexton
Reggie Bullock,3,4:06,15.6,5,20,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Collin Sexton
Tyrese Maxey,1,3:24,15.5,2,14,2,0,0,1,3,33.3,0,2,0.0,0,0,0,Collin Sexton
Nicolas Batum,4,3:20,15.3,6,27,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Collin Sexton
Spencer Dinwiddie,2,4:01,15.2,0,15,3,0,0,0,2,0.0,0,1,0.0,0,0,0,Collin Sexton
Terry Rozier,1,2:57,15.0,1,8,0,1,0,0,1,0.0,0,1,0.0,1,2,1,Collin Sexton
David Roddy,2,2:06,14.6,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Collin Sexton
Dorian Finney-Smith,2,2:51,14.5,3,25,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Collin Sexton
Christian Braun,1,3:10,14.4,2,20,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Collin Sexton
Norman Powell,3,2:42,14.3,3,17,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Collin Sexton
Jose Alvarado,1,2:31,13.7,2,15,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Collin Sexton
Markelle Fultz,1,2:22,13.6,0,5,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Collin Sexton
