Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
P.J. Washington,4,13:23,58.7,18,59,2,1,0,7,12,58.3,4,5,80.0,0,0,0,Corey Kispert
Caleb Martin,3,10:56,55.3,7,52,0,1,0,3,7,42.9,1,2,50.0,0,0,0,Corey Kispert
Joe Harris,4,9:22,46.8,9,54,0,0,0,4,6,66.7,1,3,33.3,0,0,0,Corey Kispert
Nicolas Batum,2,9:28,45.7,3,52,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Corey Kispert
Quentin Grimes,2,8:22,43.4,2,50,1,0,0,0,3,0.0,0,2,0.0,2,2,1,Corey Kispert
Santi Aldama,2,8:00,40.5,0,35,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Corey Kispert
Lonnie Walker IV,2,6:20,38.0,15,53,0,0,0,5,6,83.3,3,4,75.0,2,2,1,Corey Kispert
Marcus Morris Sr.,2,8:15,37.9,3,25,0,0,0,1,6,16.7,1,4,25.0,0,0,0,Corey Kispert
Dorian Finney-Smith,2,7:19,33.9,6,29,2,0,0,2,3,66.7,2,3,66.7,0,0,0,Corey Kispert
Trey Murphy III,2,6:06,32.9,4,31,0,0,0,2,5,40.0,0,1,0.0,0,0,0,Corey Kispert
Haywood Highsmith,3,6:56,32.5,2,34,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Corey Kispert
Malik Beasley,2,6:37,31.4,10,37,1,0,0,4,7,57.1,2,5,40.0,0,0,0,Corey Kispert
Buddy Hield,1,7:27,31.4,9,30,1,1,0,4,7,57.1,1,3,33.3,0,0,0,Corey Kispert
Nikola Jovic,3,5:23,31.0,5,18,0,1,0,2,4,50.0,0,1,0.0,1,1,1,Corey Kispert
Patrick Williams,2,5:45,29.7,11,34,1,0,0,5,6,83.3,1,1,100.0,0,0,0,Corey Kispert
Terry Rozier,4,5:51,29.5,2,31,4,1,1,1,7,14.3,0,2,0.0,0,0,0,Corey Kispert
Alex Caruso,2,5:26,28.5,3,27,0,0,0,1,4,25.0,0,1,0.0,1,1,1,Corey Kispert
Edmond Sumner,4,4:42,27.5,8,41,2,1,0,3,5,60.0,0,1,0.0,2,2,1,Corey Kispert
Gordon Hayward,2,4:43,27.4,4,26,2,0,0,2,3,66.7,0,1,0.0,0,0,0,Corey Kispert
Cam Thomas,4,5:45,26.9,10,29,2,0,0,4,6,66.7,1,2,50.0,1,1,1,Corey Kispert
Grayson Allen,2,5:23,26.6,0,19,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Corey Kispert
Kyle Lowry,3,4:48,25.9,1,38,2,0,0,0,2,0.0,0,1,0.0,1,2,1,Corey Kispert
Pat Connaughton,2,4:50,25.5,8,25,0,0,0,3,4,75.0,2,3,66.7,0,0,0,Corey Kispert
Seth Curry,3,5:12,25.0,0,22,1,2,0,0,0,0.0,0,0,0.0,0,0,0,Corey Kispert
Luke Kennard,2,4:46,23.9,2,26,2,0,0,1,4,25.0,0,2,0.0,0,0,0,Corey Kispert
Kentavious Caldwell-Pope,1,4:15,23.7,2,28,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Corey Kispert
Franz Wagner,2,4:15,23.7,2,30,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Corey Kispert
Josh Giddey,1,4:26,23.5,4,18,2,2,0,2,4,50.0,0,0,0.0,0,0,0,Corey Kispert
Jalen McDaniels,4,5:08,23.4,4,24,0,1,0,0,1,0.0,0,0,0.0,4,4,2,Corey Kispert
Bones Hyland,1,3:21,21.4,3,15,0,2,0,1,4,25.0,0,3,0.0,1,2,0,Corey Kispert
Jarred Vanderbilt,2,4:55,21.1,0,17,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Corey Kispert
Tyler Herro,2,3:37,21.1,5,23,2,1,0,2,5,40.0,1,3,33.3,0,0,0,Corey Kispert
Jordan Poole,1,4:10,21.1,3,16,0,1,0,1,4,25.0,1,4,25.0,0,0,0,Corey Kispert
Kelly Oubre Jr.,3,3:13,20.4,12,25,0,0,1,5,9,55.6,1,3,33.3,1,1,1,Corey Kispert
Shaedon Sharpe,1,4:22,20.2,3,23,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Corey Kispert
Naji Marshall,2,3:43,19.9,4,29,2,0,0,2,4,50.0,0,0,0.0,0,0,0,Corey Kispert
Josh Green,2,3:39,19.9,2,22,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Corey Kispert
Max Strus,1,4:41,19.9,7,14,1,1,0,3,7,42.9,1,4,25.0,0,0,0,Corey Kispert
Yuta Watanabe,3,3:23,19.3,2,20,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Corey Kispert
Torrey Craig,2,3:59,19.1,0,16,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Corey Kispert
Coby White,2,3:27,18.9,2,15,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Corey Kispert
Spencer Dinwiddie,2,3:16,18.4,15,29,1,0,0,5,5,100.0,3,3,100.0,2,2,1,Corey Kispert
Kelly Olynyk,1,3:42,18.2,0,10,1,0,0,0,4,0.0,0,1,0.0,0,0,0,Corey Kispert
MarJon Beauchamp,2,3:28,17.9,5,17,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Corey Kispert
Collin Sexton,2,3:43,16.8,4,16,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Corey Kispert
Herbert Jones,2,3:05,16.6,3,14,1,0,0,1,1,100.0,0,0,0.0,1,2,1,Corey Kispert
Damion Lee,2,3:39,16.4,0,19,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Corey Kispert
Jamal Cain,3,3:33,15.9,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Corey Kispert
Bol Bol,2,2:43,15.8,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Corey Kispert
CJ McCollum,2,2:29,15.5,9,20,0,0,0,2,3,66.7,1,1,100.0,4,4,2,Corey Kispert
