Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Anfernee Simons,1,1:19,6.0,3,10,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Dalen Terry
Pat Connaughton,1,1:07,5.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
AJ Griffin,1,1:03,5.8,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Bruce Brown,1,1:22,5.3,0,6,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Kenyon Martin Jr.,1,0:57,4.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Malaki Branham,1,0:38,4.6,0,4,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Dalen Terry
Frank Ntilikina,1,0:27,4.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Dean Wade,1,1:04,4.2,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Gary Trent Jr.,1,1:12,4.1,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Dalen Terry
Justin Jackson,1,0:31,3.6,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Dalen Terry
Damion Lee,1,0:46,3.3,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dalen Terry
Chris Boucher,1,0:36,3.1,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Jaden Hardy,1,0:37,2.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Bojan Bogdanovic,1,0:24,2.7,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Dalen Terry
Bennedict Mathurin,1,0:18,2.7,2,2,0,0,1,0,2,0.0,0,0,0.0,2,2,1,Dalen Terry
De'Andre Hunter,1,0:36,2.6,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Otto Porter Jr.,1,0:27,2.5,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
James Bouknight,1,0:25,2.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Matisse Thybulle,1,0:37,2.3,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Thaddeus Young,1,0:41,2.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Usman Garuba,1,0:12,2.1,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
O.G. Anunoby,1,0:26,2.0,0,3,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Dalen Terry
Isaiah Mobley,1,0:11,2.0,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Dalen Terry
Christian Braun,1,0:32,1.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Jabari Smith Jr.,1,0:27,1.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Stanley Johnson,1,0:14,1.9,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
James Harden,1,0:21,1.9,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Dalen Terry
Precious Achiuwa,1,0:15,1.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Jeff Green,1,0:23,1.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Joe Ingles,1,0:26,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Trey Murphy III,1,0:30,1.6,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Bogdan Bogdanovic,1,0:16,1.6,2,2,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Dalen Terry
Theo Pinson,1,0:14,1.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Zeke Nnaji,1,0:23,1.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Isaiah Roby,1,0:11,1.3,2,2,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Dalen Terry
Scottie Barnes,1,0:26,1.2,0,2,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Dalen Terry
Christian Koloko,1,0:12,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
TyTy Washington Jr.,1,0:11,1.1,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Torrey Craig,1,0:13,1.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
JT Thor,1,0:02,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Luke Kornet,1,0:07,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Garrison Mathews,1,0:19,1.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Ish Wainright,1,0:08,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Donte DiVincenzo,1,0:04,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Patrick Baldwin Jr.,1,0:07,1.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Malachi Flynn,1,0:09,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Jose Alvarado,1,0:15,1.0,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dalen Terry
Mikal Bridges,1,0:14,1.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Brook Lopez,1,0:08,0.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
Aaron Wiggins,1,0:11,0.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dalen Terry
