Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nic Claxton,4,11:02,60.5,9,66,3,0,1,4,8,50.0,0,0,0.0,1,2,1,Daniel Gafford
Brook Lopez,2,11:16,56.7,9,37,2,1,0,4,8,50.0,1,2,50.0,0,0,0,Daniel Gafford
Walker Kessler,2,10:57,54.9,8,75,0,0,1,4,6,66.7,0,0,0.0,0,0,0,Daniel Gafford
Deandre Ayton,2,11:50,54.5,31,49,1,4,0,14,22,63.6,1,1,100.0,2,2,1,Daniel Gafford
Mason Plumlee,2,9:25,47.7,5,36,1,0,2,1,4,25.0,0,0,0.0,3,4,2,Daniel Gafford
Nick Richards,3,9:48,43.6,8,45,0,0,2,4,6,66.7,0,0,0.0,0,0,0,Daniel Gafford
Alperen Sengun,1,7:51,40.8,12,41,7,2,0,6,11,54.5,0,0,0.0,0,0,0,Daniel Gafford
Jonas Valanciunas,2,6:36,35.1,11,39,1,0,0,4,9,44.4,0,2,0.0,3,4,3,Daniel Gafford
Andre Drummond,2,6:00,33.6,10,35,1,1,2,5,8,62.5,0,0,0.0,0,2,1,Daniel Gafford
Jarrett Allen,1,6:33,31.7,6,41,1,2,0,3,3,100.0,0,0,0.0,0,0,0,Daniel Gafford
Domantas Sabonis,1,5:49,30.1,6,37,5,1,0,3,6,50.0,0,0,0.0,0,0,0,Daniel Gafford
Thomas Bryant,2,6:17,30.0,8,29,0,0,1,3,6,50.0,2,2,100.0,0,4,2,Daniel Gafford
Mike Muscala,2,5:10,28.6,3,23,0,0,0,1,5,20.0,1,3,33.3,0,0,0,Daniel Gafford
Bol Bol,2,4:21,28.4,7,26,0,3,0,3,4,75.0,0,0,0.0,1,2,1,Daniel Gafford
Mitchell Robinson,2,6:05,27.3,2,32,0,0,1,1,2,50.0,0,0,0.0,0,6,3,Daniel Gafford
Jalen Duren,1,5:32,25.5,4,19,0,0,1,2,4,50.0,0,0,0.0,0,1,1,Daniel Gafford
Goga Bitadze,3,5:57,23.7,2,24,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Daniel Gafford
Admiral Schofield,1,3:54,22.4,3,17,2,0,1,1,4,25.0,0,1,0.0,1,2,1,Daniel Gafford
Larry Nance Jr.,2,4:52,22.4,4,28,2,0,0,2,3,66.7,0,0,0.0,0,0,0,Daniel Gafford
Dwight Powell,2,3:52,22.1,5,16,0,0,0,2,4,50.0,0,0,0.0,1,1,1,Daniel Gafford
Joel Embiid,1,4:29,21.8,17,24,0,2,0,7,11,63.6,1,2,50.0,2,2,1,Daniel Gafford
Brandon Clarke,2,4:44,21.6,9,21,1,1,0,3,4,75.0,0,0,0.0,3,3,2,Daniel Gafford
Nikola Jokic,1,3:25,21.6,15,31,2,2,1,7,8,87.5,0,0,0.0,1,2,2,Daniel Gafford
Bismack Biyombo,1,4:54,20.8,4,28,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Daniel Gafford
Rudy Gobert,1,4:06,20.6,9,19,0,0,0,3,3,100.0,0,0,0.0,3,3,1,Daniel Gafford
Luke Kornet,2,4:23,19.7,4,23,1,2,0,1,2,50.0,0,0,0.0,2,2,1,Daniel Gafford
Robin Lopez,1,4:01,19.3,6,16,1,2,1,3,4,75.0,0,0,0.0,0,0,0,Daniel Gafford
Montrezl Harrell,3,3:43,18.9,7,15,0,0,0,3,4,75.0,0,0,0.0,1,2,1,Daniel Gafford
DeAndre Jordan,1,3:28,18.8,2,19,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Daniel Gafford
Wendell Carter Jr.,1,3:36,18.6,5,31,1,0,0,2,5,40.0,1,1,100.0,0,0,0,Daniel Gafford
Kevon Looney,1,4:01,18.2,2,15,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Daniel Gafford
Moses Brown,2,3:35,17.3,2,15,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Daniel Gafford
Isaiah Jackson,2,3:02,16.8,0,14,1,2,0,0,1,0.0,0,0,0.0,0,0,0,Daniel Gafford
Yuta Watanabe,3,2:56,16.5,3,16,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Daniel Gafford
Steven Adams,2,3:07,15.9,2,19,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Daniel Gafford
Drew Eubanks,1,3:22,15.8,0,21,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Daniel Gafford
Dorian Finney-Smith,2,2:50,14.5,2,12,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Daniel Gafford
Derrick Jones Jr.,1,2:43,14.4,0,10,1,0,1,0,3,0.0,0,1,0.0,0,0,0,Daniel Gafford
Dewayne Dedmon,2,3:20,14.4,4,12,1,0,1,1,3,33.3,0,1,0.0,2,2,1,Daniel Gafford
Willy Hernangomez,1,2:40,14.3,2,10,0,0,1,1,4,25.0,0,0,0.0,0,0,0,Daniel Gafford
Myles Turner,2,3:13,14.0,11,17,0,0,0,4,6,66.7,1,1,100.0,2,2,1,Daniel Gafford
Draymond Green,1,2:29,13.5,10,16,2,1,0,2,3,66.7,2,2,100.0,4,4,2,Daniel Gafford
Damian Jones,1,2:28,13.1,0,8,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Daniel Gafford
Jalen Smith,3,2:17,12.8,7,17,1,0,0,3,6,50.0,1,3,33.3,0,0,0,Daniel Gafford
Isaiah Hartenstein,2,2:52,12.8,2,6,0,0,0,1,5,20.0,0,0,0.0,0,0,0,Daniel Gafford
Bobby Portis,2,2:13,11.9,7,17,1,0,0,3,4,75.0,1,1,100.0,0,0,0,Daniel Gafford
Mark Williams,1,2:12,11.4,2,16,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Daniel Gafford
Eugene Omoruyi,1,2:35,11.4,2,20,0,0,0,1,1,100.0,0,0,0.0,0,2,1,Daniel Gafford
JaVale McGee,1,1:57,10.9,0,11,0,0,1,0,2,0.0,0,0,0.0,0,0,0,Daniel Gafford
Luka Doncic,2,2:04,10.8,3,19,3,0,0,1,6,16.7,1,1,100.0,0,0,0,Daniel Gafford
