Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Evan Mobley,2,6:30,35.7,2,30,2,2,0,1,4,25.0,0,0,0.0,0,0,0,Dario Saric
Jaren Jackson Jr.,3,6:58,35.1,8,51,0,1,0,4,8,50.0,0,2,0.0,0,0,0,Dario Saric
Chris Boucher,2,7:36,30.3,0,21,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Dario Saric
Jabari Walker,2,6:22,27.3,3,17,1,0,0,1,2,50.0,0,0,0.0,1,2,1,Dario Saric
Draymond Green,1,4:26,24.4,0,21,1,1,0,0,3,0.0,0,1,0.0,0,0,0,Dario Saric
Jaden McDaniels,2,4:31,24.2,5,34,4,0,0,2,4,50.0,1,1,100.0,0,0,0,Dario Saric
Jabari Smith Jr.,1,4:34,21.6,5,17,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Dario Saric
Kyle Anderson,2,3:41,20.9,0,27,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Keita Bates-Diop,2,3:35,20.4,3,18,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Dario Saric
Santi Aldama,3,3:51,19.8,0,11,1,3,0,0,2,0.0,0,1,0.0,0,0,0,Dario Saric
P.J. Washington,1,3:56,19.7,6,18,0,1,0,3,6,50.0,0,2,0.0,0,0,0,Dario Saric
Stanley Johnson,1,3:58,19.4,3,13,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Dario Saric
Al Horford,1,3:53,17.4,0,14,0,2,0,0,1,0.0,0,1,0.0,0,0,0,Dario Saric
Jonas Valanciunas,2,3:19,16.6,2,19,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Dario Saric
Maxi Kleber,2,3:09,16.4,0,19,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Dario Saric
Kevin Love,2,3:59,16.4,2,20,0,0,0,1,5,20.0,0,4,0.0,0,0,0,Dario Saric
Grant Williams,1,3:04,15.7,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Nikola Jokic,1,2:59,14.9,12,25,2,1,0,6,8,75.0,0,0,0.0,0,1,0,Dario Saric
Aaron Gordon,1,2:32,14.3,4,22,1,0,0,1,1,100.0,0,0,0.0,2,2,1,Dario Saric
Saddiq Bey,1,2:26,12.4,7,18,0,0,0,2,3,66.7,0,1,0.0,3,3,2,Dario Saric
Noah Vonleh,1,2:42,12.0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Hamidou Diallo,1,2:37,11.9,0,9,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Dario Saric
Steven Adams,3,2:05,11.5,2,24,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dario Saric
Charles Bassey,1,2:04,10.7,1,10,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Dario Saric
Luke Kornet,2,2:05,10.4,0,19,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Lamar Stevens,1,2:54,10.2,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Dario Saric
John Collins,1,1:52,9.9,2,12,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Dario Saric
Jarrett Allen,2,1:32,9.5,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dario Saric
Brandon Clarke,3,1:20,9.3,6,14,0,0,0,2,3,66.7,0,0,0.0,2,3,2,Dario Saric
Zion Williamson,1,1:18,9.3,4,9,0,0,0,2,5,40.0,0,0,0.0,0,0,0,Dario Saric
Rudy Gobert,3,1:52,9.2,1,9,0,1,0,0,0,0.0,0,0,0.0,1,2,0,Dario Saric
Nic Claxton,2,1:57,8.9,1,9,0,0,0,0,1,0.0,0,0,0.0,1,2,1,Dario Saric
Aaron Nesmith,1,1:18,8.8,3,13,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Dario Saric
Mo Bamba,1,2:17,8.8,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Nassir Little,2,1:38,8.6,2,4,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Dario Saric
Davis Bertans,2,1:28,8.6,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Dario Saric
Jalen Johnson,1,2:05,8.4,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Isaiah Stewart,1,1:51,8.2,2,13,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Dario Saric
Zach Collins,2,1:23,8.2,0,13,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Dario Saric
Damian Jones,1,1:33,7.9,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dario Saric
Thaddeus Young,2,1:39,7.8,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dario Saric
Ben Simmons,2,1:39,7.8,2,10,1,0,0,1,1,100.0,0,0,0.0,0,1,1,Dario Saric
Naz Reid,1,1:05,7.7,5,13,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Dario Saric
JT Thor,1,1:16,7.5,3,13,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Dario Saric
Andrew Wiggins,1,1:08,7.5,6,9,0,0,0,3,6,50.0,0,1,0.0,0,1,1,Dario Saric
Andre Iguodala,1,1:30,7.4,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
Jeremy Sochan,1,1:27,7.3,7,9,1,0,0,2,3,66.7,0,1,0.0,3,3,2,Dario Saric
Jayson Tatum,1,1:05,7.1,3,9,0,0,0,0,3,0.0,0,2,0.0,3,3,1,Dario Saric
Jordan Poole,1,0:38,6.4,3,6,0,0,0,1,2,50.0,0,0,0.0,1,2,1,Dario Saric
Isaiah Hartenstein,1,1:43,6.3,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Dario Saric
