Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Luka Doncic,2,3:47,19.0,14,24,1,1,0,5,7,71.4,1,2,50.0,3,3,1,David Duke Jr
T.J. McConnell,1,2:13,11.3,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Reggie Bullock,2,2:15,10.4,0,13,1,0,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
Zach LaVine,1,1:42,9.9,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
DeMar DeRozan,1,1:53,8.8,6,10,0,0,0,3,5,60.0,0,0,0.0,0,0,0,David Duke Jr
Buddy Hield,1,1:46,7.6,0,8,1,0,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
Maxi Kleber,2,1:36,7.4,3,20,0,0,0,1,1,100.0,0,0,0.0,1,2,0,David Duke Jr
Jordan Goodwin,1,1:38,7.4,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
Bennedict Mathurin,2,1:10,6.8,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Damion Lee,1,1:05,6.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Tyrese Haliburton,1,1:12,6.1,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Monte Morris,1,1:22,6.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Andrew Nembhard,1,1:02,6.0,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Mikal Bridges,1,0:56,5.9,3,7,0,0,0,1,3,33.3,0,0,0.0,1,1,1,David Duke Jr
Davion Mitchell,1,1:05,5.9,0,7,2,1,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
Matthew Dellavedova,1,0:49,5.5,0,5,1,1,0,0,1,0.0,0,0,0.0,0,0,0,David Duke Jr
Devin Booker,1,1:11,5.4,2,4,0,0,0,0,3,0.0,0,1,0.0,2,2,1,David Duke Jr
Aaron Nesmith,1,0:36,5.3,2,6,0,1,0,0,0,0.0,0,0,0.0,2,2,0,David Duke Jr
Terence Davis,1,1:17,5.0,0,7,1,0,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
Patrick Williams,1,0:59,4.4,2,4,0,1,0,1,1,100.0,0,0,0.0,0,0,0,David Duke Jr
Goran Dragic,1,0:43,4.4,6,8,0,1,0,2,2,100.0,2,2,100.0,0,0,0,David Duke Jr
RJ Barrett,1,0:50,4.4,2,5,0,1,0,1,2,50.0,0,0,0.0,0,0,0,David Duke Jr
Oshae Brissett,1,0:38,4.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Terry Rozier,1,1:00,4.0,0,2,0,1,0,0,2,0.0,0,1,0.0,0,0,0,David Duke Jr
Malik Monk,1,0:29,3.9,7,12,0,0,0,3,4,75.0,1,1,100.0,0,0,0,David Duke Jr
Max Christie,1,0:34,3.8,0,6,0,0,0,0,1,0.0,0,0,0.0,0,0,0,David Duke Jr
Jalen McDaniels,1,0:32,3.6,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Myles Turner,1,0:49,3.5,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Dorian Finney-Smith,1,0:45,3.5,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Quentin Grimes,1,0:23,3.4,3,9,0,0,0,1,1,100.0,1,1,100.0,0,0,0,David Duke Jr
Johnny Davis,1,0:40,3.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Kennedy Chandler,1,0:14,3.2,3,3,0,0,0,1,2,50.0,0,0,0.0,1,1,1,David Duke Jr
Jeff Dowtin Jr.,1,0:26,3.1,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,David Duke Jr
Alex Caruso,1,0:36,3.0,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Luke Kennard,1,0:26,2.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Jalen Brunson,1,0:34,2.8,2,4,0,0,0,0,0,0.0,0,0,0.0,2,2,0,David Duke Jr
Isaiah Jackson,1,0:23,2.8,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Alex Len,1,0:25,2.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Anthony Gill,1,0:18,2.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Tim Hardaway Jr.,1,0:36,2.4,3,8,0,0,0,1,1,100.0,1,1,100.0,0,0,0,David Duke Jr
De'Aaron Fox,1,0:32,2.3,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Josh Green,2,0:19,2.2,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Taj Gibson,1,0:30,2.2,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,David Duke Jr
Chimezie Metu,1,0:27,2.1,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Ayo Dosunmu,1,0:22,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Torrey Craig,1,0:24,2.0,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,David Duke Jr
Kendrick Nunn,1,0:36,1.9,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,David Duke Jr
Evan Fournier,1,0:09,1.9,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
Lonnie Walker IV,1,0:34,1.9,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,David Duke Jr
Corey Kispert,1,0:23,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,David Duke Jr
