Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nikola Vucevic,1,5:31,34.3,7,29,1,0,0,3,6,50.0,1,3,33.3,0,0,0,Dayron Sharpe
Isaiah Jackson,2,4:11,24.9,4,34,2,0,1,2,5,40.0,0,1,0.0,0,0,0,Dayron Sharpe
Luke Kornet,2,4:52,24.6,4,20,4,2,0,2,3,66.7,0,0,0.0,0,0,0,Dayron Sharpe
Wenyen Gabriel,2,4:06,21.5,4,9,0,0,0,2,5,40.0,0,2,0.0,0,0,0,Dayron Sharpe
Larry Nance Jr.,1,3:06,19.6,2,18,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Dayron Sharpe
Zach Collins,2,2:28,15.4,2,9,0,1,1,0,2,0.0,0,0,0.0,2,2,1,Dayron Sharpe
Giannis Antetokounmpo,1,2:38,14.8,9,18,1,1,0,4,5,80.0,0,0,0.0,1,2,1,Dayron Sharpe
Steven Adams,1,3:28,14.7,2,15,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Dayron Sharpe
Jalen Smith,2,2:48,14.7,6,21,1,1,0,2,5,40.0,2,5,40.0,0,0,0,Dayron Sharpe
Thomas Bryant,1,2:36,13.6,0,11,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Dayron Sharpe
Jonas Valanciunas,1,2:50,13.2,2,23,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Dayron Sharpe
Isaiah Hartenstein,1,2:36,12.1,4,17,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Dayron Sharpe
Gorgui Dieng,1,1:53,11.2,3,9,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Dayron Sharpe
Buddy Hield,1,2:05,10.2,2,5,1,2,0,1,4,25.0,0,2,0.0,0,0,0,Dayron Sharpe
Christian Koloko,1,1:60,9.8,1,16,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Dayron Sharpe
Taj Gibson,1,2:06,9.6,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Dayron Sharpe
Ivica Zubac,1,2:15,9.4,1,5,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Dayron Sharpe
Jericho Sims,2,1:55,8.6,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dayron Sharpe
Brandon Clarke,1,1:34,8.5,4,11,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Dayron Sharpe
Chimezie Metu,1,1:51,8.4,0,7,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Dayron Sharpe
Myles Turner,1,1:37,8.2,5,10,0,0,0,2,2,100.0,0,0,0.0,1,3,2,Dayron Sharpe
Josh Richardson,2,1:16,8.1,6,17,2,0,0,3,5,60.0,0,1,0.0,0,0,0,Dayron Sharpe
Zion Williamson,1,1:48,7.8,0,9,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Dayron Sharpe
Kristaps Porzingis,1,1:15,7.6,10,21,0,0,0,3,4,75.0,2,2,100.0,2,2,0,Dayron Sharpe
Tyrese Haliburton,2,0:56,7.1,4,11,2,1,0,2,2,100.0,0,0,0.0,0,0,0,Dayron Sharpe
Alex Len,1,1:07,7.1,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dayron Sharpe
Andrew Nembhard,1,1:14,7.0,3,9,2,1,0,1,2,50.0,1,2,50.0,0,0,0,Dayron Sharpe
DeMar DeRozan,1,1:11,6.4,1,10,1,0,0,0,1,0.0,0,0,0.0,1,2,1,Dayron Sharpe
Malaki Branham,2,1:08,6.2,2,8,1,0,0,1,4,25.0,0,1,0.0,0,0,0,Dayron Sharpe
Deandre Ayton,1,1:03,6.1,2,6,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Dayron Sharpe
Andre Drummond,1,1:35,6.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Dayron Sharpe
