Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jalen Green,1,5:36,31.6,8,32,2,1,0,3,6,50.0,1,2,50.0,1,2,1,Delon Wright
Cam Thomas,1,5:16,29.1,11,27,2,2,0,5,9,55.6,1,2,50.0,0,0,0,Delon Wright
LaMelo Ball,1,4:21,28.8,3,29,1,1,0,1,3,33.3,1,2,50.0,0,0,0,Delon Wright
Donovan Mitchell,2,6:14,27.2,6,30,1,2,0,3,9,33.3,0,2,0.0,0,0,0,Delon Wright
Jose Alvarado,2,4:50,26.0,0,27,3,1,0,0,1,0.0,0,0,0.0,0,0,0,Delon Wright
Jalen Brunson,2,5:39,25.9,9,22,2,0,0,2,4,50.0,1,1,100.0,4,4,2,Delon Wright
Goran Dragic,2,4:51,25.3,2,29,4,1,1,1,6,16.7,0,2,0.0,0,0,0,Delon Wright
Jevon Carter,2,5:06,24.5,0,15,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Delon Wright
Cole Anthony,1,4:25,22.7,2,12,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Delon Wright
T.J. McConnell,1,4:07,21.4,8,22,2,1,0,4,6,66.7,0,0,0.0,0,0,0,Delon Wright
Immanuel Quickley,2,4:04,21.1,3,24,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Delon Wright
Jordan Poole,1,3:45,20.3,5,19,1,1,0,2,4,50.0,1,2,50.0,0,0,0,Delon Wright
CJ McCollum,2,3:16,20.3,9,20,0,0,0,4,7,57.1,1,2,50.0,0,0,0,Delon Wright
Damian Lillard,1,3:33,16.4,2,14,2,1,0,1,4,25.0,0,3,0.0,0,0,0,Delon Wright
Tyrese Haliburton,1,2:17,16.1,5,21,0,0,0,2,4,50.0,0,1,0.0,1,1,1,Delon Wright
Anfernee Simons,1,3:27,15.9,5,15,2,0,0,2,3,66.7,1,2,50.0,0,0,0,Delon Wright
Spencer Dinwiddie,1,2:23,14.9,2,17,5,2,0,1,4,25.0,0,1,0.0,0,0,0,Delon Wright
Terrence Ross,2,2:42,14.8,3,17,2,0,0,1,3,33.3,1,2,50.0,0,0,0,Delon Wright
De'Aaron Fox,1,2:05,14.1,4,13,1,0,0,1,3,33.3,0,1,0.0,2,2,1,Delon Wright
Darius Garland,1,2:45,13.9,11,14,0,1,0,5,5,100.0,1,1,100.0,0,1,1,Delon Wright
Miles McBride,2,2:47,13.7,0,18,1,0,1,0,3,0.0,0,2,0.0,0,0,0,Delon Wright
Caris LeVert,2,3:05,13.6,5,22,1,0,0,1,2,50.0,0,0,0.0,3,3,1,Delon Wright
Grayson Allen,2,2:38,13.6,5,11,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Delon Wright
Duane Washington Jr.,1,3:08,13.1,4,17,1,0,0,2,6,33.3,0,1,0.0,0,0,0,Delon Wright
Devonte' Graham,2,2:32,13.0,6,13,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Delon Wright
Isaiah Joe,1,2:45,12.9,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Delon Wright
Alex Caruso,2,2:51,12.8,2,6,1,0,0,1,4,25.0,0,0,0.0,0,0,0,Delon Wright
Shake Milton,1,1:33,11.0,0,15,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Delon Wright
Terry Rozier,1,1:43,10.9,0,12,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Delon Wright
Gordon Hayward,1,1:43,10.1,5,7,0,0,0,1,1,100.0,0,0,0.0,3,3,2,Delon Wright
Tre Mann,1,1:58,9.9,0,13,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Delon Wright
Kevon Harris,1,1:30,9.5,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Delon Wright
Tre Jones,1,2:03,9.3,2,10,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Delon Wright
Tim Hardaway Jr.,1,1:44,9.3,0,6,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Delon Wright
Jrue Holiday,1,1:45,9.2,3,11,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Delon Wright
Donte DiVincenzo,1,1:39,9.2,2,14,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Delon Wright
Coby White,2,1:35,9.1,2,14,1,1,0,1,3,33.3,0,2,0.0,0,0,0,Delon Wright
DeMar DeRozan,1,1:26,9.0,2,11,1,1,0,0,4,0.0,0,1,0.0,2,2,1,Delon Wright
Cory Joseph,1,2:03,9.0,2,8,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Delon Wright
Doug McDermott,1,1:36,8.8,0,3,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Delon Wright
James Harden,1,1:27,8.5,2,6,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Delon Wright
Franz Wagner,2,1:39,8.5,4,9,1,0,0,1,1,100.0,0,0,0.0,2,2,1,Delon Wright
Stephen Curry,1,1:49,8.4,3,8,0,0,0,1,5,20.0,1,3,33.3,0,0,0,Delon Wright
Ayo Dosunmu,2,1:39,8.3,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Delon Wright
Naji Marshall,2,1:02,8.3,3,13,1,0,0,1,1,100.0,0,0,0.0,1,1,1,Delon Wright
Malaki Branham,1,1:26,8.1,2,8,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Delon Wright
Kenyon Martin Jr.,1,1:27,8.0,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Delon Wright
Raul Neto,2,1:30,7.6,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Delon Wright
Seth Curry,1,1:28,7.3,3,8,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Delon Wright
Anthony Lamb,1,0:46,7.2,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Delon Wright
