Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Terry Rozier,4,14:31,71.2,19,63,3,0,0,7,14,50.0,0,3,0.0,5,5,3,Deni Avdija
DeMar DeRozan,2,12:11,64.4,10,46,2,3,1,4,13,30.8,0,1,0.0,2,2,1,Deni Avdija
Zach LaVine,2,11:41,58.7,16,57,6,2,0,7,16,43.8,2,7,28.6,0,0,0,Deni Avdija
Luka Doncic,2,11:28,56.2,17,62,4,0,0,7,11,63.6,1,2,50.0,2,7,3,Deni Avdija
Tyrese Haliburton,3,11:57,56.1,14,47,7,1,0,6,13,46.2,2,5,40.0,0,0,0,Deni Avdija
Kevin Durant,3,12:22,55.3,25,57,7,2,0,9,14,64.3,2,2,100.0,5,5,3,Deni Avdija
Shai Gilgeous-Alexander,2,8:40,47.3,20,44,3,1,1,7,14,50.0,1,1,100.0,5,8,4,Deni Avdija
Mikal Bridges,2,10:47,46.5,0,35,1,2,0,0,3,0.0,0,2,0.0,0,0,0,Deni Avdija
Kawhi Leonard,2,9:57,45.2,12,47,3,1,0,5,16,31.3,2,5,40.0,0,0,0,Deni Avdija
Kyle Lowry,3,9:03,44.7,13,33,3,1,4,3,9,33.3,1,2,50.0,6,6,4,Deni Avdija
James Harden,3,8:13,39.1,15,37,3,2,2,5,14,35.7,3,4,75.0,2,3,2,Deni Avdija
Paul George,1,8:18,37.6,12,37,4,0,1,5,14,35.7,2,6,33.3,0,0,0,Deni Avdija
LeBron James,2,6:30,36.5,14,35,3,2,0,6,13,46.2,0,2,0.0,2,3,2,Deni Avdija
Cade Cunningham,1,6:45,34.4,9,38,2,1,1,4,11,36.4,0,1,0.0,1,1,1,Deni Avdija
Paolo Banchero,2,5:40,32.0,6,20,1,1,0,2,7,28.6,0,1,0.0,2,3,2,Deni Avdija
Immanuel Quickley,2,6:11,31.6,4,38,0,0,0,2,6,33.3,0,1,0.0,0,0,0,Deni Avdija
Royce O'Neale,3,5:31,31.0,0,37,5,1,0,0,4,0.0,0,1,0.0,0,0,0,Deni Avdija
Tyler Herro,2,6:30,30.3,9,45,4,1,0,3,9,33.3,3,6,50.0,0,0,0,Deni Avdija
Donovan Mitchell,2,6:41,30.1,18,32,2,1,0,6,11,54.5,3,7,42.9,3,4,2,Deni Avdija
Tyrese Maxey,2,6:33,28.3,5,20,0,1,0,2,6,33.3,0,2,0.0,1,4,2,Deni Avdija
Gordon Hayward,2,4:05,26.8,2,19,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Deni Avdija
Dwight Powell,2,4:43,25.4,10,38,0,0,0,4,5,80.0,0,0,0.0,2,2,1,Deni Avdija
Lonnie Walker IV,2,4:29,23.9,11,24,0,0,0,4,6,66.7,3,3,100.0,0,0,0,Deni Avdija
Jordan Clarkson,1,4:54,23.5,9,21,0,0,0,4,7,57.1,1,3,33.3,0,0,0,Deni Avdija
Jaylen Brown,2,4:40,23.2,10,32,0,0,0,4,9,44.4,0,3,0.0,2,2,1,Deni Avdija
Alex Caruso,3,3:59,23.2,5,38,1,0,0,2,4,50.0,0,0,0.0,1,2,1,Deni Avdija
Tyus Jones,2,4:30,22.7,5,15,3,0,0,2,7,28.6,1,2,50.0,0,0,0,Deni Avdija
Joe Ingles,2,4:36,22.3,0,13,4,2,0,0,1,0.0,0,1,0.0,0,0,0,Deni Avdija
Kyrie Irving,2,4:44,21.9,12,25,0,1,0,4,9,44.4,2,4,50.0,2,3,2,Deni Avdija
Caleb Martin,3,3:53,21.4,17,28,0,0,0,6,8,75.0,3,4,75.0,2,2,0,Deni Avdija
P.J. Washington,4,3:09,21.3,4,28,1,0,0,2,6,33.3,0,2,0.0,0,0,0,Deni Avdija
Anthony Edwards,1,3:44,21.0,6,22,1,1,0,1,2,50.0,0,0,0.0,4,4,2,Deni Avdija
Ja Morant,1,4:23,20.6,8,16,3,0,0,4,6,66.7,0,1,0.0,0,0,0,Deni Avdija
Joe Harris,4,4:03,20.3,3,25,1,1,1,1,5,20.0,1,4,25.0,0,0,0,Deni Avdija
Damion Lee,2,4:23,20.2,0,19,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Deni Avdija
Terrence Ross,2,3:42,20.1,3,19,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Deni Avdija
Yuta Watanabe,3,3:47,19.4,5,25,0,1,0,2,4,50.0,1,1,100.0,0,0,0,Deni Avdija
Nikola Vucevic,3,2:43,18.6,10,28,1,0,0,3,4,75.0,0,0,0.0,4,4,1,Deni Avdija
Cam Thomas,4,4:23,18.5,15,23,1,2,0,5,9,55.6,0,0,0.0,5,5,3,Deni Avdija
Bam Adebayo,2,4:04,18.1,8,21,0,1,0,4,8,50.0,0,0,0.0,0,0,0,Deni Avdija
Russell Westbrook,2,3:07,17.9,4,25,1,0,1,2,5,40.0,0,1,0.0,0,0,0,Deni Avdija
Max Strus,1,3:33,17.7,5,16,0,0,0,1,5,20.0,0,1,0.0,3,3,1,Deni Avdija
Franz Wagner,2,2:48,17.2,9,20,2,0,0,4,5,80.0,0,0,0.0,1,1,1,Deni Avdija
Buddy Hield,3,3:22,16.9,7,20,1,1,0,3,6,50.0,1,3,33.3,0,0,0,Deni Avdija
Bobby Portis,2,3:03,16.7,7,20,1,0,0,3,4,75.0,0,1,0.0,1,1,1,Deni Avdija
Mason Plumlee,4,2:47,16.6,16,33,0,1,0,7,11,63.6,0,0,0.0,2,2,1,Deni Avdija
Evan Mobley,2,3:14,16.5,4,27,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Deni Avdija
RJ Barrett,2,3:10,16.4,9,25,1,0,0,4,4,100.0,0,0,0.0,1,3,2,Deni Avdija
Tobias Harris,3,2:57,16.1,7,21,1,0,0,3,7,42.9,0,1,0.0,1,2,1,Deni Avdija
MarJon Beauchamp,2,2:51,15.9,2,20,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Deni Avdija
