Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Stephen Curry,1,11:15,58.2,13,52,4,2,0,5,14,35.7,2,9,22.2,1,1,1,Dennis Smith Jr
Trae Young,2,8:59,48.1,22,49,7,1,1,8,19,42.1,2,7,28.6,4,5,2,Dennis Smith Jr
Jalen Brunson,1,8:43,37.7,17,46,5,1,0,6,6,100.0,1,1,100.0,4,4,2,Dennis Smith Jr
Ja Morant,2,7:09,37.0,3,44,6,3,0,1,4,25.0,0,2,0.0,1,2,1,Dennis Smith Jr
Coby White,2,7:34,35.7,2,26,2,0,0,1,5,20.0,0,1,0.0,0,0,0,Dennis Smith Jr
Kyle Lowry,2,8:05,35.3,8,38,1,0,0,2,3,66.7,2,3,66.7,2,2,1,Dennis Smith Jr
Damian Lillard,1,8:07,34.3,4,25,4,3,0,1,3,33.3,1,3,33.3,1,2,0,Dennis Smith Jr
Ayo Dosunmu,3,5:57,33.9,0,15,1,1,0,0,2,0.0,0,0,0.0,0,0,0,Dennis Smith Jr
Bradley Beal,2,6:58,31.6,6,27,3,0,1,3,5,60.0,0,1,0.0,0,0,0,Dennis Smith Jr
Dejounte Murray,2,6:22,30.6,6,20,0,1,0,2,5,40.0,2,4,50.0,0,0,0,Dennis Smith Jr
Davion Mitchell,1,7:24,30.1,5,35,0,2,0,2,4,50.0,1,2,50.0,0,0,0,Dennis Smith Jr
Jayson Tatum,2,6:06,28.2,19,38,2,0,0,5,8,62.5,3,4,75.0,6,6,2,Dennis Smith Jr
Jordan Goodwin,3,5:05,26.5,0,25,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Dennis Smith Jr
Gabe Vincent,2,5:08,24.8,5,21,0,1,0,2,3,66.7,0,1,0.0,1,1,1,Dennis Smith Jr
Monte Morris,1,5:30,24.8,2,23,0,1,1,1,3,33.3,0,0,0.0,0,0,0,Dennis Smith Jr
Goran Dragic,2,4:31,24.7,2,20,1,1,0,1,3,33.3,0,2,0.0,0,0,0,Dennis Smith Jr
Jevon Carter,2,4:41,23.1,0,26,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Dennis Smith Jr
Cole Anthony,1,4:11,21.8,4,19,2,2,0,2,2,100.0,0,0,0.0,0,0,0,Dennis Smith Jr
Will Barton,3,4:00,21.5,3,20,0,2,0,1,2,50.0,1,1,100.0,0,0,0,Dennis Smith Jr
Joshua Primo,1,3:42,21.3,0,5,1,1,1,0,4,0.0,0,2,0.0,0,0,0,Dennis Smith Jr
Tyus Jones,2,3:54,20.3,2,18,1,0,0,1,6,16.7,0,3,0.0,0,0,0,Dennis Smith Jr
Jordan Clarkson,1,3:31,18.1,2,10,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Dennis Smith Jr
Franz Wagner,2,3:45,17.8,8,22,0,0,0,3,5,60.0,1,3,33.3,1,1,1,Dennis Smith Jr
O.G. Anunoby,2,3:29,16.2,3,10,0,1,0,1,3,33.3,1,2,50.0,0,0,0,Dennis Smith Jr
Malcolm Brogdon,2,3:33,16.1,3,11,1,0,0,1,5,20.0,1,5,20.0,0,0,0,Dennis Smith Jr
CJ McCollum,1,3:02,15.5,2,17,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Dennis Smith Jr
Kendrick Nunn,2,3:29,15.5,2,15,0,1,0,1,5,20.0,0,2,0.0,0,0,0,Dennis Smith Jr
Killian Hayes,1,3:04,15.0,2,11,0,2,0,1,1,100.0,0,0,0.0,0,0,0,Dennis Smith Jr
Zach LaVine,3,3:08,14.6,9,13,1,0,0,3,7,42.9,2,5,40.0,1,1,1,Dennis Smith Jr
Talen Horton-Tucker,1,2:50,14.5,0,18,3,0,0,0,1,0.0,0,0,0.0,0,0,0,Dennis Smith Jr
R.J. Hampton,1,2:49,14.3,2,19,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Dennis Smith Jr
Tyrese Haliburton,1,2:35,14.0,5,17,2,0,0,1,1,100.0,1,1,100.0,2,2,0,Dennis Smith Jr
De'Aaron Fox,1,2:12,13.9,3,11,1,2,0,1,2,50.0,0,1,0.0,1,1,1,Dennis Smith Jr
Pascal Siakam,2,2:54,13.8,2,24,1,1,0,0,1,0.0,0,0,0.0,2,2,1,Dennis Smith Jr
Malachi Flynn,2,3:01,13.7,3,14,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Dennis Smith Jr
Hamidou Diallo,1,2:32,13.7,0,14,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Dennis Smith Jr
Josh Okogie,1,3:09,13.5,3,20,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Dennis Smith Jr
Jrue Holiday,2,2:38,13.1,0,12,1,0,1,0,2,0.0,0,0,0.0,0,0,0,Dennis Smith Jr
Juancho Hernangomez,2,2:16,11.9,3,12,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Dennis Smith Jr
Aaron Holiday,2,2:19,11.9,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Dennis Smith Jr
Derrick Rose,1,1:59,11.5,5,17,2,0,0,2,2,100.0,0,0,0.0,1,1,1,Dennis Smith Jr
Saben Lee,1,2:07,11.0,0,5,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Dennis Smith Jr
Caleb Martin,2,2:22,11.0,0,5,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Dennis Smith Jr
Derrick White,1,2:21,10.9,5,23,3,0,0,1,2,50.0,0,0,0.0,3,3,1,Dennis Smith Jr
Kenyon Martin Jr.,1,1:41,10.5,3,9,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Dennis Smith Jr
Alex Caruso,3,1:59,10.5,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Dennis Smith Jr
Russell Westbrook,1,2:03,10.0,2,10,1,2,0,1,2,50.0,0,0,0.0,0,0,0,Dennis Smith Jr
Dennis Schroder,1,1:47,9.9,2,11,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Dennis Smith Jr
Josh Christopher,1,1:39,9.9,2,6,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Dennis Smith Jr
Corey Kispert,3,1:57,9.9,2,14,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Dennis Smith Jr
