Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Bogdan Bogdanovic,2,8:30,36.5,7,26,0,1,0,3,10,30.0,1,5,20.0,0,0,0,Derrick Jones Jr
JT Thor,3,5:21,23.8,0,19,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Derrick Jones Jr
Isaiah Roby,2,3:51,20.8,4,14,0,1,1,1,3,33.3,0,2,0.0,2,2,1,Derrick Jones Jr
Duncan Robinson,1,4:33,20.6,0,21,0,1,0,0,3,0.0,0,3,0.0,0,0,0,Derrick Jones Jr
Precious Achiuwa,2,5:06,19.0,2,16,1,0,0,1,5,20.0,0,1,0.0,0,0,0,Derrick Jones Jr
Draymond Green,2,3:03,18.7,0,10,1,4,0,0,0,0.0,0,0,0.0,0,0,0,Derrick Jones Jr
Kevin Love,2,4:39,18.6,0,16,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Derrick Jones Jr
Jayson Tatum,3,4:21,17.6,5,11,1,0,0,1,8,12.5,0,5,0.0,3,3,2,Derrick Jones Jr
Donovan Mitchell,2,3:00,16.8,12,31,1,0,0,2,5,40.0,2,4,50.0,6,7,2,Derrick Jones Jr
Keldon Johnson,2,3:16,16.7,0,7,0,2,0,0,2,0.0,0,1,0.0,0,0,0,Derrick Jones Jr
Bennedict Mathurin,2,3:23,16.4,6,23,1,0,0,3,4,75.0,0,1,0.0,0,0,0,Derrick Jones Jr
Jaylen Brown,2,3:31,16.1,6,18,0,1,0,3,7,42.9,0,1,0.0,0,0,0,Derrick Jones Jr
Cedi Osman,2,3:30,15.8,8,18,0,0,0,3,5,60.0,2,4,50.0,0,0,0,Derrick Jones Jr
Luke Kornet,2,3:26,15.4,0,17,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Derrick Jones Jr
Nick Richards,1,3:16,15.3,2,8,0,0,0,1,1,100.0,0,0,0.0,0,2,1,Derrick Jones Jr
Montrezl Harrell,2,3:11,15.2,0,12,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Derrick Jones Jr
P.J. Washington,3,2:53,14.6,0,20,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Derrick Jones Jr
Shai Gilgeous-Alexander,2,2:36,14.4,6,11,1,0,2,2,5,40.0,0,0,0.0,2,2,1,Derrick Jones Jr
