Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Zach LaVine,4,11:57,65.8,15,48,1,4,0,6,13,46.2,1,4,25.0,2,2,1,Derrick White
Terrence Ross,3,12:20,56.0,10,64,1,0,1,4,9,44.4,2,6,33.3,0,0,0,Derrick White
Max Strus,4,12:28,54.8,8,41,0,0,1,3,5,60.0,2,3,66.7,0,0,0,Derrick White
Joe Harris,3,8:44,43.7,7,42,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Derrick White
Jaden Ivey,3,9:25,42.2,10,33,5,0,1,4,8,50.0,1,2,50.0,1,3,2,Derrick White
Tyler Herro,4,7:57,38.3,22,56,4,0,2,7,15,46.7,3,6,50.0,5,5,3,Derrick White
Tyrese Maxey,2,7:20,37.6,7,29,0,0,0,3,13,23.1,1,4,25.0,0,0,0,Derrick White
Kyle Lowry,4,6:43,35.1,3,33,6,3,0,1,2,50.0,0,1,0.0,1,2,0,Derrick White
Franz Wagner,4,5:48,34.1,3,32,0,0,0,1,7,14.3,0,1,0.0,1,1,1,Derrick White
Markelle Fultz,3,7:04,33.5,6,27,1,1,1,2,8,25.0,0,0,0.0,2,2,1,Derrick White
Seth Curry,3,6:54,32.0,4,36,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Derrick White
Gary Trent Jr.,2,5:57,31.8,5,31,1,0,0,2,4,50.0,0,1,0.0,1,2,1,Derrick White
Cole Anthony,4,5:18,29.3,6,25,1,1,1,3,6,50.0,0,0,0.0,0,2,1,Derrick White
Dennis Schroder,2,6:20,28.9,2,23,1,0,1,1,4,25.0,0,2,0.0,0,0,0,Derrick White
Monte Morris,2,5:47,28.9,3,33,3,0,0,1,2,50.0,0,0,0.0,1,1,1,Derrick White
Tre Jones,1,4:32,28.8,8,24,4,0,1,4,8,50.0,0,0,0.0,0,0,0,Derrick White
Kyrie Irving,3,4:55,28.8,10,23,1,1,1,5,9,55.6,0,1,0.0,0,0,0,Derrick White
Ayo Dosunmu,4,5:49,28.5,9,42,0,0,2,4,7,57.1,1,1,100.0,0,0,0,Derrick White
CJ McCollum,2,5:41,28.1,10,30,2,0,2,4,8,50.0,2,2,100.0,0,3,2,Derrick White
Jordan Poole,2,5:05,27.6,8,16,0,2,0,2,4,50.0,0,2,0.0,4,5,2,Derrick White
Killian Hayes,3,5:38,26.5,7,23,4,2,0,3,10,30.0,0,4,0.0,1,1,1,Derrick White
Josh Giddey,2,4:35,26.1,17,42,1,1,1,6,10,60.0,2,3,66.7,3,3,2,Derrick White
De'Anthony Melton,2,5:42,25.0,2,27,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Derrick White
Bradley Beal,2,4:37,24.0,4,21,2,1,0,1,5,20.0,0,1,0.0,2,2,1,Derrick White
Jalen Brunson,2,4:02,23.7,12,26,4,0,1,6,9,66.7,0,1,0.0,0,0,0,Derrick White
Royce O'Neale,3,4:42,23.1,2,29,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Derrick White
Lonnie Walker IV,2,3:56,22.5,3,24,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Derrick White
Mikal Bridges,2,4:41,22.3,6,19,0,0,0,2,4,50.0,0,1,0.0,2,2,1,Derrick White
DeMar DeRozan,4,4:01,22.2,17,34,2,0,0,5,9,55.6,0,1,0.0,7,7,4,Derrick White
Terry Rozier,2,3:41,22.1,8,36,1,0,0,3,4,75.0,1,1,100.0,1,1,1,Derrick White
Trey Murphy III,2,4:36,21.5,0,25,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Derrick White
Caleb Martin,4,3:56,21.4,0,24,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Derrick White
Tim Hardaway Jr.,2,4:24,21.4,2,25,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Derrick White
Austin Rivers,1,3:59,21.3,2,12,0,0,1,1,3,33.3,0,0,0.0,0,0,0,Derrick White
Grayson Allen,1,4:30,21.2,4,23,0,0,0,2,4,50.0,0,2,0.0,0,0,0,Derrick White
Jalen Williams,2,3:55,21.1,4,26,1,1,1,2,3,66.7,0,0,0.0,0,0,0,Derrick White
LaMelo Ball,2,4:03,21.1,7,23,2,0,0,3,4,75.0,1,2,50.0,0,0,0,Derrick White
Gabe Vincent,4,4:13,20.6,7,32,0,0,0,2,2,100.0,1,1,100.0,2,2,1,Derrick White
Trae Young,1,3:27,20.6,4,13,3,0,1,2,5,40.0,0,0,0.0,0,0,0,Derrick White
Donovan Mitchell,2,4:47,20.2,7,19,1,0,1,2,7,28.6,1,4,25.0,2,2,1,Derrick White
Caris LeVert,2,3:43,20.1,5,32,3,1,0,1,3,33.3,0,0,0.0,3,4,2,Derrick White
Quentin Grimes,1,3:45,19.6,3,22,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Derrick White
P.J. Washington,3,3:23,19.6,10,34,2,2,0,4,7,57.1,2,3,66.7,0,0,0,Derrick White
Reggie Bullock,2,4:37,19.5,0,23,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Derrick White
Chris Paul,2,3:59,19.5,0,10,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Derrick White
Paul George,2,4:05,19.4,9,23,2,3,1,3,5,60.0,2,2,100.0,1,1,1,Derrick White
Scottie Barnes,2,4:22,19.3,7,14,1,1,0,3,6,50.0,0,1,0.0,1,3,2,Derrick White
Paolo Banchero,4,3:52,19.2,2,12,2,1,0,1,6,16.7,0,2,0.0,0,0,0,Derrick White
