Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Mikal Bridges,4,19:01,88.2,10,88,4,1,0,4,7,57.1,1,1,100.0,1,2,1,Desmond Bane
Klay Thompson,2,10:27,56.1,10,60,2,0,1,3,16,18.8,1,5,20.0,3,4,2,Desmond Bane
Romeo Langford,3,9:50,49.2,10,57,2,0,0,4,9,44.4,1,1,100.0,1,1,1,Desmond Bane
Devin Vassell,1,8:53,46.2,7,38,1,0,0,3,7,42.9,1,3,33.3,0,0,0,Desmond Bane
Harrison Barnes,2,8:20,42.4,8,39,1,0,0,2,5,40.0,2,5,40.0,2,2,1,Desmond Bane
Josh Hart,2,7:47,38.5,0,39,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Desmond Bane
CJ McCollum,1,7:09,37.5,2,26,1,3,1,1,8,12.5,0,3,0.0,0,0,0,Desmond Bane
Jordan Clarkson,2,6:21,37.1,13,46,0,1,0,6,8,75.0,1,3,33.3,0,0,0,Desmond Bane
Caris LeVert,1,8:15,36.9,0,30,5,2,0,0,2,0.0,0,1,0.0,0,0,0,Desmond Bane
Jalen McDaniels,2,5:47,32.5,6,21,0,2,0,1,3,33.3,0,2,0.0,4,4,1,Desmond Bane
Fred VanVleet,1,6:22,29.6,2,24,2,0,0,1,4,25.0,0,2,0.0,0,0,0,Desmond Bane
Josh Okogie,4,4:35,26.5,0,17,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Desmond Bane
Anfernee Simons,2,4:59,26.4,7,27,2,1,1,3,4,75.0,1,2,50.0,0,1,1,Desmond Bane
Bennedict Mathurin,1,5:22,26.2,8,24,0,0,0,3,5,60.0,2,3,66.7,0,0,0,Desmond Bane
Josh Richardson,3,4:35,25.7,10,29,2,2,0,4,6,66.7,2,4,50.0,0,0,0,Desmond Bane
Jayson Tatum,1,5:09,25.5,12,34,0,1,0,4,8,50.0,2,4,50.0,2,2,1,Desmond Bane
Lauri Markkanen,2,5:15,24.8,2,28,1,0,1,1,3,33.3,0,0,0.0,0,0,0,Desmond Bane
Kevin Porter Jr.,1,4:57,24.3,5,22,1,1,0,2,4,50.0,1,2,50.0,0,0,0,Desmond Bane
RJ Barrett,1,4:56,23.8,4,22,1,0,0,1,5,20.0,0,2,0.0,2,2,1,Desmond Bane
Landry Shamet,2,4:35,22.6,5,20,2,0,0,2,7,28.6,1,6,16.7,0,0,0,Desmond Bane
Luka Doncic,1,4:38,22.2,9,25,2,3,0,3,4,75.0,1,1,100.0,2,2,1,Desmond Bane
Jaylen Brown,1,4:25,22.2,0,18,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Desmond Bane
O.G. Anunoby,1,4:49,21.4,3,14,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Desmond Bane
Royce O'Neale,1,4:14,21.1,5,24,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Desmond Bane
Corey Kispert,1,4:10,20.6,4,22,2,0,0,2,2,100.0,0,0,0.0,0,0,0,Desmond Bane
