Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Alperen Sengun,4,36:25,178.3,32,188,23,7,2,14,25,56.0,2,4,50.0,2,3,2,Domantas Sabonis
Steven Adams,3,24:14,116.4,19,124,6,5,0,9,20,45.0,0,0,0.0,1,3,1,Domantas Sabonis
Jakob Poeltl,3,21:45,110.4,36,112,6,5,1,17,27,63.0,0,0,0.0,2,4,3,Domantas Sabonis
Rudy Gobert,2,22:07,97.7,16,111,2,2,0,8,12,66.7,0,0,0.0,0,1,1,Domantas Sabonis
Jarrett Allen,2,19:43,96.3,14,86,2,3,0,6,10,60.0,0,1,0.0,2,3,2,Domantas Sabonis
Thomas Bryant,2,17:43,86.0,29,88,2,2,0,13,15,86.7,1,1,100.0,2,2,1,Domantas Sabonis
Kevon Looney,3,15:07,84.8,10,82,5,2,0,5,10,50.0,0,0,0.0,0,0,0,Domantas Sabonis
Mason Plumlee,2,15:06,82.1,12,83,3,1,0,5,7,71.4,0,0,0.0,2,4,1,Domantas Sabonis
Bam Adebayo,2,15:33,77.5,26,88,7,3,0,11,19,57.9,0,0,0.0,4,4,2,Domantas Sabonis
Jalen Duren,2,16:06,76.6,15,79,1,1,0,7,9,77.8,0,0,0.0,1,2,1,Domantas Sabonis
Wendell Carter Jr.,2,14:39,74.7,15,65,6,4,0,6,11,54.5,1,2,50.0,2,2,1,Domantas Sabonis
Jarred Vanderbilt,2,13:18,66.6,12,79,6,2,0,6,9,66.7,0,0,0.0,0,1,1,Domantas Sabonis
Onyeka Okongwu,2,12:51,65.3,8,69,1,3,1,3,7,42.9,0,0,0.0,2,2,1,Domantas Sabonis
Ivica Zubac,2,13:36,60.9,10,58,1,1,0,5,8,62.5,0,0,0.0,0,0,0,Domantas Sabonis
Montrezl Harrell,2,12:54,57.4,11,67,2,0,0,5,6,83.3,0,0,0.0,1,2,2,Domantas Sabonis
Deandre Ayton,1,10:45,56.7,16,72,0,1,0,8,9,88.9,0,0,0.0,0,0,0,Domantas Sabonis
Myles Turner,2,10:33,54.5,9,41,0,3,1,4,14,28.6,1,3,33.3,0,0,0,Domantas Sabonis
Nikola Vucevic,1,10:20,53.2,12,44,1,2,0,4,7,57.1,2,2,100.0,2,2,1,Domantas Sabonis
Nikola Jokic,1,11:33,51.6,32,67,5,3,0,12,18,66.7,0,0,0.0,8,8,3,Domantas Sabonis
Walker Kessler,2,9:30,45.6,2,43,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Domantas Sabonis
Draymond Green,3,7:40,45.5,4,38,6,3,0,1,1,100.0,0,0,0.0,2,2,1,Domantas Sabonis
Xavier Tillman,2,7:52,43.9,6,46,2,1,0,3,3,100.0,0,0,0.0,0,0,0,Domantas Sabonis
Brook Lopez,1,8:45,42.0,2,46,1,0,0,1,5,20.0,0,1,0.0,0,0,0,Domantas Sabonis
Marvin Bagley III,2,9:37,41.6,14,42,1,1,0,6,11,54.5,0,2,0.0,2,2,1,Domantas Sabonis
Clint Capela,1,8:49,41.2,8,42,0,0,0,4,6,66.7,0,0,0.0,0,0,0,Domantas Sabonis
Nick Richards,2,8:21,41.0,2,39,4,2,0,1,4,25.0,0,0,0.0,0,0,0,Domantas Sabonis
Joel Embiid,1,7:45,40.0,20,42,0,3,0,8,13,61.5,0,1,0.0,4,4,2,Domantas Sabonis
Thaddeus Young,1,7:47,36.1,6,37,0,1,1,3,5,60.0,0,0,0.0,0,0,0,Domantas Sabonis
Al Horford,1,6:59,36.1,11,38,2,0,0,4,6,66.7,3,3,100.0,0,0,0,Domantas Sabonis
Zach Collins,2,7:39,35.9,10,41,3,1,0,5,7,71.4,0,1,0.0,0,0,0,Domantas Sabonis
Anthony Davis,1,7:44,32.4,14,31,1,1,0,5,11,45.5,0,1,0.0,4,4,2,Domantas Sabonis
Nic Claxton,1,6:31,32.3,6,29,1,1,0,3,5,60.0,0,0,0.0,0,0,0,Domantas Sabonis
Wenyen Gabriel,3,6:43,32.2,8,34,2,2,0,4,4,100.0,0,0,0.0,0,0,0,Domantas Sabonis
Brandon Clarke,3,6:08,32.0,4,29,3,0,0,2,4,50.0,0,0,0.0,0,0,0,Domantas Sabonis
Scottie Barnes,2,6:32,31.9,11,43,3,0,0,4,6,66.7,0,1,0.0,3,4,2,Domantas Sabonis
Daniel Gafford,1,6:11,31.5,2,30,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Domantas Sabonis
Jaylin Williams,1,6:48,30.9,0,22,2,1,0,0,3,0.0,0,1,0.0,0,0,0,Domantas Sabonis
Mitchell Robinson,1,6:23,28.2,8,28,0,1,0,3,3,100.0,0,0,0.0,2,2,1,Domantas Sabonis
Larry Nance Jr.,1,6:50,28.1,7,44,1,0,0,3,4,75.0,0,0,0.0,1,1,1,Domantas Sabonis
Jusuf Nurkic,1,5:31,27.3,4,23,1,1,0,2,6,33.3,0,0,0.0,0,0,0,Domantas Sabonis
Paolo Banchero,2,4:41,25.1,16,38,3,0,0,6,17,35.3,1,5,20.0,3,3,2,Domantas Sabonis
Usman Garuba,2,4:47,24.9,0,19,0,2,0,0,1,0.0,0,1,0.0,0,0,0,Domantas Sabonis
John Collins,2,4:05,22.7,6,31,2,0,0,3,6,50.0,0,1,0.0,0,0,0,Domantas Sabonis
Jalen Smith,1,4:12,21.9,4,13,0,1,0,1,2,50.0,1,1,100.0,1,2,0,Domantas Sabonis
Isaiah Hartenstein,1,4:52,21.7,2,20,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Domantas Sabonis
Stephen Curry,3,3:37,21.5,37,52,3,2,0,14,21,66.7,8,13,61.5,1,2,0,Domantas Sabonis
Evan Mobley,2,4:42,21.4,4,19,1,2,0,2,6,33.3,0,0,0.0,0,0,0,Domantas Sabonis
Bruno Fernando,3,4:28,20.0,4,17,0,1,0,1,2,50.0,0,0,0.0,2,2,1,Domantas Sabonis
Ja Morant,3,3:28,19.7,31,39,2,3,0,13,24,54.2,0,0,0.0,5,5,3,Domantas Sabonis
Daniel Theis,1,4:07,19.4,6,24,1,2,0,2,2,100.0,1,1,100.0,1,2,1,Domantas Sabonis
