Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ayo Dosunmu,3,18:02,93.3,9,95,5,2,0,4,7,57.1,0,3,0.0,1,2,1,Donovan Mitchell
Marcus Smart,2,11:38,56.9,8,62,7,1,0,3,10,30.0,1,4,25.0,1,1,1,Donovan Mitchell
Andrew Nembhard,3,10:37,56.7,0,48,5,2,0,0,1,0.0,0,1,0.0,0,0,0,Donovan Mitchell
Fred VanVleet,3,12:04,56.4,6,82,3,1,0,2,6,33.3,2,5,40.0,0,0,0,Donovan Mitchell
Buddy Hield,3,10:12,55.2,18,71,3,1,0,7,8,87.5,4,5,80.0,0,0,0,Donovan Mitchell
Caleb Martin,2,12:29,53.9,12,52,1,2,0,5,7,71.4,2,4,50.0,0,0,0,Donovan Mitchell
Tim Hardaway Jr.,2,11:14,51.1,4,56,0,1,0,2,5,40.0,0,2,0.0,0,0,0,Donovan Mitchell
Reggie Bullock,2,9:07,44.6,3,46,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Donovan Mitchell
RJ Barrett,3,9:12,43.5,2,39,1,0,1,1,8,12.5,0,3,0.0,0,0,0,Donovan Mitchell
Josh Hart,2,8:08,43.2,3,52,5,3,0,0,1,0.0,0,1,0.0,3,4,2,Donovan Mitchell
MarJon Beauchamp,2,8:14,41.4,3,42,0,3,0,1,3,33.3,1,2,50.0,0,0,0,Donovan Mitchell
AJ Griffin,1,7:55,40.9,7,39,0,1,0,3,5,60.0,1,2,50.0,0,0,0,Donovan Mitchell
Alex Caruso,3,6:27,38.8,4,43,0,1,0,1,1,100.0,1,1,100.0,1,2,1,Donovan Mitchell
Malik Beasley,2,8:38,38.7,3,45,2,0,0,1,4,25.0,1,4,25.0,0,0,0,Donovan Mitchell
Jevon Carter,3,6:24,36.5,3,26,1,1,0,1,5,20.0,1,4,25.0,0,0,0,Donovan Mitchell
Mikal Bridges,2,6:42,36.3,2,37,2,1,0,0,1,0.0,0,0,0.0,2,2,1,Donovan Mitchell
Grayson Allen,2,6:59,34.8,3,24,2,0,0,1,3,33.3,1,1,100.0,0,0,0,Donovan Mitchell
Monte Morris,2,7:30,34.3,5,37,6,0,0,2,3,66.7,1,1,100.0,0,0,0,Donovan Mitchell
Royce O'Neale,1,7:46,34.2,4,46,2,0,0,2,2,100.0,0,0,0.0,0,0,0,Donovan Mitchell
Evan Fournier,1,6:54,34.1,5,33,0,0,0,2,4,50.0,0,2,0.0,1,2,0,Donovan Mitchell
Landry Shamet,2,6:47,32.6,4,25,0,0,0,1,3,33.3,0,1,0.0,2,2,0,Donovan Mitchell
Jalen Brunson,3,7:12,32.5,17,32,1,0,0,7,11,63.6,1,3,33.3,2,4,2,Donovan Mitchell
Quentin Grimes,2,6:07,31.7,4,25,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Donovan Mitchell
Lonnie Walker IV,2,5:51,31.0,4,34,0,0,0,2,5,40.0,0,2,0.0,0,0,0,Donovan Mitchell
Franz Wagner,2,7:04,30.9,5,32,0,1,0,2,4,50.0,1,2,50.0,0,0,0,Donovan Mitchell
Delon Wright,2,6:32,30.5,3,36,3,0,0,1,3,33.3,1,2,50.0,0,0,0,Donovan Mitchell
Cole Anthony,2,6:49,30.4,0,12,0,1,0,0,4,0.0,0,2,0.0,0,0,0,Donovan Mitchell
Derrick White,2,5:10,29.9,0,27,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Donovan Mitchell
Klay Thompson,1,5:18,29.7,3,38,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Donovan Mitchell
