Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ja Morant,2,10:32,53.3,11,44,6,4,1,4,7,57.1,0,2,0.0,3,3,2,Donte Divincenzo
Trae Young,1,9:07,52.9,10,60,9,1,0,4,10,40.0,0,2,0.0,2,2,0,Donte Divincenzo
Jordan Clarkson,3,9:45,51.6,13,56,1,2,0,5,11,45.5,1,5,20.0,2,2,1,Donte Divincenzo
Darius Garland,2,9:28,50.4,17,46,3,2,0,7,16,43.8,1,5,20.0,2,2,0,Donte Divincenzo
Fred VanVleet,2,8:26,41.2,15,44,2,1,0,6,9,66.7,3,4,75.0,0,0,1,Donte Divincenzo
Anfernee Simons,2,7:28,38.3,5,36,1,1,0,2,4,50.0,1,2,50.0,0,0,0,Donte Divincenzo
Damian Lillard,2,6:18,29.3,6,34,1,2,0,3,7,42.9,0,3,0.0,0,0,0,Donte Divincenzo
Andrew Nembhard,2,5:17,26.4,5,21,5,1,0,2,4,50.0,1,2,50.0,0,0,0,Donte Divincenzo
Malik Monk,2,4:36,23.9,0,20,2,1,0,0,5,0.0,0,3,0.0,0,0,0,Donte Divincenzo
Tyus Jones,2,3:37,21.9,4,18,2,0,0,2,2,100.0,0,0,0.0,0,0,0,Donte Divincenzo
Jaylen Brown,2,4:46,21.7,2,16,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Donte Divincenzo
Zach LaVine,2,4:29,21.2,0,22,3,0,0,0,3,0.0,0,2,0.0,0,0,0,Donte Divincenzo
Malachi Flynn,1,4:51,20.7,6,16,0,0,0,2,6,33.3,2,4,50.0,0,0,0,Donte Divincenzo
Bennedict Mathurin,2,4:22,20.6,6,35,1,1,0,3,5,60.0,0,2,0.0,0,0,0,Donte Divincenzo
Malik Beasley,3,3:23,20.4,8,24,0,0,0,3,8,37.5,2,6,33.3,0,0,0,Donte Divincenzo
Malcolm Brogdon,2,4:27,20.2,12,17,0,1,0,5,7,71.4,2,2,100.0,0,0,0,Donte Divincenzo
Terry Rozier,1,3:52,20.0,2,19,0,2,0,1,2,50.0,0,1,0.0,0,0,0,Donte Divincenzo
LaMelo Ball,1,3:46,20.0,5,12,2,0,0,2,7,28.6,1,2,50.0,0,0,0,Donte Divincenzo
Isaiah Joe,2,3:28,19.6,6,30,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Donte Divincenzo
Bojan Bogdanovic,1,4:16,19.6,5,28,1,0,0,2,5,40.0,1,1,100.0,0,0,0,Donte Divincenzo
Shaedon Sharpe,2,4:06,19.3,9,20,0,0,0,4,6,66.7,1,2,50.0,0,0,0,Donte Divincenzo
Alec Burks,1,4:41,19.2,3,16,0,0,0,1,3,33.3,1,1,100.0,0,0,0,Donte Divincenzo
Tyrese Haliburton,1,4:08,19.1,6,17,0,1,0,2,5,40.0,2,4,50.0,0,0,0,Donte Divincenzo
Jaylen Nowell,2,3:22,19.0,6,19,1,0,0,2,3,66.7,2,3,66.7,0,0,0,Donte Divincenzo
Tre Mann,2,3:20,18.8,2,12,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Donte Divincenzo
Collin Sexton,3,3:24,18.7,4,18,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Donte Divincenzo
Buddy Hield,2,3:07,17.7,0,19,0,1,0,0,3,0.0,0,3,0.0,0,0,0,Donte Divincenzo
Shake Milton,1,3:30,17.5,2,16,0,0,0,0,1,0.0,0,0,0.0,2,2,0,Donte Divincenzo
Seth Curry,1,3:25,17.5,0,15,0,2,0,0,2,0.0,0,2,0.0,0,0,0,Donte Divincenzo
Jayson Tatum,2,3:17,16.8,10,15,0,2,0,3,5,60.0,2,2,100.0,2,4,0,Donte Divincenzo
Franz Wagner,1,3:23,16.0,0,15,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Donte Divincenzo
Mikal Bridges,2,3:07,15.7,4,18,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Donte Divincenzo
CJ McCollum,1,3:05,15.6,5,18,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Donte Divincenzo
Duane Washington Jr.,2,2:48,15.5,3,15,1,1,0,1,4,25.0,1,2,50.0,0,0,0,Donte Divincenzo
Kyle Kuzma,1,3:30,15.3,3,13,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Donte Divincenzo
Josh Giddey,2,2:40,15.1,3,12,1,1,0,1,3,33.3,0,0,0.0,1,2,1,Donte Divincenzo
Kyle Anderson,2,3:05,14.9,0,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Donte Divincenzo
Gary Harris,1,2:07,14.6,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Donte Divincenzo
Nickeil Alexander-Walker,3,3:01,14.6,6,24,2,0,0,2,4,50.0,1,3,33.3,1,2,1,Donte Divincenzo
Maxi Kleber,1,2:30,14.6,0,9,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Donte Divincenzo
Lauri Markkanen,2,2:57,14.5,0,16,1,0,0,0,4,0.0,0,2,0.0,0,0,0,Donte Divincenzo
Reggie Bullock,2,2:12,14.4,0,6,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Donte Divincenzo
Goran Dragic,2,3:09,14.2,2,16,2,2,0,1,1,100.0,0,0,0.0,0,0,0,Donte Divincenzo
Tre Jones,1,2:44,14.1,6,13,1,0,0,2,2,100.0,0,0,0.0,2,2,1,Donte Divincenzo
Austin Rivers,1,2:46,14.0,2,20,3,0,0,1,2,50.0,0,0,0.0,0,0,0,Donte Divincenzo
Daishen Nix,2,2:54,13.6,4,11,2,2,0,1,3,33.3,1,2,50.0,1,2,1,Donte Divincenzo
Desmond Bane,2,2:38,13.6,10,19,0,0,0,4,8,50.0,2,3,66.7,0,0,0,Donte Divincenzo
Delon Wright,1,2:41,13.6,0,15,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Donte Divincenzo
Derrick White,2,2:15,13.5,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Donte Divincenzo
Scottie Barnes,2,3:07,13.3,7,14,2,0,0,3,4,75.0,1,1,100.0,0,0,0,Donte Divincenzo
