Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Pascal Siakam,2,14:54,68.6,20,75,1,1,0,7,14,50.0,3,3,100.0,3,4,2,Draymond Green
Domantas Sabonis,3,11:36,55.5,8,60,6,3,0,4,12,33.3,0,1,0.0,0,0,0,Draymond Green
Jimmy Butler,2,12:31,55.2,14,63,3,0,0,5,9,55.6,4,6,66.7,0,0,0,Draymond Green
P.J. Washington,2,10:32,53.8,6,46,1,2,1,3,12,25.0,0,3,0.0,0,0,0,Draymond Green
Jaren Jackson Jr.,2,9:52,50.7,9,44,0,0,0,4,8,50.0,1,1,100.0,0,0,0,Draymond Green
Jabari Smith Jr.,2,11:19,47.2,9,47,0,1,0,4,8,50.0,1,5,20.0,0,0,0,Draymond Green
Nikola Vucevic,2,8:13,43.2,7,50,4,1,0,3,9,33.3,1,4,25.0,0,0,0,Draymond Green
Jerami Grant,2,8:59,42.9,19,38,2,4,0,8,13,61.5,1,4,25.0,2,2,1,Draymond Green
Mason Plumlee,2,8:39,42.9,2,34,3,2,0,1,1,100.0,0,0,0.0,0,4,0,Draymond Green
John Collins,1,6:43,42.1,2,33,0,1,0,0,7,0.0,0,3,0.0,2,2,1,Draymond Green
Nic Claxton,2,8:16,41.6,14,60,2,1,0,5,8,62.5,0,0,0.0,4,7,3,Draymond Green
Isaiah Stewart,2,8:15,38.2,5,49,0,1,0,2,7,28.6,0,3,0.0,1,1,1,Draymond Green
Drew Eubanks,2,8:42,37.8,8,56,1,2,0,4,5,80.0,0,0,0.0,0,0,0,Draymond Green
Jaylen Brown,2,7:16,37.7,9,39,2,0,0,4,9,44.4,1,3,33.3,0,0,0,Draymond Green
Jaylin Williams,2,7:04,37.2,10,38,1,0,1,4,7,57.1,2,3,66.7,0,0,0,Draymond Green
Keegan Murray,3,6:10,35.7,11,56,1,1,1,4,7,57.1,3,6,50.0,0,0,0,Draymond Green
Dwight Powell,2,6:26,35.7,2,29,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Draymond Green
De'Aaron Fox,3,6:11,35.2,8,38,2,1,0,4,10,40.0,0,2,0.0,0,0,0,Draymond Green
Deandre Ayton,2,7:34,35.2,12,44,1,3,0,6,9,66.7,0,0,0.0,0,0,0,Draymond Green
Kelly Olynyk,2,7:23,35.0,11,38,3,0,0,4,6,66.7,3,5,60.0,0,0,0,Draymond Green
Jakob Poeltl,2,6:08,34.1,6,42,2,4,1,2,8,25.0,0,0,0.0,2,2,1,Draymond Green
Julius Randle,2,6:28,33.3,7,39,2,2,0,3,7,42.9,0,2,0.0,1,2,1,Draymond Green
Jarrett Allen,1,7:45,33.1,9,33,1,1,0,4,5,80.0,0,0,0.0,1,2,0,Draymond Green
Kristaps Porzingis,1,5:50,32.5,6,36,1,0,0,3,5,60.0,0,1,0.0,0,0,0,Draymond Green
Jeremy Sochan,2,5:56,30.8,6,25,0,1,0,3,10,30.0,0,3,0.0,0,0,0,Draymond Green
Karl-Anthony Towns,1,6:07,30.7,2,33,3,1,0,1,5,20.0,0,3,0.0,0,0,0,Draymond Green
Torrey Craig,2,5:15,29.6,5,26,0,0,0,2,5,40.0,1,4,25.0,0,0,0,Draymond Green
