Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jock Landale,3,9:23,46.4,6,49,1,1,0,2,2,100.0,2,2,100.0,0,0,0,Drew Eubanks
Rudy Gobert,3,7:56,38.8,19,54,1,1,2,7,9,77.8,0,0,0.0,5,5,3,Drew Eubanks
Christian Wood,3,7:15,38.0,18,51,0,1,0,7,12,58.3,0,5,0.0,4,6,4,Drew Eubanks
Thomas Bryant,2,6:56,36.0,7,42,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Drew Eubanks
Brook Lopez,2,5:38,35.8,10,33,0,0,0,5,7,71.4,0,2,0.0,0,1,1,Drew Eubanks
Nikola Jokic,4,6:47,34.8,10,43,5,3,0,5,9,55.6,0,1,0.0,0,2,2,Drew Eubanks
Nikola Vucevic,1,6:02,34.5,15,48,3,0,0,7,9,77.8,0,1,0.0,1,2,1,Drew Eubanks
Mason Plumlee,2,7:24,34.4,10,25,3,0,0,5,5,100.0,0,0,0.0,0,2,0,Drew Eubanks
Jarred Vanderbilt,2,7:00,33.5,2,20,0,0,1,1,3,33.3,0,1,0.0,0,0,0,Drew Eubanks
Aleksej Pokusevski,2,6:05,32.6,0,21,1,0,0,0,7,0.0,0,5,0.0,0,0,0,Drew Eubanks
Kevon Looney,2,5:25,31.8,1,42,1,0,0,0,2,0.0,0,0,0.0,1,2,1,Drew Eubanks
Dwight Powell,3,6:09,31.3,1,29,0,0,1,0,2,0.0,0,0,0.0,1,2,0,Drew Eubanks
Jarrett Allen,2,6:01,28.9,10,33,0,0,1,3,5,60.0,0,0,0.0,4,4,2,Drew Eubanks
Zeke Nnaji,3,7:23,28.8,7,19,0,1,1,3,7,42.9,1,3,33.3,0,0,0,Drew Eubanks
Isaiah Jackson,2,5:24,27.7,7,26,1,0,1,3,8,37.5,0,0,0.0,1,2,1,Drew Eubanks
Xavier Tillman,1,5:10,27.6,3,30,3,2,0,1,2,50.0,0,0,0.0,1,1,1,Drew Eubanks
Precious Achiuwa,2,5:53,26.2,13,34,0,0,1,6,8,75.0,0,0,0.0,1,1,1,Drew Eubanks
Jakob Poeltl,2,5:08,25.8,6,23,3,2,0,2,3,66.7,0,0,0.0,2,2,1,Drew Eubanks
Jonas Valanciunas,1,4:16,23.3,0,13,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Drew Eubanks
Charles Bassey,2,4:59,23.1,2,10,0,2,0,1,1,100.0,0,0,0.0,0,0,0,Drew Eubanks
Draymond Green,2,3:49,22.7,10,26,2,2,0,4,7,57.1,2,3,66.7,0,0,0,Drew Eubanks
Deandre Ayton,3,4:28,21.8,15,23,1,2,0,7,8,87.5,1,1,100.0,0,0,0,Drew Eubanks
Naz Reid,2,3:34,21.2,4,12,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Drew Eubanks
Ben Simmons,2,3:13,18.5,4,21,2,1,0,2,2,100.0,0,0,0.0,0,0,0,Drew Eubanks
DeAndre Jordan,2,4:27,18.5,0,17,1,0,1,0,1,0.0,0,0,0.0,0,0,0,Drew Eubanks
Jalen Duren,1,3:26,18.3,0,8,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Drew Eubanks
Evan Mobley,2,2:60,17.6,0,12,1,0,1,0,3,0.0,0,0,0.0,0,0,0,Drew Eubanks
Isaiah Stewart,1,3:17,17.6,0,14,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Drew Eubanks
Domantas Sabonis,1,3:12,16.9,6,21,1,0,1,2,4,50.0,0,0,0.0,2,2,1,Drew Eubanks
Onyeka Okongwu,1,3:33,16.9,4,18,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Drew Eubanks
Alperen Sengun,2,3:53,16.8,11,19,0,0,1,4,7,57.1,0,0,0.0,3,3,1,Drew Eubanks
Zach Collins,1,2:40,16.5,0,23,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Drew Eubanks
Walker Kessler,2,3:50,16.4,4,13,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Drew Eubanks
Joel Embiid,1,3:47,16.2,4,12,1,1,0,2,7,28.6,0,1,0.0,0,0,0,Drew Eubanks
Luka Doncic,3,3:10,15.9,10,28,5,1,0,3,10,30.0,1,6,16.7,3,3,2,Drew Eubanks
Nic Claxton,2,3:42,15.4,4,19,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Drew Eubanks
Montrezl Harrell,1,3:18,14.6,0,5,0,0,0,0,1,0.0,0,0,0.0,0,2,1,Drew Eubanks
Dorian Finney-Smith,2,2:47,14.3,3,23,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Drew Eubanks
Spencer Dinwiddie,4,2:40,13.8,16,33,2,1,0,6,8,75.0,3,3,100.0,1,1,1,Drew Eubanks
Giannis Antetokounmpo,2,2:09,13.8,12,27,1,1,0,6,10,60.0,0,0,0.0,0,0,0,Drew Eubanks
Anthony Davis,2,2:36,13.6,7,9,0,0,0,3,4,75.0,0,0,0.0,1,1,1,Drew Eubanks
Daniel Gafford,1,3:03,13.5,2,17,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Drew Eubanks
Anthony Edwards,3,2:29,13.2,11,26,1,1,1,4,14,28.6,1,2,50.0,2,2,1,Drew Eubanks
Bam Adebayo,2,2:47,13.1,4,19,0,1,1,1,2,50.0,0,0,0.0,2,2,1,Drew Eubanks
Luka Garza,1,2:24,12.9,4,12,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Drew Eubanks
Wenyen Gabriel,2,2:19,12.6,8,19,0,2,0,4,4,100.0,0,0,0.0,0,0,0,Drew Eubanks
Gorgui Dieng,1,2:45,12.5,3,16,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Drew Eubanks
Kristaps Porzingis,1,1:50,12.1,4,21,2,0,0,0,2,0.0,0,1,0.0,4,4,2,Drew Eubanks
Mike Muscala,2,2:13,12.1,3,16,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Drew Eubanks
Usman Garuba,1,2:40,11.8,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Drew Eubanks
