Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Gabe Vincent,2,7:11,34.0,3,31,4,0,0,1,4,25.0,1,2,50.0,0,0,0,Duane Washington Jr
Jordan Poole,2,3:31,20.8,0,23,3,0,0,0,2,0.0,0,1,0.0,0,0,0,Duane Washington Jr
D'Angelo Russell,1,3:57,19.4,7,23,1,0,0,2,4,50.0,1,1,100.0,2,2,1,Duane Washington Jr
Immanuel Quickley,2,4:38,19.2,7,19,1,0,0,3,6,50.0,1,1,100.0,0,0,0,Duane Washington Jr
Klay Thompson,2,3:06,17.9,9,15,0,1,0,3,7,42.9,1,5,20.0,2,2,1,Duane Washington Jr
Ziaire Williams,2,2:31,13.9,6,14,0,1,0,3,3,100.0,0,0,0.0,0,0,0,Duane Washington Jr
Max Strus,2,2:25,13.9,6,11,0,0,0,2,5,40.0,2,4,50.0,0,0,0,Duane Washington Jr
Tyus Jones,2,2:34,13.6,1,12,2,0,0,0,3,0.0,0,1,0.0,1,2,0,Duane Washington Jr
Caris LeVert,2,2:30,13.4,2,15,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Duane Washington Jr
Kentavious Caldwell-Pope,1,2:22,13.1,9,25,0,0,0,3,3,100.0,2,2,100.0,1,1,1,Duane Washington Jr
Hamidou Diallo,1,2:39,11.6,0,6,0,3,0,0,1,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Raul Neto,2,2:10,11.5,2,10,0,0,0,0,0,0.0,0,0,0.0,2,2,0,Duane Washington Jr
Donte DiVincenzo,2,1:51,11.4,3,13,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Duane Washington Jr
Dennis Schroder,1,2:12,10.9,0,6,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Duane Washington Jr
Malachi Flynn,1,2:18,10.6,0,9,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Duane Washington Jr
Delon Wright,1,1:47,10.5,0,8,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Duane Washington Jr
John Konchar,2,1:51,10.3,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Jalen Suggs,1,2:23,9.7,2,11,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Duane Washington Jr
Monte Morris,2,1:54,9.5,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Talen Horton-Tucker,2,2:04,9.4,4,13,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Duane Washington Jr
Austin Rivers,1,1:59,9.3,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Miles McBride,2,1:57,8.9,2,6,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Duane Washington Jr
Isaac Okoro,1,2:23,8.8,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Duane Washington Jr
Chris Duarte,1,1:54,8.7,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Duane Washington Jr
Victor Oladipo,1,1:30,8.5,2,9,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Duane Washington Jr
Andrew Wiggins,2,1:35,8.4,2,11,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Duane Washington Jr
Kyle Kuzma,2,1:46,8.3,2,6,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Duane Washington Jr
Collin Sexton,1,1:26,8.2,2,7,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Duane Washington Jr
Malik Beasley,2,1:48,8.0,12,24,1,0,0,4,4,100.0,4,4,100.0,0,0,0,Duane Washington Jr
Dillon Brooks,2,1:17,7.8,2,4,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Duane Washington Jr
Cedi Osman,2,1:26,7.8,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Jaden McDaniels,1,1:15,7.8,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Kennedy Chandler,1,1:07,7.3,0,10,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Ja Morant,2,1:11,7.3,2,21,3,1,0,1,2,50.0,0,0,0.0,0,0,0,Duane Washington Jr
Keon Johnson,1,1:19,7.3,2,8,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Duane Washington Jr
Desmond Bane,2,1:12,7.2,4,6,0,0,0,1,6,16.7,0,2,0.0,2,2,0,Duane Washington Jr
Troy Brown Jr.,1,1:13,7.1,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Bryce McGowens,1,1:23,6.9,2,8,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Duane Washington Jr
Bones Hyland,1,1:42,6.8,3,10,0,0,1,1,2,50.0,1,1,100.0,0,0,0,Duane Washington Jr
Stephen Curry,2,1:05,6.5,5,14,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Duane Washington Jr
Kevin Knox II,1,1:22,6.4,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Isaiah Livers,1,1:20,6.2,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Duane Washington Jr
Haywood Highsmith,1,1:06,6.2,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Davion Mitchell,1,1:04,6.0,0,6,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Jamal Murray,1,1:32,6.0,2,8,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Duane Washington Jr
Corey Kispert,2,1:13,5.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Andrew Nembhard,1,1:19,5.9,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Seth Curry,1,1:01,5.8,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Austin Reaves,1,0:55,5.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
Quentin Grimes,2,1:18,5.4,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duane Washington Jr
