Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Doug McDermott,2,4:28,22.9,2,20,1,1,0,1,2,50.0,0,1,0.0,0,0,0,Duncan Robinson
Jalen McDaniels,2,4:36,22.4,2,24,3,0,0,1,1,100.0,0,0,0.0,0,1,1,Duncan Robinson
Shaedon Sharpe,2,3:47,17.6,3,11,0,0,0,1,4,25.0,0,1,0.0,1,3,2,Duncan Robinson
Alex Caruso,2,3:42,17.4,2,15,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Duncan Robinson
Patrick Williams,2,4:01,16.8,3,14,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Duncan Robinson
Justise Winslow,2,2:55,16.4,4,20,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Duncan Robinson
James Bouknight,2,2:59,16.2,3,9,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Duncan Robinson
Coby White,2,2:55,16.0,5,22,1,1,0,1,1,100.0,1,1,100.0,2,2,1,Duncan Robinson
Derrick Jones Jr.,1,2:28,15.3,0,7,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Duncan Robinson
Vlatko Cancar,1,3:32,15.2,7,13,1,0,0,2,2,100.0,1,1,100.0,2,2,0,Duncan Robinson
Chris Boucher,2,3:02,14.4,5,17,0,1,0,1,3,33.3,1,2,50.0,2,2,1,Duncan Robinson
Andrew Wiggins,2,3:14,14.2,2,18,2,0,0,0,0,0.0,0,0,0.0,2,2,1,Duncan Robinson
Aaron Wiggins,1,2:58,14.1,4,14,0,0,0,1,1,100.0,0,0,0.0,2,3,2,Duncan Robinson
Moses Moody,2,3:02,13.6,0,6,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Duncan Robinson
Theo Maledon,2,2:08,13.3,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Nassir Little,2,2:44,13.2,3,16,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Duncan Robinson
JaMychal Green,2,2:27,12.7,0,11,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
O.G. Anunoby,3,2:41,12.2,5,23,0,0,0,2,2,100.0,0,0,0.0,1,2,1,Duncan Robinson
Precious Achiuwa,2,2:26,10.8,8,13,0,0,0,3,4,75.0,2,2,100.0,0,0,0,Duncan Robinson
Harrison Barnes,2,1:39,10.7,0,11,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Duncan Robinson
Rudy Gay,1,2:18,10.5,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Ty Jerome,2,2:12,10.4,6,19,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Duncan Robinson
Keegan Murray,1,1:49,10.3,2,10,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Duncan Robinson
Goran Dragic,2,1:33,10.2,0,6,0,1,0,0,3,0.0,0,0,0.0,0,0,0,Duncan Robinson
Devin Vassell,2,2:05,10.1,2,7,2,0,0,0,3,0.0,0,1,0.0,2,2,1,Duncan Robinson
Juancho Hernangomez,1,2:02,9.8,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Duncan Robinson
Keita Bates-Diop,1,1:50,9.4,2,7,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Duncan Robinson
Pascal Siakam,2,1:28,9.2,4,16,2,0,0,1,1,100.0,0,0,0.0,2,2,1,Duncan Robinson
Jerami Grant,2,1:47,9.2,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Duncan Robinson
Mikal Bridges,1,1:50,9.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Andrew Nembhard,1,1:47,9.0,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Duncan Robinson
Kevin Knox II,1,2:13,8.9,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Isaac Okoro,1,1:44,8.8,6,11,1,0,0,2,2,100.0,1,1,100.0,1,1,1,Duncan Robinson
Damion Lee,1,1:43,8.5,3,10,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Duncan Robinson
Kenyon Martin Jr.,1,1:28,8.4,4,8,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Duncan Robinson
Josh Hart,2,1:40,8.3,2,5,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Duncan Robinson
Jarred Vanderbilt,1,1:52,8.3,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Austin Reaves,1,1:10,8.2,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Fred VanVleet,3,1:36,7.7,2,6,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Duncan Robinson
Malik Monk,2,1:25,7.7,2,9,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Duncan Robinson
Bennedict Mathurin,1,1:13,7.3,2,7,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Duncan Robinson
Jordan Poole,2,1:17,7.3,0,8,1,0,0,0,0,0.0,0,0,0.0,0,1,0,Duncan Robinson
Nick Richards,2,1:21,7.0,6,14,0,0,0,3,3,100.0,0,0,0.0,0,0,0,Duncan Robinson
Cedi Osman,1,1:22,6.9,6,15,2,0,0,2,3,66.7,2,2,100.0,0,0,0,Duncan Robinson
Damian Lillard,2,1:05,6.8,2,5,1,0,0,0,3,0.0,0,1,0.0,2,2,1,Duncan Robinson
Sam Hauser,2,1:16,6.8,3,12,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Duncan Robinson
Isaiah Joe,1,1:16,6.8,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Matthew Dellavedova,1,1:12,6.7,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Duncan Robinson
Saddiq Bey,1,1:31,6.7,2,5,0,1,0,0,1,0.0,0,0,0.0,2,2,1,Duncan Robinson
P.J. Washington,2,1:00,6.6,0,8,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Duncan Robinson
