Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Devin Booker,2,10:10,51.0,17,43,2,1,0,8,19,42.1,0,5,0.0,1,1,1,Dyson Daniels
Devin Vassell,3,7:50,37.2,16,36,5,0,0,5,8,62.5,4,5,80.0,2,2,1,Dyson Daniels
Jaden Ivey,2,6:40,35.9,4,41,0,2,0,1,5,20.0,0,3,0.0,2,2,1,Dyson Daniels
Jordan Clarkson,2,6:53,35.5,13,28,1,3,0,5,9,55.6,3,7,42.9,0,0,0,Dyson Daniels
Mikal Bridges,3,8:09,35.2,12,49,1,1,0,4,10,40.0,4,7,57.1,0,0,0,Dyson Daniels
Chris Paul,3,7:49,34.6,12,49,4,2,0,4,8,50.0,3,5,60.0,1,2,0,Dyson Daniels
Tyler Herro,2,6:45,31.4,16,37,4,1,0,6,13,46.2,2,7,28.6,2,2,1,Dyson Daniels
Luka Doncic,2,5:15,29.0,14,36,4,3,0,6,10,60.0,0,3,0.0,2,2,1,Dyson Daniels
Jaylen Brown,2,5:05,28.7,13,31,0,2,0,5,6,83.3,1,1,100.0,2,3,2,Dyson Daniels
Jamal Murray,2,5:49,28.1,2,28,3,2,0,1,2,50.0,0,0,0.0,0,0,0,Dyson Daniels
Bojan Bogdanovic,2,5:20,25.5,2,18,1,0,0,1,6,16.7,0,2,0.0,0,2,0,Dyson Daniels
Brandon Clarke,3,4:18,22.9,4,17,0,1,0,2,5,40.0,0,0,0.0,0,0,0,Dyson Daniels
Shai Gilgeous-Alexander,2,3:22,22.8,12,22,1,3,0,4,10,40.0,0,0,0.0,4,4,2,Dyson Daniels
Jimmy Butler,2,5:05,22.6,8,25,3,1,0,3,6,50.0,0,1,0.0,2,2,2,Dyson Daniels
Kyle Lowry,2,2:53,19.1,8,21,1,0,0,4,6,66.7,0,2,0.0,0,0,0,Dyson Daniels
Franz Wagner,1,3:31,18.8,7,16,1,2,0,3,4,75.0,1,2,50.0,0,0,0,Dyson Daniels
Pascal Siakam,1,2:55,17.9,2,20,0,2,0,1,4,25.0,0,0,0.0,0,0,0,Dyson Daniels
Tre Mann,2,2:40,16.9,2,16,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Dyson Daniels
Tyrese Maxey,2,3:16,16.6,4,20,1,0,1,2,7,28.6,0,2,0.0,0,0,0,Dyson Daniels
Romeo Langford,2,2:34,15.2,3,16,0,2,0,1,3,33.3,0,1,0.0,1,2,1,Dyson Daniels
Anthony Edwards,1,2:34,15.1,4,20,1,0,1,2,6,33.3,0,1,0.0,0,0,0,Dyson Daniels
Kyle Kuzma,1,3:09,15.0,14,20,1,1,1,4,6,66.7,2,3,66.7,4,4,2,Dyson Daniels
James Harden,1,3:16,14.8,3,17,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Dyson Daniels
Tyus Jones,3,2:39,14.4,0,7,3,1,0,0,3,0.0,0,2,0.0,0,0,0,Dyson Daniels
Tre Jones,3,2:46,14.3,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Dyson Daniels
Anthony Lamb,1,2:43,14.0,0,5,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Dyson Daniels
Dillon Brooks,3,2:30,13.4,5,10,0,0,0,2,4,50.0,1,1,100.0,0,0,0,Dyson Daniels
Nickeil Alexander-Walker,2,2:57,13.0,4,14,1,0,0,1,1,100.0,1,1,100.0,1,2,1,Dyson Daniels
Caleb Martin,2,2:45,12.9,5,13,0,1,0,2,3,66.7,1,2,50.0,0,0,0,Dyson Daniels
David Roddy,3,2:30,12.3,3,13,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Dyson Daniels
Darius Garland,1,2:54,12.2,0,9,3,1,0,0,2,0.0,0,1,0.0,0,0,0,Dyson Daniels
Keldon Johnson,2,2:50,12.1,0,11,1,0,0,0,8,0.0,0,1,0.0,0,0,0,Dyson Daniels
Saddiq Bey,2,1:23,12.0,4,8,0,0,0,1,6,16.7,0,1,0.0,2,2,1,Dyson Daniels
Kennedy Chandler,1,2:39,11.8,0,10,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Dyson Daniels
Spencer Dinwiddie,2,2:18,11.8,3,20,3,0,0,1,2,50.0,0,0,0.0,1,1,1,Dyson Daniels
Gary Trent Jr.,1,2:07,11.8,7,11,0,0,0,3,4,75.0,1,1,100.0,0,0,0,Dyson Daniels
Jalen Williams,2,1:37,11.6,2,11,0,2,0,1,2,50.0,0,1,0.0,0,0,0,Dyson Daniels
Malaki Branham,2,1:48,11.3,2,13,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Dyson Daniels
Derrick White,2,2:20,11.2,12,14,1,0,0,5,5,100.0,2,2,100.0,0,0,0,Dyson Daniels
Malik Beasley,2,1:54,11.2,6,13,1,0,0,2,3,66.7,2,3,66.7,0,0,0,Dyson Daniels
Gabe Vincent,2,2:47,11.1,2,13,1,1,0,1,3,33.3,0,1,0.0,0,0,0,Dyson Daniels
Doug McDermott,2,1:36,11.1,4,8,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Dyson Daniels
Matt Ryan,1,1:51,10.9,3,8,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Dyson Daniels
Grant Williams,2,2:23,10.8,2,19,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Dyson Daniels
Malcolm Brogdon,2,2:02,10.7,0,2,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Dyson Daniels
