Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Terrence Ross,1,7:53,36.0,5,41,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Evan Fournier
Kelly Oubre Jr.,1,6:17,33.1,5,26,0,0,0,2,5,40.0,0,2,0.0,1,2,1,Evan Fournier
Bojan Bogdanovic,2,6:05,30.4,6,30,0,1,1,3,4,75.0,0,0,0.0,0,0,0,Evan Fournier
John Konchar,1,5:30,27.8,3,33,1,0,0,1,3,33.3,1,1,100.0,0,0,0,Evan Fournier
Doug McDermott,2,4:54,27.8,5,33,1,1,0,2,5,40.0,1,3,33.3,0,0,0,Evan Fournier
Grayson Allen,2,4:00,23.3,8,28,1,1,0,3,3,100.0,2,2,100.0,0,0,0,Evan Fournier
Max Strus,1,3:29,21.4,9,23,1,0,0,3,5,60.0,3,5,60.0,0,0,0,Evan Fournier
Donovan Mitchell,1,3:56,20.0,11,23,1,1,0,4,7,57.1,3,4,75.0,0,0,0,Evan Fournier
Chris Boucher,2,3:16,15.5,2,14,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Evan Fournier
Damion Lee,1,2:35,14.6,3,18,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Evan Fournier
De'Andre Hunter,1,3:06,13.9,0,16,0,0,0,0,3,0.0,0,1,0.0,0,2,1,Evan Fournier
Garrison Mathews,1,2:35,13.3,0,12,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Evan Fournier
Pat Connaughton,1,2:32,12.2,3,14,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Evan Fournier
Matisse Thybulle,2,2:04,11.6,2,5,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Evan Fournier
Dean Wade,1,2:32,11.3,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
Scottie Barnes,2,2:10,11.3,0,14,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Evan Fournier
Joe Harris,1,2:14,10.8,0,5,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Evan Fournier
James Harden,1,1:52,10.2,6,14,1,0,0,2,2,100.0,0,0,0.0,2,2,1,Evan Fournier
Shake Milton,2,2:18,9.5,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Evan Fournier
Josh Richardson,2,1:44,9.4,3,15,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Evan Fournier
Furkan Korkmaz,1,1:37,9.4,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
Caris LeVert,1,2:04,9.0,0,11,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Evan Fournier
Trae Young,1,1:06,9.0,5,9,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Evan Fournier
Taurean Prince,1,0:56,9.0,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
Anthony Edwards,1,1:33,8.9,4,4,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Evan Fournier
De'Anthony Melton,2,1:31,8.8,1,3,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Evan Fournier
Josh Giddey,1,2:18,8.7,2,10,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Evan Fournier
Seth Curry,1,1:47,8.4,6,9,1,0,0,1,2,50.0,1,2,50.0,3,3,1,Evan Fournier
Kenrich Williams,1,1:10,8.2,1,10,2,0,0,0,0,0.0,0,0,0.0,1,2,1,Evan Fournier
Joe Wieskamp,1,1:49,8.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
Giannis Antetokounmpo,2,1:06,8.1,4,20,1,0,0,1,1,100.0,0,0,0.0,2,2,1,Evan Fournier
Ja Morant,1,1:31,7.4,0,16,2,1,0,0,2,0.0,0,2,0.0,0,0,0,Evan Fournier
Jalen Williams,1,1:38,7.3,2,6,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Evan Fournier
O.G. Anunoby,1,1:21,7.3,2,6,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Evan Fournier
Aaron Wiggins,1,1:21,7.3,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
Tobias Harris,2,1:02,7.2,1,8,0,1,0,0,0,0.0,0,0,0.0,1,1,0,Evan Fournier
David Roddy,1,1:36,7.0,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Evan Fournier
Jrue Holiday,2,1:00,7.0,5,17,1,0,0,1,1,100.0,0,0,0.0,3,3,1,Evan Fournier
Cedi Osman,1,1:36,6.9,3,11,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Evan Fournier
Fred VanVleet,2,1:24,6.8,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
Desmond Bane,1,2:09,6.8,0,5,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Evan Fournier
Tyrese Maxey,2,0:45,6.8,7,11,0,0,0,2,5,40.0,0,1,0.0,3,3,2,Evan Fournier
Pascal Siakam,2,1:08,6.3,0,6,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Evan Fournier
Sam Hauser,1,1:34,6.2,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Evan Fournier
Jaden Ivey,2,0:52,5.8,2,5,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Evan Fournier
Jayson Tatum,1,1:12,5.7,2,10,2,0,0,0,0,0.0,0,0,0.0,2,2,0,Evan Fournier
Dejounte Murray,1,0:53,5.6,0,10,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Evan Fournier
Tari Eason,1,1:03,5.6,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Evan Fournier
Juancho Hernangomez,1,1:07,5.6,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Evan Fournier
Gordon Hayward,1,0:60,5.5,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Evan Fournier
