Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jaylen Brown,4,15:06,80.9,16,99,3,3,0,5,14,35.7,2,9,22.2,4,6,2,Franz Wagner
Tobias Harris,4,14:48,70.9,16,56,3,4,1,6,14,42.9,2,2,100.0,2,2,1,Franz Wagner
Dejounte Murray,3,14:05,69.5,11,59,5,4,0,5,16,31.3,1,7,14.3,0,0,0,Franz Wagner
Kyle Kuzma,2,11:58,59.8,23,82,5,2,0,9,14,64.3,5,9,55.6,0,0,0,Franz Wagner
Kevin Porter Jr.,2,12:03,59.3,11,58,5,6,0,5,9,55.6,1,4,25.0,0,0,0,Franz Wagner
Bogdan Bogdanovic,2,10:21,55.1,8,48,1,2,0,3,10,30.0,2,8,25.0,0,0,0,Franz Wagner
Michael Porter Jr.,2,11:02,51.8,8,35,0,1,0,2,7,28.6,1,4,25.0,3,3,1,Franz Wagner
RJ Barrett,2,11:26,49.9,5,36,1,3,1,1,6,16.7,1,3,33.3,2,2,1,Franz Wagner
Gordon Hayward,2,9:56,48.0,5,30,1,2,0,2,5,40.0,1,3,33.3,0,0,0,Franz Wagner
Shake Milton,4,9:25,45.4,9,51,3,2,0,4,5,80.0,1,1,100.0,0,0,0,Franz Wagner
Gary Trent Jr.,3,8:44,42.4,8,52,1,0,0,3,8,37.5,2,6,33.3,0,0,0,Franz Wagner
O.G. Anunoby,2,8:03,41.6,10,39,2,2,0,3,6,50.0,1,1,100.0,3,3,1,Franz Wagner
Kevin Huerter,2,7:49,38.6,6,43,0,1,0,2,3,66.7,2,2,100.0,0,0,0,Franz Wagner
Donovan Mitchell,2,8:10,35.9,20,43,2,0,0,8,15,53.3,3,8,37.5,1,1,1,Franz Wagner
Klay Thompson,1,6:02,35.8,14,42,2,0,0,5,9,55.6,4,6,66.7,0,0,0,Franz Wagner
Zach LaVine,2,7:60,35.2,2,34,2,0,0,0,7,0.0,0,3,0.0,2,2,1,Franz Wagner
De'Anthony Melton,4,6:31,34.8,4,31,2,2,0,1,3,33.3,0,1,0.0,2,2,1,Franz Wagner
Trey Murphy III,1,6:44,32.7,3,23,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Franz Wagner
Cade Cunningham,1,6:53,32.7,2,36,3,3,0,1,1,100.0,0,0,0.0,0,0,0,Franz Wagner
Andrew Wiggins,2,6:14,32.2,8,40,4,3,0,3,8,37.5,2,7,28.6,0,0,0,Franz Wagner
Aaron Nesmith,3,5:58,31.8,11,34,0,3,0,3,5,60.0,2,4,50.0,3,3,2,Franz Wagner
Luka Doncic,2,6:38,31.4,13,30,1,0,0,6,8,75.0,0,2,0.0,1,2,1,Franz Wagner
Georges Niang,4,6:53,29.7,3,25,5,0,0,1,2,50.0,1,2,50.0,0,0,0,Franz Wagner
Trae Young,4,6:14,29.6,13,46,6,0,1,5,9,55.6,1,2,50.0,2,2,1,Franz Wagner
Jayson Tatum,3,6:17,29.5,5,27,3,0,0,1,4,25.0,0,1,0.0,3,4,1,Franz Wagner
Grant Williams,4,5:18,29.5,2,35,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Franz Wagner
Jerami Grant,1,6:31,28.5,4,25,1,0,0,2,6,33.3,0,1,0.0,0,0,0,Franz Wagner
Spencer Dinwiddie,2,6:24,27.3,2,11,1,0,1,1,4,25.0,0,1,0.0,0,0,0,Franz Wagner
Kelly Oubre Jr.,2,6:14,27.1,4,23,0,1,0,2,7,28.6,0,3,0.0,0,0,0,Franz Wagner
Malcolm Brogdon,3,4:53,27.0,5,30,1,0,0,2,5,40.0,1,3,33.3,0,0,0,Franz Wagner
AJ Griffin,3,5:45,26.7,15,34,0,0,0,6,6,100.0,3,3,100.0,0,0,0,Franz Wagner
Chris Boucher,3,5:24,26.6,0,20,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Franz Wagner
De'Andre Hunter,4,5:13,26.6,9,28,0,0,0,4,6,66.7,1,2,50.0,0,0,0,Franz Wagner
Jaden McDaniels,2,5:22,26.5,6,26,0,0,1,3,7,42.9,0,1,0.0,0,0,0,Franz Wagner
T.J. McConnell,3,4:59,26.1,2,26,2,1,0,1,2,50.0,0,1,0.0,0,0,0,Franz Wagner
Shai Gilgeous-Alexander,1,4:41,26.0,6,18,1,2,0,2,2,100.0,0,0,0.0,2,2,0,Franz Wagner
Dillon Brooks,1,4:50,25.8,4,26,2,0,0,2,8,25.0,0,4,0.0,0,0,0,Franz Wagner
Chris Duarte,1,6:10,25.8,0,31,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Franz Wagner
Lonnie Walker IV,1,5:06,25.0,0,27,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Franz Wagner
Caris LeVert,2,5:24,24.4,3,33,1,1,0,1,3,33.3,1,3,33.3,0,0,0,Franz Wagner
Sam Hauser,4,5:09,24.4,5,16,1,0,0,2,3,66.7,1,2,50.0,0,0,0,Franz Wagner
Derrick White,4,4:07,24.3,3,26,0,2,0,1,2,50.0,1,2,50.0,0,0,0,Franz Wagner
Lauri Markkanen,1,5:15,24.1,0,10,0,2,0,0,2,0.0,0,1,0.0,0,0,0,Franz Wagner
De'Aaron Fox,2,4:46,23.9,4,28,1,1,0,2,4,50.0,0,1,0.0,0,0,0,Franz Wagner
Devin Vassell,1,3:47,21.7,3,19,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Franz Wagner
Mikal Bridges,1,3:51,21.6,5,26,1,1,0,2,3,66.7,1,1,100.0,0,0,0,Franz Wagner
Jimmy Butler,1,5:06,21.4,2,14,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Franz Wagner
Bennedict Mathurin,3,5:07,21.1,6,18,0,0,0,3,6,50.0,0,0,0.0,0,0,0,Franz Wagner
Myles Turner,3,3:58,20.6,13,36,0,0,0,5,6,83.3,1,1,100.0,2,2,1,Franz Wagner
Montrezl Harrell,4,3:37,19.9,11,30,0,2,0,5,6,83.3,0,0,0.0,1,1,1,Franz Wagner
