Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Darius Garland,3,7:39,34.9,18,46,4,2,0,6,9,66.7,2,3,66.7,4,5,4,George Hill
Zach LaVine,2,5:40,33.2,6,32,1,0,0,2,4,50.0,2,3,66.7,0,0,0,George Hill
Tyrese Maxey,2,6:36,31.2,8,19,0,1,0,2,6,33.3,0,2,0.0,4,5,2,George Hill
Shai Gilgeous-Alexander,2,5:31,31.1,14,33,2,3,0,5,10,50.0,1,1,100.0,3,4,2,George Hill
Trae Young,2,5:47,29.1,7,30,4,1,0,2,9,22.2,1,3,33.3,2,2,1,George Hill
Kyrie Irving,1,4:50,27.3,2,16,0,0,0,0,4,0.0,0,3,0.0,2,2,1,George Hill
Terry Rozier,2,4:35,24.9,6,34,1,1,0,2,4,50.0,0,1,0.0,2,2,1,George Hill
Jalen Brunson,2,5:26,24.7,2,24,0,0,0,1,6,16.7,0,1,0.0,0,0,0,George Hill
Cedi Osman,3,4:30,24.3,2,25,1,1,0,1,2,50.0,0,0,0.0,0,0,0,George Hill
Killian Hayes,2,4:16,22.7,0,31,1,2,0,0,0,0.0,0,0,0.0,0,0,0,George Hill
Tre Mann,2,5:23,22.6,3,15,0,3,0,1,4,25.0,1,3,33.3,0,0,0,George Hill
Dejounte Murray,3,3:09,20.7,7,19,0,0,0,3,4,75.0,1,1,100.0,0,0,0,George Hill
Donovan Mitchell,2,3:55,18.7,2,9,0,0,0,1,6,16.7,0,3,0.0,0,0,0,George Hill
Jordan McLaughlin,1,3:04,18.6,0,22,3,0,0,0,0,0.0,0,0,0.0,0,0,0,George Hill
Aaron Holiday,3,2:57,18.6,0,24,1,0,0,0,1,0.0,0,1,0.0,0,0,0,George Hill
Spencer Dinwiddie,2,4:14,17.9,6,10,1,1,0,2,5,40.0,0,1,0.0,2,2,1,George Hill
Shaedon Sharpe,1,3:27,17.8,0,17,1,1,1,0,3,0.0,0,2,0.0,0,0,0,George Hill
Justin Holiday,2,3:51,17.6,6,23,0,0,0,2,3,66.7,2,3,66.7,0,0,0,George Hill
Kevin Porter Jr.,2,3:04,16.6,3,22,0,0,0,1,3,33.3,0,0,0.0,1,2,1,George Hill
Terrence Ross,1,2:48,16.1,0,20,1,1,0,0,1,0.0,0,0,0.0,0,0,0,George Hill
Josh Richardson,1,3:20,16.0,6,20,0,0,0,2,4,50.0,1,3,33.3,1,1,1,George Hill
Nickeil Alexander-Walker,1,2:44,15.3,3,13,2,1,0,1,3,33.3,1,3,33.3,0,0,0,George Hill
Josh Green,2,3:09,15.1,0,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,George Hill
Daishen Nix,2,3:13,15.1,3,11,1,0,0,1,1,100.0,1,1,100.0,0,0,0,George Hill
Kelly Oubre Jr.,1,2:25,14.7,2,6,0,0,0,1,3,33.3,0,2,0.0,0,0,0,George Hill
Bennedict Mathurin,1,2:25,14.5,2,15,0,0,0,0,0,0.0,0,0,0.0,2,2,1,George Hill
Patty Mills,1,2:26,14.3,0,11,1,0,0,0,1,0.0,0,1,0.0,0,0,0,George Hill
Jalen Green,1,2:58,14.1,0,14,1,1,0,0,0,0.0,0,0,0.0,0,0,0,George Hill
Doug McDermott,1,2:50,13.7,5,13,0,1,0,2,3,66.7,1,1,100.0,0,0,0,George Hill
DeMar DeRozan,2,1:55,13.5,4,12,1,0,0,2,6,33.3,0,0,0.0,0,0,0,George Hill
Jordan Poole,1,3:03,13.2,0,13,2,0,0,0,1,0.0,0,1,0.0,0,0,0,George Hill
Immanuel Quickley,2,2:01,13.1,2,5,0,0,0,1,5,20.0,0,2,0.0,0,0,0,George Hill
Jaden Ivey,2,2:26,12.7,2,9,1,0,0,1,2,50.0,0,1,0.0,0,0,0,George Hill
Jaylen Nowell,1,2:04,12.3,5,21,2,0,0,2,5,40.0,1,2,50.0,0,0,0,George Hill
Coby White,2,2:20,11.8,0,22,1,0,0,0,1,0.0,0,0,0.0,0,0,0,George Hill
Josh Giddey,2,2:35,11.7,0,8,1,0,0,0,1,0.0,0,0,0.0,0,0,0,George Hill
Gary Trent Jr.,1,2:45,11.1,5,15,1,0,0,2,3,66.7,1,1,100.0,0,0,0,George Hill
Donte DiVincenzo,1,1:58,11.0,0,10,0,0,0,0,2,0.0,0,1,0.0,0,0,0,George Hill
Goran Dragic,1,2:10,10.9,5,5,0,0,0,2,3,66.7,1,1,100.0,0,0,0,George Hill
Buddy Hield,1,1:53,10.7,0,16,1,0,0,0,0,0.0,0,0,0.0,0,0,0,George Hill
Luguentz Dort,2,1:30,10.6,0,14,2,0,0,0,4,0.0,0,1,0.0,0,0,0,George Hill
De'Andre Hunter,3,1:44,10.4,2,9,0,0,0,1,2,50.0,0,0,0.0,0,0,0,George Hill
Ja Morant,1,1:32,10.1,2,12,1,0,0,1,4,25.0,0,0,0.0,0,0,0,George Hill
Tyus Jones,1,1:42,9.7,5,10,0,0,0,2,4,50.0,1,1,100.0,0,0,0,George Hill
T.J. McConnell,1,1:57,9.7,0,9,1,0,0,0,0,0.0,0,0,0.0,0,0,0,George Hill
Theo Maledon,1,1:44,9.7,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,George Hill
Derrick Rose,2,1:20,9.1,5,13,1,0,0,2,2,100.0,1,1,100.0,0,0,0,George Hill
Luka Doncic,2,1:48,8.6,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,George Hill
Cole Anthony,1,1:48,8.5,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,George Hill
Shake Milton,1,1:36,8.4,2,9,1,0,0,1,1,100.0,0,0,0.0,0,0,0,George Hill
