Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nicolas Batum,2,9:05,42.1,13,43,0,1,0,4,5,80.0,3,4,75.0,2,2,1,Georges Niang
Bol Bol,4,8:22,40.8,0,29,1,1,0,0,4,0.0,0,2,0.0,0,0,0,Georges Niang
Rui Hachimura,3,8:01,36.5,4,33,2,0,1,2,9,22.2,0,2,0.0,0,0,0,Georges Niang
Paolo Banchero,4,5:03,29.6,8,26,0,0,0,3,8,37.5,0,1,0.0,2,4,1,Georges Niang
Kevin Knox II,3,5:41,29.5,3,26,0,1,0,1,3,33.3,1,2,50.0,0,0,0,Georges Niang
Chris Boucher,3,7:07,29.2,6,27,0,0,0,2,5,40.0,0,2,0.0,2,2,1,Georges Niang
Saddiq Bey,3,4:50,28.9,2,32,0,1,0,1,6,16.7,0,4,0.0,0,0,0,Georges Niang
Justin Holiday,3,5:37,28.0,6,39,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Georges Niang
Obi Toppin,2,5:54,28.0,3,23,0,1,0,1,3,33.3,0,2,0.0,1,2,1,Georges Niang
Grant Williams,2,6:01,27.5,5,28,2,0,0,2,2,100.0,1,1,100.0,0,0,0,Georges Niang
Trey Lyles,2,5:31,26.0,2,22,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Georges Niang
Harrison Barnes,2,5:08,25.9,5,15,0,0,0,2,7,28.6,1,4,25.0,0,0,0,Georges Niang
Jaxson Hayes,2,4:38,25.9,6,35,0,0,0,2,2,100.0,1,1,100.0,1,2,1,Georges Niang
Caleb Houstan,2,5:12,24.0,8,27,0,0,0,3,4,75.0,2,3,66.7,0,0,0,Georges Niang
Kyle Kuzma,3,5:33,23.5,5,25,1,2,0,2,5,40.0,1,3,33.3,0,0,0,Georges Niang
Royce O'Neale,2,3:52,23.0,2,19,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Georges Niang
