Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Sam Hauser,4,8:29,41.1,0,41,0,0,1,0,2,0.0,0,1,0.0,0,0,0,Goran Dragic
Miles McBride,3,7:46,33.0,2,48,2,0,0,1,3,33.3,0,2,0.0,0,0,0,Goran Dragic
Delon Wright,2,7:38,30.2,4,30,3,1,0,2,6,33.3,0,1,0.0,0,0,0,Goran Dragic
Blake Wesley,2,5:29,28.8,10,35,1,0,0,4,5,80.0,2,2,100.0,0,0,0,Goran Dragic
Dennis Smith Jr.,2,5:51,25.9,8,28,1,0,1,4,7,57.1,0,0,0.0,0,0,0,Goran Dragic
Anthony Lamb,2,4:33,25.8,3,29,0,1,0,0,0,0.0,0,0,0.0,3,5,1,Goran Dragic
Trey Murphy III,2,5:02,25.7,0,22,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Goran Dragic
Joe Harris,3,5:07,25.6,2,27,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Goran Dragic
Otto Porter Jr.,2,5:14,24.2,0,17,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Austin Rivers,1,5:22,23.5,3,30,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Goran Dragic
Cory Joseph,1,4:36,23.2,4,33,1,0,0,0,0,0.0,0,0,0.0,4,4,2,Goran Dragic
Immanuel Quickley,3,4:54,22.0,4,21,1,0,0,2,6,33.3,0,3,0.0,0,0,0,Goran Dragic
George Hill,1,4:16,21.1,2,15,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Goran Dragic
Gary Harris,2,4:22,21.0,5,27,1,0,0,2,4,50.0,1,1,100.0,0,0,0,Goran Dragic
Kenrich Williams,2,4:21,20.4,0,17,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Goran Dragic
Malcolm Brogdon,3,2:34,20.4,6,11,1,4,0,3,4,75.0,0,1,0.0,0,0,0,Goran Dragic
Monte Morris,2,4:36,19.8,4,21,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Goran Dragic
Aaron Holiday,1,3:55,19.3,3,19,0,1,0,1,1,100.0,0,0,0.0,1,1,1,Goran Dragic
Raul Neto,2,3:51,19.2,0,19,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Derrick White,4,4:25,19.1,4,16,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Goran Dragic
Anthony Gill,3,3:59,18.9,0,16,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Goran Dragic
Jalen Suggs,2,4:13,18.8,0,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Donte DiVincenzo,2,3:26,18.4,3,18,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Goran Dragic
Isaiah Livers,1,3:52,18.2,0,18,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Goran Dragic
Tre Jones,1,3:31,17.9,4,19,0,3,0,1,2,50.0,0,0,0.0,2,2,1,Goran Dragic
Bruce Brown,1,3:03,17.4,2,14,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Goran Dragic
Gary Payton II,1,3:38,17.2,0,19,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Mike Conley,1,3:30,17.0,0,18,4,1,0,0,3,0.0,0,0,0.0,0,0,0,Goran Dragic
Christian Braun,1,4:19,16.8,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Gabe Vincent,1,3:27,16.6,0,25,1,0,0,0,3,0.0,0,1,0.0,0,0,0,Goran Dragic
Marcus Smart,3,3:31,16.3,0,12,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Goran Dragic
Fred VanVleet,2,3:00,16.1,6,11,0,1,0,2,4,50.0,2,4,50.0,0,0,0,Goran Dragic
CJ McCollum,2,3:00,15.9,0,29,3,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
David Duke Jr.,1,3:57,14.7,0,20,0,1,0,0,3,0.0,0,1,0.0,0,0,0,Goran Dragic
Victor Oladipo,1,3:01,13.2,2,10,1,0,0,0,1,0.0,0,1,0.0,2,2,0,Goran Dragic
Dyson Daniels,1,2:59,13.0,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Tari Eason,1,2:01,12.8,2,10,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Goran Dragic
Nickeil Alexander-Walker,1,3:04,12.7,0,10,0,0,1,0,2,0.0,0,0,0.0,0,0,0,Goran Dragic
Malik Beasley,2,2:15,12.7,0,16,2,0,0,0,3,0.0,0,2,0.0,0,0,0,Goran Dragic
Damion Lee,1,2:57,12.6,2,7,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Goran Dragic
Matisse Thybulle,2,2:42,12.6,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Frank Ntilikina,1,2:09,12.1,0,13,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Goran Dragic
Georges Niang,2,2:21,12.0,3,12,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Goran Dragic
Quentin Grimes,2,2:27,11.8,2,18,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Goran Dragic
Jose Alvarado,2,2:28,11.4,2,11,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Goran Dragic
Patty Mills,2,2:52,11.3,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Chris Duarte,1,2:13,11.2,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
Shake Milton,2,2:13,10.9,3,13,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Goran Dragic
Edmond Sumner,2,1:54,10.8,0,10,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Goran Dragic
Theo Maledon,1,2:02,10.5,0,6,1,3,0,0,0,0.0,0,0,0.0,0,0,0,Goran Dragic
