Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jusuf Nurkic,2,4:18,17.8,4,13,2,1,0,2,4,50.0,0,1,0.0,0,0,0,Gorgui Dieng
Anthony Davis,1,3:43,17.4,12,21,1,0,0,5,7,71.4,0,0,0.0,2,2,1,Gorgui Dieng
Domantas Sabonis,2,2:52,14.3,2,14,1,0,1,0,2,0.0,0,0,0.0,2,2,1,Gorgui Dieng
Day'Ron Sharpe,1,3:41,13.3,2,17,2,0,1,1,2,50.0,0,0,0.0,0,0,0,Gorgui Dieng
James Wiseman,1,3:00,12.9,0,11,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Wenyen Gabriel,2,2:32,12.7,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Joel Embiid,1,2:19,11.7,7,12,1,0,0,2,3,66.7,0,0,0.0,3,4,2,Gorgui Dieng
Drew Eubanks,1,2:05,11.5,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Nikola Jokic,1,1:54,11.2,9,17,2,0,0,4,5,80.0,1,1,100.0,0,0,0,Gorgui Dieng
Mark Williams,1,1:40,9.5,2,7,0,2,0,0,0,0.0,0,0,0.0,2,2,0,Gorgui Dieng
Jabari Walker,2,2:05,9.1,3,10,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Gorgui Dieng
Deandre Ayton,1,1:59,8.6,7,22,0,0,0,3,3,100.0,1,1,100.0,0,0,0,Gorgui Dieng
Bismack Biyombo,1,1:21,6.9,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Thaddeus Young,1,0:54,6.9,2,10,2,0,1,1,3,33.3,0,0,0.0,0,0,0,Gorgui Dieng
Montrezl Harrell,1,1:25,6.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Willy Hernangomez,1,1:02,5.9,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Jason Preston,1,0:55,5.8,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Gorgui Dieng
Damian Lillard,1,1:03,5.7,4,9,1,1,0,2,3,66.7,0,1,0.0,0,0,0,Gorgui Dieng
Josh Okogie,1,0:60,5.2,4,11,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Khem Birch,1,1:06,5.1,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Moussa Diabate,1,1:01,4.8,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Gorgui Dieng
DeAndre Jordan,1,0:48,4.6,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Thomas Bryant,1,0:47,4.4,4,7,0,0,0,1,1,100.0,0,0,0.0,2,4,2,Gorgui Dieng
Trendon Watford,2,0:49,3.9,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Troy Brown Jr.,1,0:31,3.9,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Nick Richards,1,0:49,3.8,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Christian Koloko,1,0:57,3.7,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
De'Aaron Fox,2,0:28,3.7,2,10,2,0,0,1,3,33.3,0,0,0.0,0,0,0,Gorgui Dieng
Malachi Flynn,1,0:25,3.7,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Juancho Hernangomez,1,0:39,3.6,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Pascal Siakam,1,0:26,3.5,5,7,2,0,0,2,3,66.7,0,1,0.0,1,1,1,Gorgui Dieng
Shaedon Sharpe,2,0:29,3.4,5,9,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Gorgui Dieng
Naz Reid,1,0:37,3.3,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Gorgui Dieng
Alex Len,1,0:23,3.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Austin Reaves,1,0:35,3.0,4,4,1,0,0,1,2,50.0,0,0,0.0,2,2,1,Gorgui Dieng
Rudy Gobert,1,0:22,2.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Lonnie Walker IV,1,0:23,2.8,4,6,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Dalano Banton,1,0:15,2.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
O.G. Anunoby,1,0:13,2.5,4,4,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Gorgui Dieng
Tobias Harris,1,0:20,2.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Karl-Anthony Towns,2,0:15,2.3,0,2,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Gorgui Dieng
Jeff Dowtin Jr.,1,0:14,2.3,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Jaxson Hayes,1,0:21,2.2,1,1,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Gorgui Dieng
Cam Thomas,1,0:23,2.1,2,6,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Gorgui Dieng
Chris Boucher,1,0:09,2.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Edmond Sumner,1,0:18,2.1,0,2,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Robert Covington,1,0:27,2.0,3,8,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Gorgui Dieng
Jonas Valanciunas,1,0:23,1.9,3,3,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Gorgui Dieng
Russell Westbrook,2,0:07,1.8,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
Aaron Gordon,1,0:11,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gorgui Dieng
