Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Simone Fontecchio,1,3:30,15.0,0,9,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Greg Brown Iii
Frank Ntilikina,3,1:49,11.4,0,22,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Kenyon Martin Jr.,2,1:06,8.1,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Theo Pinson,3,1:38,8.1,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Greg Brown Iii
Hamidou Diallo,1,0:59,7.1,3,4,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Greg Brown Iii
Josh Okogie,1,1:35,7.0,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Greg Brown Iii
Jordan Clarkson,1,0:53,6.1,2,8,0,0,0,0,0,0.0,0,0,0.0,2,2,0,Greg Brown Iii
Davon Reed,2,1:04,6.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Nikola Jovic,1,0:47,5.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Thanasis Antetokounmpo,1,0:52,4.9,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Russell Westbrook,1,0:48,4.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Dario Saric,1,0:48,4.3,0,1,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Malik Beasley,1,0:50,4.1,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Greg Brown Iii
Dorian Finney-Smith,1,1:12,4.1,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Kendrick Nunn,1,0:41,3.7,0,13,1,0,1,0,1,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Kemba Walker,1,0:38,3.6,0,0,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Greg Brown Iii
JaVale McGee,1,0:50,3.5,0,4,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Greg Brown Iii
A.J. Lawson,2,0:21,3.5,6,11,0,0,0,2,2,100.0,1,1,100.0,1,1,1,Greg Brown Iii
Isaiah Roby,1,0:36,3.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Greg Brown Iii
Kevin Knox II,1,0:13,3.2,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Jaden Hardy,2,0:42,2.7,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Stanley Johnson,1,0:28,2.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Gorgui Dieng,1,0:27,2.5,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Sandro Mamukelashvili,1,0:29,2.4,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Damion Lee,1,0:23,2.4,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Kelly Olynyk,1,0:23,2.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Kendall Brown,1,0:40,2.4,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Bismack Biyombo,1,0:24,2.4,1,1,0,0,0,0,0,0.0,0,0,0.0,1,1,0,Greg Brown Iii
Max Christie,1,0:27,2.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Saddiq Bey,1,0:16,2.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Dru Smith,1,0:35,2.2,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Greg Brown Iii
Christian Braun,1,0:33,2.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Peyton Watson,1,0:18,2.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Walker Kessler,1,0:24,2.1,2,3,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Greg Brown Iii
Gabe Vincent,1,0:21,2.1,0,3,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Jack White,1,0:22,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Collin Sexton,1,0:17,1.9,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Udonis Haslem,1,0:35,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
McKinley Wright IV,2,0:16,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Damian Jones,1,0:33,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Lauri Markkanen,1,0:25,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Caleb Martin,1,0:18,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Reggie Bullock,1,0:30,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Zeke Nnaji,2,0:22,1.7,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Jarred Vanderbilt,1,0:15,1.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Malaki Branham,1,0:12,1.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Tari Eason,1,0:20,1.5,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Greg Brown Iii
Landry Shamet,1,0:11,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
LeBron James,1,0:17,1.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
Spencer Dinwiddie,1,0:17,1.1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Greg Brown Iii
