Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jayson Tatum,4,10:34,52.7,6,45,3,4,1,2,14,14.3,0,5,0.0,2,2,0,Haywood Highsmith
DeMar DeRozan,2,8:49,40.8,12,49,2,1,0,5,8,62.5,0,0,0.0,2,2,1,Haywood Highsmith
Kyle Kuzma,3,7:25,39.0,12,47,2,4,0,5,7,71.4,2,3,66.7,0,0,0,Haywood Highsmith
Bradley Beal,2,6:59,35.9,2,30,4,3,1,1,6,16.7,0,2,0.0,0,0,0,Haywood Highsmith
Shai Gilgeous-Alexander,2,6:03,35.0,1,28,2,5,0,0,6,0.0,0,0,0.0,1,2,1,Haywood Highsmith
Jrue Holiday,3,5:25,32.1,8,31,4,2,0,3,4,75.0,1,1,100.0,1,2,1,Haywood Highsmith
Corey Kispert,3,6:31,30.2,0,27,1,0,0,0,4,0.0,0,3,0.0,0,0,0,Haywood Highsmith
Kristaps Porzingis,3,5:26,26.8,5,17,2,2,0,2,10,20.0,1,3,33.3,0,0,0,Haywood Highsmith
Bobby Portis,2,5:11,24.2,7,25,0,0,0,2,6,33.3,1,1,100.0,2,2,1,Haywood Highsmith
Bennedict Mathurin,3,5:13,23.4,0,15,2,1,2,0,3,0.0,0,0,0.0,0,0,0,Haywood Highsmith
Deni Avdija,3,4:24,22.8,4,15,0,1,0,2,4,50.0,0,1,0.0,0,0,0,Haywood Highsmith
Malcolm Brogdon,3,3:48,22.2,8,17,0,1,1,3,7,42.9,2,4,50.0,0,0,0,Haywood Highsmith
Cedi Osman,1,4:22,21.0,5,23,0,1,0,2,6,33.3,1,4,25.0,0,0,0,Haywood Highsmith
Giannis Antetokounmpo,1,3:33,19.4,10,24,2,0,0,4,6,66.7,0,1,0.0,2,5,3,Haywood Highsmith
Dejounte Murray,2,4:01,18.9,9,22,2,1,0,3,4,75.0,3,3,100.0,0,0,0,Haywood Highsmith
Jaylen Brown,3,3:50,18.3,6,31,3,1,0,3,5,60.0,0,0,0.0,0,0,0,Haywood Highsmith
Derrick White,4,3:34,17.4,7,21,2,2,0,2,5,40.0,0,1,0.0,3,3,2,Haywood Highsmith
Jalen Green,1,3:21,17.3,0,12,1,1,0,0,4,0.0,0,2,0.0,0,0,0,Haywood Highsmith
Will Barton,3,3:17,17.0,0,22,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Haywood Highsmith
Jamal Murray,1,2:46,16.7,2,14,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Haywood Highsmith
Lauri Markkanen,1,3:04,16.1,5,13,0,0,0,0,2,0.0,0,2,0.0,5,5,2,Haywood Highsmith
Pat Connaughton,3,2:39,15.3,4,11,0,0,0,1,5,20.0,1,5,20.0,1,3,1,Haywood Highsmith
Duane Washington Jr.,1,3:01,15.2,5,15,1,1,0,2,4,50.0,1,1,100.0,0,0,0,Haywood Highsmith
Jaylen Nowell,2,2:11,14.9,0,19,3,0,0,0,1,0.0,0,0,0.0,0,0,0,Haywood Highsmith
Jordan Goodwin,2,2:57,14.8,7,30,0,1,0,3,3,100.0,1,1,100.0,0,0,0,Haywood Highsmith
Naz Reid,2,2:13,14.4,2,11,1,0,0,1,4,25.0,0,2,0.0,0,0,0,Haywood Highsmith
Jevon Carter,3,3:05,14.0,5,19,2,0,0,2,3,66.7,1,2,50.0,0,0,0,Haywood Highsmith
Oshae Brissett,2,1:54,13.5,0,17,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Haywood Highsmith
Tyrese Haliburton,3,2:52,13.5,3,11,3,1,0,1,3,33.3,1,3,33.3,0,0,0,Haywood Highsmith
D'Angelo Russell,2,2:09,13.2,3,11,1,3,0,1,2,50.0,1,2,50.0,0,0,0,Haywood Highsmith
Cory Joseph,1,2:54,13.0,5,18,1,0,0,2,3,66.7,1,2,50.0,0,0,0,Haywood Highsmith
Brook Lopez,3,2:43,12.6,0,17,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Haywood Highsmith
Sam Hauser,4,2:14,12.3,0,11,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Haywood Highsmith
