Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jrue Holiday,3,13:50,69.9,4,71,10,4,0,2,10,20.0,0,1,0.0,0,0,0,Isaac Okoro
Jalen Brunson,3,12:19,53.5,7,52,2,1,1,2,11,18.2,1,3,33.3,2,2,0,Isaac Okoro
Jordan Poole,2,8:33,44.3,18,53,1,3,0,5,9,55.6,2,3,66.7,6,6,3,Isaac Okoro
DeMar DeRozan,3,9:02,44.2,22,45,1,0,1,8,15,53.3,0,0,0.0,6,7,3,Isaac Okoro
Shai Gilgeous-Alexander,2,7:53,41.1,11,43,2,1,2,4,10,40.0,0,0,0.0,3,3,2,Isaac Okoro
Zach LaVine,3,8:20,40.2,10,45,2,1,0,4,8,50.0,1,3,33.3,1,1,1,Isaac Okoro
Ja Morant,2,6:54,39.1,6,40,8,1,0,2,10,20.0,0,2,0.0,2,4,2,Isaac Okoro
Desmond Bane,2,6:45,38.8,13,39,1,1,1,4,6,66.7,3,3,100.0,2,2,1,Isaac Okoro
Jordan Nwora,3,7:56,38.5,0,26,1,1,0,0,4,0.0,0,1,0.0,0,0,0,Isaac Okoro
Bojan Bogdanovic,2,8:05,38.2,6,36,0,2,0,3,5,60.0,0,1,0.0,0,0,0,Isaac Okoro
Pascal Siakam,3,6:60,33.7,13,40,2,0,0,5,7,71.4,1,2,50.0,2,3,2,Isaac Okoro
CJ McCollum,1,7:04,33.7,6,36,1,0,0,3,6,50.0,0,1,0.0,0,0,0,Isaac Okoro
Bennedict Mathurin,3,6:12,32.7,2,41,1,2,0,1,3,33.3,0,1,0.0,0,0,0,Isaac Okoro
Lauri Markkanen,2,7:20,31.5,7,40,1,0,0,2,4,50.0,0,0,0.0,3,4,0,Isaac Okoro
Immanuel Quickley,3,5:46,31.0,0,24,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Isaac Okoro
D'Angelo Russell,2,5:59,30.1,7,34,2,1,0,2,3,66.7,1,2,50.0,2,2,1,Isaac Okoro
Anthony Edwards,2,5:21,28.8,0,22,1,2,0,0,2,0.0,0,0,0.0,0,0,0,Isaac Okoro
Tyrese Haliburton,3,5:13,28.7,8,27,5,1,0,3,5,60.0,2,3,66.7,0,0,0,Isaac Okoro
Jordan Clarkson,2,5:15,28.5,8,30,0,2,0,2,3,66.7,2,2,100.0,2,2,1,Isaac Okoro
Bradley Beal,1,5:55,28.3,9,33,1,1,0,4,5,80.0,0,0,0.0,1,2,1,Isaac Okoro
Jalen Green,1,5:44,27.4,6,28,1,0,0,2,2,100.0,2,2,100.0,0,0,0,Isaac Okoro
O.G. Anunoby,3,6:35,27.3,3,43,2,1,2,1,4,25.0,1,1,100.0,0,0,0,Isaac Okoro
Tim Hardaway Jr.,2,5:45,26.7,5,34,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Isaac Okoro
Anfernee Simons,2,4:56,25.2,12,26,2,1,1,3,6,50.0,3,4,75.0,3,3,1,Isaac Okoro
Damian Lillard,1,4:46,25.0,9,25,0,0,0,2,7,28.6,2,4,50.0,3,3,1,Isaac Okoro
Tyler Herro,1,6:00,23.7,5,17,0,2,1,2,4,50.0,1,1,100.0,0,0,0,Isaac Okoro
Buddy Hield,3,4:21,23.3,3,27,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Isaac Okoro
Paolo Banchero,2,5:17,22.4,4,24,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Isaac Okoro
Deni Avdija,2,4:24,21.7,0,24,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Isaac Okoro
Alec Burks,2,4:33,21.3,8,22,0,0,0,3,3,100.0,0,0,0.0,2,3,2,Isaac Okoro
Norman Powell,2,4:18,21.0,2,13,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Isaac Okoro
Bobby Portis,4,4:02,20.3,8,30,0,0,1,2,3,66.7,2,2,100.0,2,2,0,Isaac Okoro
Jerami Grant,2,4:32,20.2,9,21,0,1,0,3,5,60.0,2,2,100.0,1,2,1,Isaac Okoro
Saddiq Bey,3,4:21,18.8,2,12,1,1,1,0,2,0.0,0,0,0.0,2,2,1,Isaac Okoro
Dillon Brooks,2,3:16,17.7,2,20,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Isaac Okoro
Coby White,2,3:03,17.6,2,15,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Isaac Okoro
Shake Milton,1,3:42,17.2,4,18,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Isaac Okoro
Max Strus,2,3:20,17.0,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Isaac Okoro
Trae Young,1,3:21,16.7,3,14,3,0,0,0,4,0.0,0,2,0.0,3,4,1,Isaac Okoro
Malik Monk,2,3:14,16.4,3,21,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Isaac Okoro
Torrey Craig,2,3:29,16.3,3,17,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Isaac Okoro
Duncan Robinson,1,3:33,16.2,2,14,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Isaac Okoro
Mikal Bridges,2,3:26,15.7,7,14,1,1,0,3,4,75.0,1,1,100.0,0,0,0,Isaac Okoro
Jaden Ivey,2,2:31,15.5,5,11,0,1,0,2,3,66.7,1,2,50.0,0,0,0,Isaac Okoro
Scottie Barnes,3,3:48,15.4,5,14,1,0,0,2,4,50.0,0,1,0.0,1,1,1,Isaac Okoro
Juancho Hernangomez,3,2:23,14.1,6,24,0,0,0,2,3,66.7,2,2,100.0,0,0,0,Isaac Okoro
Chris Paul,1,3:01,13.5,4,9,1,1,0,1,3,33.3,0,0,0.0,2,2,0,Isaac Okoro
Grayson Allen,3,2:34,13.4,3,11,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Isaac Okoro
Jamal Murray,1,2:28,13.3,3,16,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Isaac Okoro
Isaiah Livers,3,2:54,13.1,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Isaac Okoro
