Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jordan McLaughlin,2,4:59,31.6,0,28,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Ish Smith
Daishen Nix,2,6:27,29.8,5,14,2,1,0,2,5,40.0,1,4,25.0,0,0,0,Ish Smith
Aaron Holiday,2,3:27,20.1,3,18,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Ish Smith
Wendell Moore Jr.,2,3:08,18.2,0,26,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Ish Smith
Jalen Green,2,3:14,14.6,3,12,0,2,1,1,3,33.3,1,3,33.3,0,0,0,Ish Smith
Jose Alvarado,1,3:12,14.1,9,21,0,0,1,2,4,50.0,2,3,66.7,3,3,1,Ish Smith
Cole Anthony,1,2:45,13.0,7,18,4,1,0,3,3,100.0,0,0,0.0,1,1,1,Ish Smith
D'Angelo Russell,2,2:30,12.2,0,6,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Ish Smith
Taurean Prince,2,2:15,10.1,2,13,0,0,0,0,1,0.0,0,1,0.0,2,2,1,Ish Smith
Malik Monk,2,1:58,9.7,2,2,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Ish Smith
John Wall,1,2:04,9.3,4,7,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Ish Smith
Matt Ryan,3,1:26,9.1,0,8,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Ish Smith
Davion Mitchell,2,2:05,8.9,3,9,3,0,0,1,1,100.0,1,1,100.0,0,0,0,Ish Smith
Jaylen Nowell,2,1:21,7.7,2,13,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Ish Smith
Pat Connaughton,1,1:33,7.7,3,8,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Ish Smith
Josh Christopher,2,1:11,7.6,4,17,2,1,1,2,3,66.7,0,0,0.0,0,0,0,Ish Smith
Jason Preston,1,1:29,7.6,0,7,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Ish Smith
Kevin Porter Jr.,2,1:51,7.5,0,4,1,0,1,0,3,0.0,0,1,0.0,0,0,0,Ish Smith
Garrison Mathews,2,1:48,7.4,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ish Smith
Leandro Bolmaro,2,1:04,7.4,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ish Smith
Jrue Holiday,1,1:05,7.0,0,0,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Ish Smith
Kendrick Nunn,2,1:17,6.9,2,7,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Ish Smith
Usman Garuba,2,1:23,6.8,2,15,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ish Smith
De'Aaron Fox,1,1:13,6.7,5,10,1,0,0,2,2,100.0,1,1,100.0,0,0,0,Ish Smith
Devonte' Graham,1,1:07,6.5,0,0,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Ish Smith
Caleb Houstan,1,1:16,6.5,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ish Smith
Wesley Matthews,1,0:56,6.4,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ish Smith
Tari Eason,2,1:09,6.4,0,0,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Ish Smith
Reggie Jackson,1,0:49,6.2,0,8,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Ish Smith
Joe Ingles,1,0:43,5.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ish Smith
