Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Harrison Barnes,4,16:18,83.6,9,90,1,1,0,4,11,36.4,1,3,33.3,0,0,0,Jabari Smith Jr
John Collins,2,13:50,77.2,26,93,1,1,0,10,13,76.9,2,3,66.7,4,5,3,Jabari Smith Jr
Keegan Murray,4,12:38,66.7,28,91,2,0,1,10,14,71.4,8,9,88.9,0,0,0,Jabari Smith Jr
Marcus Morris Sr.,3,13:38,66.0,20,76,2,0,0,8,15,53.3,4,8,50.0,0,0,0,Jabari Smith Jr
Giannis Antetokounmpo,2,11:35,60.4,21,52,3,3,1,9,22,40.9,0,3,0.0,3,6,3,Jabari Smith Jr
Luka Doncic,3,10:55,53.6,31,63,5,2,0,11,22,50.0,4,9,44.4,5,6,2,Jabari Smith Jr
Jarred Vanderbilt,3,9:13,47.8,1,54,2,3,0,0,3,0.0,0,2,0.0,1,2,1,Jabari Smith Jr
P.J. Tucker,1,10:28,46.8,0,55,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Jabari Smith Jr
Jalen Williams,3,7:50,46.2,2,64,6,1,0,0,4,0.0,0,2,0.0,2,2,1,Jabari Smith Jr
Bol Bol,2,8:43,45.0,4,39,0,2,0,2,5,40.0,0,2,0.0,0,0,0,Jabari Smith Jr
Draymond Green,2,8:27,44.2,3,68,7,1,0,1,2,50.0,1,1,100.0,0,0,0,Jabari Smith Jr
Josh Giddey,3,7:32,43.8,13,53,5,1,1,6,10,60.0,1,2,50.0,0,0,0,Jabari Smith Jr
Aaron Gordon,2,8:30,43.4,9,56,1,1,1,4,6,66.7,1,2,50.0,0,0,0,Jabari Smith Jr
Lauri Markkanen,3,7:56,43.3,23,66,2,0,1,9,15,60.0,2,6,33.3,3,3,1,Jabari Smith Jr
Mikal Bridges,3,7:39,41.8,12,41,0,1,0,3,6,50.0,2,3,66.7,4,4,1,Jabari Smith Jr
Kelly Olynyk,3,7:53,40.1,5,25,1,4,0,1,4,25.0,1,2,50.0,2,2,1,Jabari Smith Jr
Pascal Siakam,1,7:42,37.1,13,36,0,1,0,6,10,60.0,1,2,50.0,0,0,0,Jabari Smith Jr
Jayson Tatum,1,6:19,34.9,9,28,1,0,0,3,12,25.0,1,8,12.5,2,2,1,Jabari Smith Jr
LeBron James,1,6:02,34.0,18,43,2,0,0,7,9,77.8,3,4,75.0,1,2,1,Jabari Smith Jr
Josh Hart,2,6:13,32.9,6,40,2,2,1,2,4,50.0,0,1,0.0,2,2,1,Jabari Smith Jr
Zion Williamson,1,5:42,31.6,17,45,1,1,0,7,7,100.0,0,0,0.0,3,4,2,Jabari Smith Jr
Nicolas Batum,4,5:26,31.0,0,30,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Jabari Smith Jr
Patrick Williams,1,5:21,31.0,0,28,2,0,1,0,3,0.0,0,2,0.0,0,0,0,Jabari Smith Jr
Spencer Dinwiddie,4,5:56,30.6,7,40,3,0,1,2,10,20.0,1,7,14.3,2,2,1,Jabari Smith Jr
Santi Aldama,1,5:35,30.0,4,44,1,0,1,1,5,20.0,0,1,0.0,2,2,1,Jabari Smith Jr
Jerami Grant,1,5:44,28.9,8,47,1,3,0,3,4,75.0,2,2,100.0,0,1,1,Jabari Smith Jr
Kyle Kuzma,1,6:36,28.2,6,26,0,1,0,2,9,22.2,1,6,16.7,1,2,0,Jabari Smith Jr
