Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Anthony Edwards,3,9:02,46.3,14,52,5,1,0,5,10,50.0,4,7,57.1,0,0,0,Jaesean Tate
Harrison Barnes,4,6:19,30.8,5,31,0,0,1,2,6,33.3,1,4,25.0,0,0,0,Jaesean Tate
Trey Lyles,4,5:13,26.6,8,35,0,0,0,3,4,75.0,2,3,66.7,0,0,0,Jaesean Tate
De'Aaron Fox,4,4:48,26.2,8,35,6,0,0,3,7,42.9,1,2,50.0,1,2,1,Jaesean Tate
Malik Monk,4,3:34,20.4,3,24,4,1,0,1,2,50.0,1,2,50.0,0,0,0,Jaesean Tate
Lauri Markkanen,2,4:04,19.5,5,16,0,0,0,2,5,40.0,0,2,0.0,1,1,0,Jaesean Tate
Shai Gilgeous-Alexander,1,2:47,17.8,7,16,1,1,0,1,6,16.7,0,0,0.0,5,5,2,Jaesean Tate
Devin Booker,1,3:58,17.3,4,18,2,0,0,2,5,40.0,0,2,0.0,0,0,0,Jaesean Tate
Rudy Gay,2,3:12,17.0,2,18,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Jaesean Tate
Davion Mitchell,4,2:26,14.3,2,6,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Jaesean Tate
Domantas Sabonis,4,2:23,12.8,8,28,2,0,0,3,3,100.0,0,0,0.0,2,2,1,Jaesean Tate
Jusuf Nurkic,1,2:32,12.5,11,17,0,1,0,5,5,100.0,1,1,100.0,0,0,0,Jaesean Tate
D'Angelo Russell,3,2:24,12.2,2,11,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Jaesean Tate
Dennis Smith Jr.,1,1:58,11.8,1,8,1,0,0,0,1,0.0,0,1,0.0,1,2,0,Jaesean Tate
Kyle Kuzma,1,2:43,11.5,2,9,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Jaesean Tate
Rudy Gobert,2,2:51,11.3,4,17,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Jaesean Tate
Bryce McGowens,1,1:42,11.3,2,6,0,1,0,0,1,0.0,0,1,0.0,2,2,0,Jaesean Tate
Kelly Olynyk,1,2:03,10.9,0,14,2,1,0,0,1,0.0,0,1,0.0,0,0,0,Jaesean Tate
Nathan Knight,2,1:49,10.8,3,19,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Jaesean Tate
Terence Davis,4,1:56,10.7,8,17,0,0,0,3,3,100.0,1,1,100.0,1,1,1,Jaesean Tate
Bradley Beal,1,2:13,10.3,2,3,0,0,0,1,4,25.0,0,3,0.0,0,0,0,Jaesean Tate
Jaylen Nowell,3,1:43,10.2,5,7,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Jaesean Tate
Jaden McDaniels,3,1:21,9.7,1,8,1,0,0,0,0,0.0,0,0,0.0,1,2,1,Jaesean Tate
Keegan Murray,4,1:42,9.3,7,11,0,0,0,3,4,75.0,0,1,0.0,1,1,1,Jaesean Tate
Taurean Prince,2,2:04,8.2,0,11,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Jaesean Tate
Jarred Vanderbilt,2,1:46,8.2,0,13,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Jaesean Tate
Chimezie Metu,4,1:08,7.8,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jaesean Tate
Kevin Huerter,2,1:24,7.8,3,12,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Jaesean Tate
Bismack Biyombo,1,1:12,7.6,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jaesean Tate
