Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ivica Zubac,4,27:27,127.8,18,165,3,2,0,8,12,66.7,0,0,0.0,2,4,2,Jakob Poeltl
Steven Adams,3,23:51,117.9,15,114,8,8,0,7,8,87.5,0,0,0.0,1,5,3,Jakob Poeltl
Domantas Sabonis,3,21:06,105.0,26,107,7,2,1,11,15,73.3,0,1,0.0,4,4,1,Jakob Poeltl
Rudy Gobert,3,21:50,101.4,12,88,1,1,0,6,11,54.5,0,0,0.0,0,0,0,Jakob Poeltl
Nikola Jokic,2,14:32,73.2,26,93,11,6,1,11,17,64.7,0,0,0.0,4,4,2,Jakob Poeltl
Nikola Vucevic,2,12:19,68.3,21,68,5,2,1,9,20,45.0,3,7,42.9,0,0,0,Jakob Poeltl
Joel Embiid,2,12:30,60.5,32,66,4,4,0,13,20,65.0,0,1,0.0,6,8,4,Jakob Poeltl
Jonas Valanciunas,2,11:38,59.6,23,62,2,2,0,10,14,71.4,3,5,60.0,0,0,0,Jakob Poeltl
Nic Claxton,2,9:26,49.1,12,51,1,2,1,6,10,60.0,0,0,0.0,0,0,0,Jakob Poeltl
Karl-Anthony Towns,3,6:39,46.9,24,62,3,1,0,10,13,76.9,2,4,50.0,2,2,1,Jakob Poeltl
Jusuf Nurkic,2,8:29,45.5,16,48,5,2,0,6,12,50.0,1,2,50.0,3,6,4,Jakob Poeltl
Mitchell Robinson,2,9:24,43.1,0,56,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Jakob Poeltl
Deandre Ayton,1,8:23,41.7,10,33,3,1,0,5,10,50.0,0,0,0.0,0,0,0,Jakob Poeltl
Brook Lopez,1,8:36,41.7,15,33,2,3,1,5,12,41.7,3,6,50.0,2,2,1,Jakob Poeltl
Anthony Davis,2,7:58,40.0,6,44,2,2,0,3,6,50.0,0,1,0.0,0,1,1,Jakob Poeltl
Jalen Duren,1,6:47,37.5,4,25,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Jakob Poeltl
Kevon Looney,2,7:52,36.9,7,44,5,0,0,3,3,100.0,0,0,0.0,1,2,1,Jakob Poeltl
Thomas Bryant,2,6:08,35.5,4,39,0,0,0,1,3,33.3,0,0,0.0,2,3,2,Jakob Poeltl
Christian Wood,1,7:14,35.5,11,45,1,1,0,5,7,71.4,1,3,33.3,0,0,0,Jakob Poeltl
Mason Plumlee,1,5:45,33.7,6,33,2,0,0,2,3,66.7,0,0,0.0,2,2,1,Jakob Poeltl
Bam Adebayo,1,5:54,32.7,14,36,0,2,0,7,12,58.3,0,0,0.0,0,0,0,Jakob Poeltl
Precious Achiuwa,2,5:55,30.8,6,26,0,0,0,2,2,100.0,1,1,100.0,1,2,1,Jakob Poeltl
Chimezie Metu,3,5:04,30.3,8,38,1,1,0,4,6,66.7,0,0,0.0,0,0,0,Jakob Poeltl
Drew Eubanks,2,6:57,30.0,3,37,1,1,0,1,1,100.0,0,0,0.0,1,1,1,Jakob Poeltl
Jericho Sims,2,6:04,28.9,0,26,1,1,0,0,2,0.0,0,0,0.0,0,0,0,Jakob Poeltl
Draymond Green,2,4:35,28.3,0,35,2,1,1,0,1,0.0,0,0,0.0,0,0,0,Jakob Poeltl
Andre Drummond,2,4:43,28.2,13,41,1,1,0,6,8,75.0,0,0,0.0,1,1,1,Jakob Poeltl
Alperen Sengun,1,5:19,27.5,12,20,3,0,0,3,4,75.0,0,0,0.0,6,6,3,Jakob Poeltl
Moritz Wagner,1,4:42,24.0,9,27,0,1,1,3,6,50.0,1,3,33.3,2,2,0,Jakob Poeltl
Walker Kessler,1,3:56,22.5,1,10,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Jakob Poeltl
Kristaps Porzingis,1,3:59,22.2,5,22,1,2,0,2,4,50.0,1,2,50.0,0,0,0,Jakob Poeltl
Christian Koloko,2,3:00,18.7,4,22,0,0,1,2,4,50.0,0,0,0.0,0,0,0,Jakob Poeltl
Mike Muscala,1,3:45,18.0,2,19,1,0,0,0,1,0.0,0,1,0.0,2,2,1,Jakob Poeltl
Ben Simmons,2,2:41,16.7,4,15,5,1,0,2,5,40.0,0,0,0.0,0,0,0,Jakob Poeltl
Goga Bitadze,1,3:47,16.0,2,12,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Jakob Poeltl
LeBron James,3,2:15,15.6,9,18,2,4,0,4,9,44.4,0,1,0.0,1,2,1,Jakob Poeltl
Terry Taylor,1,2:31,14.9,5,30,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Jakob Poeltl
De'Aaron Fox,3,2:30,14.8,14,27,3,0,0,7,10,70.0,0,1,0.0,0,0,0,Jakob Poeltl
Jarred Vanderbilt,1,2:54,14.6,2,17,1,1,1,1,2,50.0,0,0,0.0,0,0,0,Jakob Poeltl
Darius Bazley,1,1:56,13.5,2,17,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Jakob Poeltl
Isaiah Stewart,1,2:07,12.7,3,11,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Jakob Poeltl
DeAndre Jordan,2,2:38,12.6,2,9,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Jakob Poeltl
Nick Richards,1,2:25,12.5,8,16,0,0,0,4,4,100.0,0,0,0.0,0,0,0,Jakob Poeltl
Scottie Barnes,2,2:04,12.4,6,19,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Jakob Poeltl
Ja Morant,2,2:29,12.4,29,33,1,2,0,13,26,50.0,1,4,25.0,2,3,2,Jakob Poeltl
Desmond Bane,3,1:56,11.8,8,17,2,1,1,4,13,30.8,0,1,0.0,0,0,0,Jakob Poeltl
Willy Hernangomez,1,2:57,11.5,2,17,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Jakob Poeltl
James Harden,2,1:56,11.5,4,16,2,0,0,1,8,12.5,0,2,0.0,2,2,1,Jakob Poeltl
Jalen Smith,1,1:57,11.0,2,2,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Jakob Poeltl
Pascal Siakam,2,1:49,11.0,11,25,1,0,0,5,6,83.3,0,0,0.0,1,2,1,Jakob Poeltl
