Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
De'Anthony Melton,3,19:02,90.8,24,105,5,1,0,8,12,66.7,8,11,72.7,0,0,0,Jalen Brunson
Fred VanVleet,4,15:45,85.7,28,92,10,2,0,8,21,38.1,4,10,40.0,8,9,4,Jalen Brunson
Killian Hayes,4,15:34,78.1,17,85,8,3,0,7,19,36.8,3,12,25.0,0,0,0,Jalen Brunson
Alex Caruso,2,11:50,63.1,10,48,6,2,0,4,5,80.0,2,3,66.7,0,0,0,Jalen Brunson
Jevon Carter,3,11:10,62.6,3,57,3,0,0,1,6,16.7,1,6,16.7,0,0,0,Jalen Brunson
Andrew Nembhard,2,11:18,60.7,6,53,2,0,0,2,6,33.3,0,2,0.0,2,2,1,Jalen Brunson
John Konchar,2,12:27,55.1,16,56,1,0,0,6,9,66.7,3,5,60.0,1,1,1,Jalen Brunson
Gary Trent Jr.,3,13:09,53.1,19,79,1,0,1,7,14,50.0,5,9,55.6,0,0,0,Jalen Brunson
Isaac Okoro,3,10:33,50.9,9,60,5,1,0,3,6,50.0,1,3,33.3,2,3,2,Jalen Brunson
Juancho Hernangomez,3,11:36,49.9,2,61,2,0,0,1,3,33.3,0,2,0.0,0,0,0,Jalen Brunson
Ayo Dosunmu,2,8:05,47.2,8,59,4,1,0,3,8,37.5,2,3,66.7,0,0,0,Jalen Brunson
Derrick White,2,9:32,46.9,7,66,1,0,0,2,4,50.0,1,2,50.0,2,2,1,Jalen Brunson
Josh Giddey,2,7:23,45.1,9,49,5,0,0,4,9,44.4,1,3,33.3,0,0,0,Jalen Brunson
Justise Winslow,1,9:59,44.0,2,53,2,0,0,1,4,25.0,0,1,0.0,0,0,0,Jalen Brunson
Malcolm Brogdon,2,9:24,41.1,7,52,4,0,0,3,8,37.5,1,5,20.0,0,0,0,Jalen Brunson
Joe Harris,2,7:50,36.8,5,33,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Jalen Brunson
Cole Anthony,2,8:14,36.7,7,47,2,0,0,3,7,42.9,1,3,33.3,0,0,0,Jalen Brunson
Kentavious Caldwell-Pope,1,8:58,36.4,8,35,1,0,0,3,5,60.0,2,3,66.7,0,0,0,Jalen Brunson
Dennis Smith Jr.,1,8:26,36.3,8,33,4,1,0,4,10,40.0,0,1,0.0,0,0,0,Jalen Brunson
Markelle Fultz,1,7:51,34.7,13,40,5,1,0,5,5,100.0,0,0,0.0,3,3,1,Jalen Brunson
Mike Conley,1,5:48,34.4,8,42,5,0,0,2,7,28.6,1,5,20.0,3,3,1,Jalen Brunson
Monte Morris,1,7:26,34.4,11,45,4,0,0,4,7,57.1,3,5,60.0,0,0,0,Jalen Brunson
Terance Mann,1,7:28,34.3,7,44,1,0,0,3,4,75.0,1,2,50.0,0,0,0,Jalen Brunson
AJ Griffin,3,6:49,34.2,6,35,2,1,0,2,3,66.7,2,3,66.7,0,0,0,Jalen Brunson
Jordan Goodwin,1,7:01,34.0,2,27,1,0,1,1,9,11.1,0,4,0.0,0,0,0,Jalen Brunson
Klay Thompson,2,6:03,33.8,2,29,1,4,0,1,6,16.7,0,4,0.0,0,0,0,Jalen Brunson
Dejounte Murray,3,5:59,33.5,12,35,2,1,2,5,10,50.0,2,4,50.0,0,0,0,Jalen Brunson
Pat Connaughton,2,6:26,33.0,0,38,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Jalen Brunson
Cedi Osman,2,6:23,31.6,1,19,0,1,0,0,3,0.0,0,2,0.0,1,2,1,Jalen Brunson
De'Andre Hunter,2,6:03,31.6,15,38,1,0,0,6,8,75.0,1,2,50.0,2,3,2,Jalen Brunson
Jaden Ivey,3,5:21,31.0,9,39,3,1,0,3,7,42.9,0,2,0.0,3,5,3,Jalen Brunson
Cade Cunningham,1,6:08,29.9,7,28,5,2,0,3,7,42.9,1,4,25.0,0,0,0,Jalen Brunson
Deni Avdija,2,7:05,28.2,3,29,0,0,0,1,4,25.0,0,3,0.0,1,1,1,Jalen Brunson
Landry Shamet,1,5:41,28.1,0,25,0,1,0,0,3,0.0,0,3,0.0,0,0,0,Jalen Brunson
T.J. McConnell,2,5:01,27.9,6,30,4,1,0,3,5,60.0,0,1,0.0,0,0,0,Jalen Brunson
D'Angelo Russell,1,5:22,27.2,2,26,4,1,0,0,3,0.0,0,3,0.0,2,2,1,Jalen Brunson
Tre Jones,1,5:15,27.1,6,30,2,0,0,3,6,50.0,0,1,0.0,0,0,0,Jalen Brunson
Edmond Sumner,2,5:27,27.0,16,42,2,1,0,6,8,75.0,4,5,80.0,0,0,0,Jalen Brunson
Coby White,3,4:31,26.8,0,24,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jalen Brunson
Dean Wade,2,5:55,26.4,8,25,1,0,0,3,5,60.0,2,3,66.7,0,0,0,Jalen Brunson
Tim Hardaway Jr.,1,5:16,26.3,3,24,0,1,0,1,4,25.0,1,2,50.0,0,0,0,Jalen Brunson
Isaiah Livers,3,4:55,25.1,9,21,0,0,0,3,3,100.0,3,3,100.0,0,0,0,Jalen Brunson
Cameron Payne,2,4:42,24.6,7,39,3,2,1,2,6,33.3,1,3,33.3,2,2,1,Jalen Brunson
Patrick Williams,3,3:33,23.7,11,42,2,0,0,5,5,100.0,1,1,100.0,0,0,0,Jalen Brunson
O.G. Anunoby,3,3:55,23.3,2,31,2,0,0,1,3,33.3,0,0,0.0,0,0,0,Jalen Brunson
Troy Brown Jr.,1,5:20,22.6,2,18,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Jalen Brunson
Dennis Schroder,1,4:20,22.4,2,32,4,0,0,0,1,0.0,0,1,0.0,2,2,0,Jalen Brunson
Shake Milton,3,4:23,21.5,0,24,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Jalen Brunson
Scottie Barnes,4,3:13,21.0,5,28,1,1,0,2,3,66.7,0,0,0.0,1,2,1,Jalen Brunson
Delon Wright,2,3:42,20.7,0,21,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jalen Brunson
