Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kevin Durant,3,10:22,55.1,26,81,5,2,0,9,23,39.1,3,9,33.3,5,5,2,Jalen Smith
Kristaps Porzingis,3,8:37,42.6,11,42,0,2,0,4,7,57.1,0,2,0.0,3,5,3,Jalen Smith
P.J. Washington,2,6:37,35.0,0,19,3,1,1,0,4,0.0,0,2,0.0,0,0,0,Jalen Smith
Ben Simmons,2,6:30,34.7,7,38,5,1,0,3,6,50.0,0,0,0.0,1,2,1,Jalen Smith
Jabari Smith Jr.,1,6:55,34.1,3,31,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Jalen Smith
Kyle Kuzma,3,6:03,33.5,6,39,0,1,0,2,6,33.3,0,1,0.0,2,2,1,Jalen Smith
Bol Bol,2,6:47,32.7,12,41,0,0,0,5,8,62.5,1,2,50.0,1,2,1,Jalen Smith
Saddiq Bey,1,7:06,32.5,8,38,2,0,0,3,7,42.9,2,2,100.0,0,0,0,Jalen Smith
Aaron Gordon,2,5:43,31.2,2,24,2,3,0,1,1,100.0,0,0,0.0,0,0,0,Jalen Smith
Evan Mobley,3,5:43,26.5,7,31,3,1,0,3,6,50.0,0,0,0.0,1,1,1,Jalen Smith
Mitchell Robinson,2,5:26,26.3,6,40,1,0,0,3,4,75.0,0,0,0.0,0,0,0,Jalen Smith
Bam Adebayo,3,5:46,25.8,10,39,1,0,0,4,8,50.0,0,0,0.0,2,2,1,Jalen Smith
Marcus Morris Sr.,2,5:04,25.6,8,26,1,0,0,3,7,42.9,2,4,50.0,0,0,0,Jalen Smith
O.G. Anunoby,2,5:14,24.4,0,15,1,2,0,0,5,0.0,0,3,0.0,0,0,0,Jalen Smith
Ivica Zubac,2,4:46,23.3,2,24,0,0,1,1,3,33.3,0,0,0.0,0,0,0,Jalen Smith
Markieff Morris,4,5:02,22.7,7,27,1,0,0,2,2,100.0,1,1,100.0,2,2,1,Jalen Smith
Onyeka Okongwu,2,4:19,22.5,4,21,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Jalen Smith
Jonathan Kuminga,2,4:16,21.3,4,25,1,0,0,2,5,40.0,0,1,0.0,0,0,0,Jalen Smith
Rudy Gobert,1,3:46,21.2,2,21,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Jalen Smith
Patrick Williams,2,4:14,21.2,3,18,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Jalen Smith
