Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Collin Sexton,3,8:14,41.7,8,38,2,1,0,3,5,60.0,1,1,100.0,1,2,1,Jaylen Nowell
Malik Beasley,3,7:48,40.0,10,36,0,1,0,4,7,57.1,2,5,40.0,0,0,0,Jaylen Nowell
Tyus Jones,3,6:35,38.4,2,41,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Jaylen Nowell
Shaedon Sharpe,3,8:20,36.7,8,54,0,0,0,4,6,66.7,0,2,0.0,0,0,0,Jaylen Nowell
Garrison Mathews,3,6:43,33.1,7,35,0,1,0,3,5,60.0,1,2,50.0,0,0,0,Jaylen Nowell
Talen Horton-Tucker,4,5:04,28.6,4,32,3,0,0,2,5,40.0,0,0,0.0,0,0,0,Jaylen Nowell
David Roddy,3,6:09,28.5,6,32,1,1,0,3,6,50.0,0,1,0.0,0,0,0,Jaylen Nowell
Anfernee Simons,3,4:36,26.2,0,13,2,1,0,0,3,0.0,0,2,0.0,0,0,0,Jaylen Nowell
Kemba Walker,2,5:39,26.0,4,26,0,1,0,2,4,50.0,0,1,0.0,0,0,0,Jaylen Nowell
Doug McDermott,3,4:47,25.5,3,35,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Jaylen Nowell
Cedi Osman,2,5:09,25.3,3,19,1,0,0,1,3,33.3,0,1,0.0,1,3,1,Jaylen Nowell
Donte DiVincenzo,2,4:24,24.8,2,20,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Jaylen Nowell
Aaron Wiggins,2,3:36,23.8,0,24,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Jaylen Nowell
Josh Hart,3,4:20,23.5,3,45,4,0,0,1,2,50.0,1,1,100.0,0,0,0,Jaylen Nowell
Tre Mann,4,4:32,22.9,0,26,3,0,0,0,0,0.0,0,0,0.0,0,0,0,Jaylen Nowell
Shai Gilgeous-Alexander,3,4:29,22.5,8,23,1,0,1,3,6,50.0,0,0,0.0,2,2,0,Jaylen Nowell
Jalen Williams,3,4:06,22.3,6,21,1,0,0,3,3,100.0,0,0,0.0,0,2,1,Jaylen Nowell
Malik Monk,2,4:35,22.2,5,25,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Jaylen Nowell
Christian Braun,3,3:25,21.5,2,20,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Jaylen Nowell
Jordan Poole,2,4:20,21.4,8,22,3,1,0,2,4,50.0,1,2,50.0,3,3,2,Jaylen Nowell
Damion Lee,3,4:26,20.6,3,26,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Jaylen Nowell
Ochai Agbaji,3,4:05,19.8,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jaylen Nowell
Bones Hyland,2,4:05,19.4,11,23,1,0,0,4,4,100.0,1,1,100.0,2,2,0,Jaylen Nowell
Bruce Brown,4,3:58,19.2,2,27,2,1,0,1,1,100.0,0,0,0.0,0,1,1,Jaylen Nowell
Kentavious Caldwell-Pope,3,3:41,18.6,5,21,0,0,0,2,4,50.0,0,0,0.0,1,1,1,Jaylen Nowell
Caris LeVert,2,4:01,18.4,6,21,2,1,0,3,5,60.0,0,0,0.0,0,0,0,Jaylen Nowell
Grayson Allen,2,2:56,18.2,0,13,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Jaylen Nowell
Reggie Bullock,2,3:39,17.9,0,14,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jaylen Nowell
Terance Mann,2,3:27,17.9,4,20,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Jaylen Nowell
Buddy Hield,2,3:11,17.8,0,28,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Jaylen Nowell
Jamal Murray,2,2:34,17.7,2,14,3,0,0,0,3,0.0,0,1,0.0,2,2,1,Jaylen Nowell
Davon Reed,1,3:25,17.6,0,20,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Jaylen Nowell
AJ Green,1,3:29,17.5,0,19,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jaylen Nowell
Landry Shamet,2,3:29,17.3,0,13,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Jaylen Nowell
Mikal Bridges,3,3:29,17.1,2,17,2,1,0,0,0,0.0,0,0,0.0,2,2,1,Jaylen Nowell
Josh Giddey,4,3:12,17.0,4,4,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Jaylen Nowell
Klay Thompson,2,2:23,16.7,0,17,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Jaylen Nowell
T.J. McConnell,2,2:25,16.4,2,12,1,2,0,0,1,0.0,0,0,0.0,2,2,1,Jaylen Nowell
Goran Dragic,1,2:57,16.1,1,18,0,0,0,0,1,0.0,0,1,0.0,1,2,1,Jaylen Nowell
Victor Oladipo,1,3:02,16.1,3,20,2,2,0,1,2,50.0,0,1,0.0,1,1,1,Jaylen Nowell
Darius Garland,2,3:41,15.6,4,20,0,3,0,2,3,66.7,0,1,0.0,0,0,0,Jaylen Nowell
