Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Corey Kispert,2,7:14,35.1,5,41,1,0,0,2,3,66.7,1,2,50.0,0,0,0,John Wall
Victor Oladipo,2,6:52,32.6,8,39,0,0,0,4,7,57.1,0,2,0.0,0,0,0,John Wall
Malik Beasley,3,6:42,30.1,0,25,0,1,0,0,2,0.0,0,1,0.0,0,0,0,John Wall
Collin Sexton,3,6:01,29.7,6,31,1,3,0,2,4,50.0,0,0,0.0,2,2,1,John Wall
Bruce Brown,2,5:11,27.1,3,22,3,0,0,0,1,0.0,0,1,0.0,3,4,1,John Wall
Mikal Bridges,2,5:08,26.0,2,29,0,0,1,1,2,50.0,0,0,0.0,0,0,0,John Wall
Reggie Bullock,2,5:00,24.6,0,19,0,0,0,0,3,0.0,0,2,0.0,0,0,0,John Wall
Jordan Goodwin,2,3:30,21.4,5,28,3,1,0,2,2,100.0,1,1,100.0,0,0,0,John Wall
T.J. McConnell,2,3:32,21.2,6,21,0,0,0,3,5,60.0,0,0,0.0,0,0,0,John Wall
Kelly Oubre Jr.,2,3:27,19.8,5,20,0,1,1,2,5,40.0,1,3,33.3,0,0,0,John Wall
Talen Horton-Tucker,2,3:41,18.9,0,13,0,1,1,0,2,0.0,0,0,0.0,0,0,0,John Wall
Josh Richardson,2,4:15,18.4,1,13,0,1,0,0,1,0.0,0,1,0.0,1,2,1,John Wall
Jordan Clarkson,3,3:17,18.3,4,21,1,1,0,2,4,50.0,0,2,0.0,0,0,0,John Wall
Austin Reaves,2,3:14,18.3,0,15,0,1,0,0,0,0.0,0,0,0.0,0,0,0,John Wall
Theo Maledon,2,2:55,17.4,2,11,1,2,0,1,3,33.3,0,1,0.0,0,0,0,John Wall
Alec Burks,2,3:28,17.0,3,16,2,0,0,1,2,50.0,1,1,100.0,0,0,0,John Wall
Shai Gilgeous-Alexander,2,3:46,16.8,2,15,3,0,0,1,5,20.0,0,1,0.0,0,0,0,John Wall
Kyle Kuzma,2,2:32,15.9,10,25,0,1,1,4,8,50.0,2,3,66.7,0,0,0,John Wall
Deni Avdija,2,2:55,15.9,0,10,1,1,0,0,0,0.0,0,0,0.0,0,0,0,John Wall
Aaron Wiggins,2,2:37,15.6,0,14,0,0,0,0,2,0.0,0,1,0.0,0,0,0,John Wall
Jalen McDaniels,2,2:31,15.6,4,15,1,0,1,1,5,20.0,0,1,0.0,2,2,1,John Wall
Tre Jones,2,2:32,15.5,4,12,1,0,0,2,4,50.0,0,1,0.0,0,0,0,John Wall
Torrey Craig,2,3:24,14.6,4,20,0,0,0,2,3,66.7,0,0,0.0,0,0,0,John Wall
Jaden Ivey,2,2:33,14.4,6,21,1,3,0,2,3,66.7,0,0,0.0,2,2,1,John Wall
LeBron James,2,2:14,14.0,6,6,0,0,0,1,2,50.0,0,0,0.0,4,4,2,John Wall
Hamidou Diallo,2,2:17,14.0,2,13,0,0,0,1,1,100.0,0,0,0.0,0,0,0,John Wall
Tim Hardaway Jr.,2,2:34,14.0,3,12,1,0,0,1,2,50.0,1,2,50.0,0,0,0,John Wall
Kenrich Williams,2,2:38,13.8,4,15,0,0,0,2,2,100.0,0,0,0.0,0,0,0,John Wall
Taurean Prince,1,2:46,13.6,6,12,0,2,0,2,5,40.0,2,5,40.0,0,0,0,John Wall
Nickeil Alexander-Walker,3,2:21,13.5,0,13,0,1,0,0,1,0.0,0,1,0.0,0,0,0,John Wall
Aaron Nesmith,2,2:22,13.5,5,12,0,1,0,2,3,66.7,0,0,0.0,1,1,1,John Wall
Keldon Johnson,2,2:32,13.4,2,18,0,0,0,1,2,50.0,0,1,0.0,0,0,0,John Wall
Patrick Beverley,2,2:19,13.2,0,10,1,0,0,0,1,0.0,0,1,0.0,0,0,0,John Wall
Kendrick Nunn,2,2:02,13.0,0,9,1,1,0,0,4,0.0,0,2,0.0,0,0,0,John Wall
Keita Bates-Diop,2,2:21,12.9,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,John Wall
Max Strus,2,2:41,12.8,0,19,1,0,0,0,1,0.0,0,0,0.0,0,0,0,John Wall
Devin Booker,2,2:29,12.8,2,22,2,1,0,0,0,0.0,0,0,0.0,2,2,1,John Wall
Vlatko Cancar,2,2:32,12.7,1,14,0,0,0,0,2,0.0,0,0,0.0,1,2,1,John Wall
Doug McDermott,2,2:09,12.2,7,21,0,0,0,3,3,100.0,1,1,100.0,0,0,0,John Wall
Saddiq Bey,2,1:56,11.7,2,15,0,0,0,0,1,0.0,0,0,0.0,2,2,1,John Wall
Austin Rivers,1,2:18,11.6,0,11,0,0,0,0,1,0.0,0,1,0.0,0,0,0,John Wall
Davon Reed,1,2:56,11.5,4,12,0,0,0,1,1,100.0,0,0,0.0,2,2,1,John Wall
Aleksej Pokusevski,2,2:26,11.4,1,14,1,2,0,0,3,0.0,0,1,0.0,1,2,1,John Wall
Jamal Murray,2,2:06,11.1,6,17,0,1,0,2,3,66.7,0,0,0.0,2,2,0,John Wall
