Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Edmond Sumner,1,1:41,9.2,2,10,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Johnny Davis
Tyrese Haliburton,1,0:53,5.7,5,10,1,0,0,2,2,100.0,1,1,100.0,0,0,0,Johnny Davis
Buddy Hield,1,1:16,5.5,2,4,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Johnny Davis
Ochai Agbaji,1,1:20,5.0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Johnny Davis
Lamar Stevens,1,1:12,4.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Grant Williams,1,0:57,4.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Killian Hayes,1,0:39,4.5,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Johnny Davis
Kyle Lowry,1,0:54,4.0,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Johnny Davis
David Duke Jr.,1,0:56,4.0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Bryn Forbes,1,0:21,3.4,2,2,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Johnny Davis
Jalen McDaniels,1,0:45,3.3,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Johnny Davis
Aaron Nesmith,1,0:28,3.2,2,5,1,0,0,0,0,0.0,0,0,0.0,2,2,1,Johnny Davis
Raul Neto,1,0:30,3.0,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Johnny Davis
Danuel House Jr.,1,0:41,2.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Caris LeVert,1,0:31,2.8,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Derrick White,1,0:26,2.6,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Johnny Davis
Jaylen Brown,1,0:13,2.5,4,4,0,0,0,0,0,0.0,0,0,0.0,4,4,1,Johnny Davis
Nikola Jovic,1,0:25,2.4,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Johnny Davis
Malcolm Brogdon,1,0:31,2.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Shake Milton,1,0:18,2.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Gordon Hayward,1,0:31,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Wendell Moore Jr.,1,0:13,1.9,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Josh Minott,1,0:11,1.9,4,4,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Johnny Davis
Duane Washington Jr.,1,0:23,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Dennis Smith Jr.,1,0:25,1.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Josh Okogie,1,0:14,1.7,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Caleb Martin,1,0:24,1.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Sam Hauser,1,0:19,1.4,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Tyrese Maxey,1,0:20,1.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Naz Reid,1,0:14,1.3,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Johnny Davis
Dewayne Dedmon,1,0:05,1.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Haywood Highsmith,1,0:07,1.2,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Cam Thomas,1,0:21,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Cade Cunningham,1,0:05,1.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Noah Vonleh,1,0:12,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Terry Rozier,1,0:05,1.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Nathan Knight,1,0:06,1.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Gabe Vincent,1,0:11,0.9,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Paul Reed,1,0:09,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Kai Jones,1,0:11,0.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Yuta Watanabe,1,0:07,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Myles Turner,1,0:11,0.7,2,2,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Johnny Davis
Day'Ron Sharpe,1,0:03,0.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Bennedict Mathurin,1,0:05,0.6,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Bam Adebayo,1,0:07,0.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Leandro Bolmaro,1,0:09,0.4,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Johnny Davis
Matisse Thybulle,1,0:12,0.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Mamadi Diakite,1,0:05,0.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Robin Lopez,1,0:05,0.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Johnny Davis
Payton Pritchard,1,0:05,0.4,1,3,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Johnny Davis
