Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Anthony Edwards,1,2:15,11.7,5,12,1,0,0,2,2,100.0,0,0,0.0,1,2,0,Jonathan Isaac
P.J. Washington,1,2:11,10.3,3,15,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Jonathan Isaac
Bennedict Mathurin,1,1:37,8.3,3,6,2,0,0,0,1,0.0,0,0,0.0,3,3,1,Jonathan Isaac
Georges Niang,1,1:20,7.3,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Christian Braun,1,1:06,5.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Aaron Gordon,1,0:55,5.5,3,7,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Jonathan Isaac
RJ Barrett,1,1:02,5.1,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Jericho Sims,1,0:50,5.0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Jaylen Brown,1,1:02,4.9,3,3,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Jonathan Isaac
DeMar DeRozan,1,0:50,4.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Julius Randle,1,1:15,4.8,0,6,2,0,1,0,1,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Jayson Tatum,1,0:40,4.7,0,3,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Michael Porter Jr.,1,1:10,4.7,0,1,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Jonathan Isaac
Joel Embiid,1,0:29,4.5,0,4,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Gordon Hayward,1,1:09,4.4,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Grant Williams,1,0:55,3.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Isaiah Hartenstein,1,0:38,3.2,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
James Harden,1,0:31,3.1,0,4,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Jonathan Isaac
Zach LaVine,1,0:35,3.0,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Jonathan Isaac
Tobias Harris,1,0:30,2.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Alex Caruso,1,0:21,2.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Luke Kornet,1,0:28,2.8,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Jalen McDaniels,1,0:40,2.4,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
T.J. McConnell,1,0:20,2.4,2,2,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Jonathan Isaac
Jaden McDaniels,1,0:24,2.4,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Buddy Hield,1,0:32,2.2,3,6,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Jonathan Isaac
Coby White,1,0:23,2.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Nikola Jokic,1,0:28,2.1,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Derrick White,1,0:19,2.0,0,3,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jonathan Isaac
Chris Duarte,1,0:13,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Ayo Dosunmu,1,0:16,1.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Ish Smith,1,0:20,1.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
D'Angelo Russell,1,0:11,1.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Nathan Knight,1,0:08,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Payton Pritchard,1,0:09,1.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Oshae Brissett,1,0:09,1.2,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Jonathan Isaac
Nikola Vucevic,1,0:09,1.1,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Jonathan Isaac
Mark Williams,1,0:12,1.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Montrezl Harrell,1,0:14,1.0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Jonathan Isaac
Derrick Jones Jr.,1,0:12,1.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jonathan Isaac
