Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Terry Rozier,4,11:01,58.2,9,55,2,3,0,3,8,37.5,1,5,20.0,2,2,0,Jordan Goodwin
Tyler Herro,2,7:45,36.5,5,28,2,3,0,2,5,40.0,1,4,25.0,0,0,0,Jordan Goodwin
Russell Westbrook,2,5:38,33.0,4,29,9,4,0,2,5,40.0,0,1,0.0,0,0,0,Jordan Goodwin
Kyrie Irving,2,6:45,31.6,3,36,1,0,0,1,7,14.3,1,4,25.0,0,0,0,Jordan Goodwin
John Wall,2,6:37,30.2,9,25,1,1,0,3,6,50.0,0,1,0.0,3,4,2,Jordan Goodwin
Luke Kennard,2,6:20,29.2,15,19,0,3,0,5,6,83.3,5,6,83.3,0,0,0,Jordan Goodwin
Jalen Brunson,1,5:28,26.8,14,32,4,1,0,6,9,66.7,1,2,50.0,1,1,1,Jordan Goodwin
Seth Curry,3,4:52,22.8,0,15,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Jordan Goodwin
Malcolm Brogdon,2,4:38,22.5,10,27,3,0,0,3,3,100.0,2,2,100.0,2,2,1,Jordan Goodwin
Dennis Smith Jr.,3,3:50,19.4,3,24,1,0,0,1,5,20.0,0,2,0.0,1,2,1,Jordan Goodwin
Josh Giddey,2,3:42,19.2,2,18,1,1,2,1,3,33.3,0,0,0.0,0,0,0,Jordan Goodwin
Cam Thomas,4,4:04,19.1,3,18,0,0,0,1,2,50.0,0,1,0.0,1,2,0,Jordan Goodwin
Malik Beasley,2,2:50,18.7,5,21,0,0,0,2,5,40.0,1,2,50.0,0,0,0,Jordan Goodwin
Spencer Dinwiddie,1,3:22,18.5,5,14,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Jordan Goodwin
Collin Sexton,2,3:17,17.8,8,27,1,1,0,2,2,100.0,1,1,100.0,3,3,1,Jordan Goodwin
Tyus Jones,2,3:46,17.7,2,13,2,1,0,0,1,0.0,0,1,0.0,2,2,1,Jordan Goodwin
Ja Morant,1,4:25,17.2,1,13,0,0,1,0,4,0.0,0,1,0.0,1,2,0,Jordan Goodwin
D'Angelo Russell,1,2:42,17.2,7,22,0,0,0,2,3,66.7,1,2,50.0,2,2,0,Jordan Goodwin
Edmond Sumner,4,3:14,16.2,0,15,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Jordan Goodwin
Shai Gilgeous-Alexander,2,2:20,15.6,6,17,1,0,0,3,5,60.0,0,0,0.0,0,0,0,Jordan Goodwin
Kevin Durant,2,2:22,14.8,9,24,3,0,0,4,6,66.7,0,2,0.0,1,1,1,Jordan Goodwin
Tim Hardaway Jr.,1,2:40,14.4,6,15,0,0,0,2,7,28.6,2,6,33.3,0,0,0,Jordan Goodwin
Coby White,2,2:29,14.1,3,10,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Jordan Goodwin
Caleb Martin,2,2:53,13.3,4,22,1,0,0,1,4,25.0,1,3,33.3,1,2,1,Jordan Goodwin
Lonnie Walker IV,2,1:53,13.2,3,11,0,0,0,0,0,0.0,0,0,0.0,3,3,1,Jordan Goodwin
Landry Shamet,1,2:20,12.3,6,10,2,0,0,2,4,50.0,2,3,66.7,0,0,0,Jordan Goodwin
Jalen McDaniels,4,1:50,12.3,5,16,0,1,4,2,8,25.0,1,1,100.0,0,0,0,Jordan Goodwin
P.J. Washington,4,2:37,12.1,8,12,0,0,0,3,4,75.0,1,2,50.0,1,2,0,Jordan Goodwin
Kennedy Chandler,1,2:53,12.0,3,5,1,1,0,1,3,33.3,1,2,50.0,0,0,0,Jordan Goodwin
