Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ish Smith,2,4:12,27.4,4,20,1,2,0,2,2,100.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Tre Mann,3,5:04,26.3,5,16,2,1,0,2,7,28.6,1,5,20.0,0,0,0,Jordan Mclaughlin
Tre Jones,2,5:09,23.9,0,19,0,0,0,0,3,0.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Caleb Houstan,1,3:25,19.0,0,21,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jordan Mclaughlin
Cameron Payne,1,3:37,17.4,3,14,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Jordan Mclaughlin
Aaron Wiggins,1,3:38,16.9,0,19,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Luguentz Dort,3,3:20,15.8,2,19,0,2,1,1,3,33.3,0,0,0.0,0,0,0,Jordan Mclaughlin
George Hill,1,3:11,15.2,0,15,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Chris Paul,1,3:11,14.6,0,11,0,0,0,0,4,0.0,0,2,0.0,0,0,0,Jordan Mclaughlin
Shake Milton,1,2:45,14.5,4,14,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Jordan Mclaughlin
Mike Conley,2,2:42,14.3,0,11,1,0,0,0,4,0.0,0,1,0.0,0,0,0,Jordan Mclaughlin
Daishen Nix,1,2:50,13.7,0,19,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Darius Garland,1,2:32,12.4,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Josh Richardson,2,2:34,12.2,2,22,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Jordan Mclaughlin
Jalen Suggs,1,2:24,12.2,0,16,1,1,0,0,2,0.0,0,2,0.0,0,0,0,Jordan Mclaughlin
Kyle Lowry,1,2:24,11.8,3,16,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Jordan Mclaughlin
Shai Gilgeous-Alexander,2,1:22,11.5,5,19,1,1,0,2,3,66.7,1,1,100.0,0,0,0,Jordan Mclaughlin
Ochai Agbaji,2,2:20,11.5,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Simone Fontecchio,1,2:28,11.2,2,17,1,1,0,1,3,33.3,0,1,0.0,0,0,0,Jordan Mclaughlin
Tyrese Haliburton,1,1:19,11.1,4,10,2,1,0,2,2,100.0,0,0,0.0,0,0,0,Jordan Mclaughlin
Landry Shamet,2,2:37,11.0,5,13,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Jordan Mclaughlin
